CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	489214	442213	420596	420596	434660	412087	418380	436021	436066	502707	494499	457863	436748	436748	446973	454481	441176	402657	402657	435554	453451	420470	411126	411126	465924	449780	406629	418926	418924	419128	427465	407117	397171	396921	410764	434251	417727	385451	388344	428592	458745	439205	477344	477243	424060	409747	416355	371264	370519	430538	422724	400442	352144	352139	324176	252075	212921	290850	246743	214923
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	125660	79669	104340	104340	92236	78877	35080	36380	36380	66096	33674	30222	42696	42696	37636	27370	43341	46572	46572	41998	54905	36783	41284	41284	30938	55797	44561	58403	58403	23926	21623	26606	42218	42218	20629	20643	15435	29877	29877	19646	16774	9591	15252	15252	9700	13462	7033	27681	27681	22091	12778	18357	41960	41960	40710	8837	12115	7671	21863	9154
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	154459	152561	105640	105640	133217	116814	120365	108441	108441	137553	139497	132270	108153	108153	144027	140122	122252	103905	103905	132706	141986	135867	108014	108013	192646	160645	115680	81274	81266	121915	124540	103163	72366	72116	112119	101228	91864	60891	59892	102861	122451	141135	98057	98057	117526	132780	113974	64127	64100	169675	120343	107791	73241	73236	105631	101051	69084	58715	59973	50200
Hàng tồn kho###Inventory	208625	209447	209687	209687	208737	211426	252525	278193	278193	286021	304360	280619	269804	269804	250695	268634	256297	233784	233784	249578	255737	247517	259000	259000	240959	232656	246386	278126	278126	271271	278891	275751	281926	281926	276523	309985	309147	294101	296499	302096	315008	283725	357435	357435	289844	259181	281202	272135	271418	232044	280583	270284	233263	233263	164329	138264	129028	219298	160441	153792
Tài sản ngắn hạn khác###Other Current Assets	470	536	930	930	470	4971	10410	13006	13052	13037	16968	14751	16094	16094	14616	18355	19286	18396	18396	11272	823	302	2828	2828	1381	682	1	1123	1128	2016	2411	1598	661	661	1493	2395	1281	582	2075	3989	4512	4753	6600	6498	6989	4324	14146	7321	7321	6729	9020	4010	3680	3680	13506	3923	2694	5167	4466	1777
Tài sản dài hạn###Non-current Assets	370191	381224	386210	386210	392547	399187	409021	410554	410326	415587	411994	413888	420747	420747	405718	416611	316765	321600	323914	224016	117613	120642	124917	124917	92906	97501	101247	102108	102028	109581	114527	119990	128117	128117	129098	134053	141791	148307	146953	157285	167071	174019	183169	183799	186308	180594	190416	199459	199459	199187	209495	217760	229673	229673	239291	250197	259490	267536	226326	254243
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	679	679	854	854	894	919	919	1047	1067	1101	1101	1101	1101	1345	1345	1360	1360	1360	1400	1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	71485	76120	80993	80993	84159	87824	93889	92634	92634	90022	91215	96930	102441	102441	82436	88049	93632	99437	99437	101399	102322	107941	111781	111781	80926	86042	89876	91275	91258	95994	102117	107879	114717	114717	116002	120774	128905	135788	135769	145678	155465	162409	171290	171523	174611	170808	180356	189687	190045	197286	207501	215585	227342	227342	238324	249060	258141	265660	225780	253502
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-593997	-589442	-583681	-583681	-557514	-553314	-548862	-543712	-543712	-536685	-546524	-542021	-538424	-538424	-539268	-531498	-529905	-526237	-526237	-536778	-533384	-529878	-525774	-525774	-520380	-512702	-507665	-502370	-502370	-474927	-469336	-463867	-458412	-458412	-451315	-444283	-449053	-434714	-434685	-425729	-417431	-412573	-402848	-402848	-383491	-373303	-364354	-354357	-354357	-344436	-335643	-325988	-316769	-316769	-305309	-294064	-274708	-265978	-231745	-191898
