CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	175081	90800	110465	110490	142773	158803	94063	103604	103712	134533	132843	114296	93814	93875	125786	138160	84205	90293	90339	106986	130984	86857	90125	90742	126289	120312	93499	100244	99211	102012	107838	100076	96021	99328	96607	93500	109962	93188	93076	90899	82635	76199	72415	72029	77783	85680	75046	78803	79052	78997	82640	61676	84764	84764	85088	80537	68967	93884	92637	119951	98793	75294	66531	66531	60249	63186	56750	74206	71317	50145
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19828	19737	35319	35319	20975	8723	3532	22410	21398	11654	3988	2980	14499	14499	9535	3581	2957	15906	15906	6501	3345	10167	21132	21132	22483	3224	17640	31648	31648	20906	15279	11034	27431	22431	17452	8639	16536	19185	19185	19181	2911	10508	12943	12960	5499	6966	10795	11727	11727	11607	10082	9477	10005	10005	21793	18726	1980	20557	19308	23571	24874	23082	22615	22615	3482	3691	3506	15761	15761	10857
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2475	2409	2409	2409	2345	2345	2282	2282	3294	3225	2225	2167	2167	2167	2110	2110	2055	2055	2055	3000	2000	0	0	0	0	0	0	0	0	0	5000	5000	5000	10977	5030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	72847	26880	34538	34620	59632	72874	39577	41000	41236	61485	56669	62042	35481	35522	60668	65952	31181	33148	33206	47175	55609	30814	35593	36633	54049	67660	32824	33943	32391	43164	38821	42520	31237	33567	38507	36308	53494	42964	42852	30938	25185	20990	26159	25748	33475	27977	23255	34284	34565	30788	28297	14442	42611	42611	20950	20816	27880	30730	30730	36440	23212	12783	10892	10892	20059	16958	20881	24124	22209	20339
Hàng tồn kho###Inventory	79376	40978	36750	36750	58653	73541	47063	36001	36001	57210	69155	46384	40424	40424	51923	65525	46114	37479	37479	47481	67282	42770	32624	32624	48826	48013	41408	33494	33494	36230	46290	39536	31142	31142	33651	46469	38389	30326	30326	39149	52505	42533	32479	32482	37270	48810	39274	32048	32048	35125	42849	35597	31776	31776	40594	40389	38658	42210	42210	58255	48500	37154	31649	31649	34474	40771	31292	33280	33280	18948
Tài sản ngắn hạn khác###Other Current Assets	555	796	1449	1392	1168	1319	1608	1911	1782	960	807	723	1243	1263	1550	992	1899	1706	1694	2829	2748	3106	776	354	932	1416	1627	1159	1677	1712	2448	1986	1211	1211	1967	2084	1543	712	712	1631	2034	2167	834	839	1540	1926	1721	745	712	1477	1413	2159	372	372	1751	606	449	386	389	1684	2206	2275	1376	1376	2236	1766	1072	1042	66	0
Tài sản dài hạn###Non-current Assets	46683	47325	48847	48847	48668	49779	51313	51698	51698	53152	53713	53181	54571	54575	55174	53971	52956	53910	53910	54689	56631	51927	51882	52273	49595	43478	43333	43330	42891	44764	43188	40879	46639	45662	46688	47303	47344	46938	46938	47568	45994	45344	45292	45292	44792	41712	40091	39232	39232	38227	35970	34895	32375	32375	30136	30142	29447	28876	28841	28437	28799	28582	28799	28799	28440	24335	17895	17729	17729	19455
Các khoản phải thu dài hạn###Long term Account Receivable	12	12	12	12	12	12	12	11	11	11	11	11	11	11	56	59	36	36	36	87	112	97	89	89	66	28	593	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	35798	36384	37336	37336	36945	37815	38512	38331	38331	39396	39832	39288	40172	40177	40657	40510	41101	41922	41922	42277	33268	31489	32341	32341	28829	26298	26305	28368	26273	27115	25318	25031	31383	39528	40977	41046	31134	26797	29248	30156	30051	29693	26858	28784	27924	26376	25994	15575	24816	23294	32497	30739	28947	28947	24956	25252	25325	25647	24609	26067	25860	25179	25451	25451	15607	14352	14488	14164	14164	14279
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-31411	-30484	-29550	-29550	-28650	-27757	-26767	-26377	-26377	-25615	-24873	-23883	-22904	-22904	-22004	-20989	-20069	-19072	-19072	-18104	-17147	-16271	-15493	-15493	-14659	-13583	-15185	-15332	-16154	-15401	-14998	-14512	-14773	-14667	-14252	-13703	-15525	-15456	-15456	-14938	-14400	0	-13470	-13470	-13274	-13063	-12681	-12306	-12306	-12413	-12057	-11858	-11514	0	0	0	0	-10142	0	0	0	0	-8993	-8993	0	-8457	0	-7888	-7888	0
