CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	163304	161030	153407	153407	149665	147058	141558	156113	156113	149391	149356	146364	142057	142020	140752	137849	141281	139894	139941	134320	120887	127136	114795	114812	107858	125576	132134	122223	115364	131374	120651	134618	129287	133046	117619	126248	102396	100024	101448	101259	110437	100487	98753	98743	110869	116462	118445	120880	121052	101984	129121	70555	65587	62400	71388	56507	52353	53638	48721	55525	51645	54294	47514	48726	40389	39567	37802	29469	29428	29242	24274
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6687	7933	4783	4783	7528	16554	5635	911	911	14522	17346	31500	24567	24566	18539	7727	10179	23469	23469	17817	7815	12172	14783	14783	2735	19282	26405	30118	30118	18114	17353	19681	7596	7596	9669	29538	14897	17743	17744	8605	17182	17214	12632	12632	22696	25490	36506	35224	35224	29451	54807	2705	4373	4323	19293	19972	18489	8977	8942	2508	1804	5120	10189	4178	5090	6670	3116	2928	2928	748	1368
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6241	6285	6285	6285	6323	8323	8340	10340	10340	10359	10359	377	377	377	418	418	409	449	449	490	490	508	341	341	80	80	10085	85	85	91	422	80	2346	2346	3050	3050	3974	6157	6157	5632	8953	7430	7235	7235	9667	10296	17394	16351	17038	3665	1818	4214	4359	4359	1152	324	880	948	975	1514	698	2708	0	6011	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	111494	112788	107401	107401	104871	89924	99528	105516	105516	82395	86270	75690	76439	76431	71006	84453	93130	82706	82753	85974	83983	93816	78636	78636	81475	77664	75770	65808	56000	85532	54756	79096	83314	85824	66775	65347	61826	58703	58644	68578	62801	51705	49513	49513	55206	62515	32258	37432	36917	43023	33750	37981	32953	30852	21746	17999	18689	20130	18763	23032	23213	23836	20390	24457	22411	17860	16840	14711	15824	15714	12836
Hàng tồn kho###Inventory	37522	33328	34156	34156	30375	31464	27043	37578	37578	40525	34915	38648	40459	40459	50120	44585	37253	32375	32375	29684	28218	20403	19916	19916	20260	24130	15642	16464	17011	18118	37462	25064	26544	26202	28417	19627	16368	13761	13685	14890	17879	22126	19524	19524	20354	15757	31165	30359	30359	23093	35144	22571	20967	20023	22475	13698	13438	22443	19163	26001	18538	16699	15753	12835	12148	14923	16295	10534	10544	12652	9922
Tài sản ngắn hạn khác###Other Current Assets	1359	697	783	783	568	793	1011	1767	1767	1591	466	148	214	187	668	666	310	896	896	356	381	238	1118	1136	3308	4420	4231	9747	12149	9519	10658	10697	9487	11078	9708	8686	5330	3660	5219	3555	3622	2012	9849	9839	2945	2403	1122	1514	1514	2751	3603	3085	2935	2844	6723	4514	857	1141	877	2470	7392	5931	1182	1245	740	113	1551	1296	132	128	147
Tài sản dài hạn###Non-current Assets	19387	20895	21658	21658	22155	22888	19147	18213	18213	13242	14283	13549	38815	38841	38935	39435	41199	43738	43738	45795	49182	51445	55786	55768	57479	53328	45509	50898	53354	57819	82025	63911	61227	61227	63088	64454	83972	83506	82409	86655	87783	86194	83364	83495	74648	64609	56436	56322	56322	68886	19204	20710	22798	25226	21931	23874	26198	27252	28467	29201	28429	23113	21928	21852	16375	16189	14500	13617	13469	13237	14431
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	181	181	181	181	181	181	181	181	106	106	106	106	106	106	-4974	106	0	0	16200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	7077	7911	8594	8594	8565	8951	8903	8948	8948	10089	10425	11614	18461	18461	18754	19936	21289	22215	22215	32070	34386	36132	38114	38114	34290	30688	32447	33309	35448	38148	37088	33249	41067	41037	42360	43799	44144	32627	41024	41347	42345	41931	19011	42003	27898	15666	11376	11549	11630	11690	12827	13549	15082	14690	9868	10729	11657	14455	12778	13752	13877	11438	12264	12244	11642	12354	11625	12284	13078	12788	14156
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-50824	-49990	-49161	-49161	-48947	-48133	-47217	-47453	-47453	-46311	-45430	-44242	-54617	-54617	-52978	-51363	-49727	-48066	-48066	-46383	-45149	-43403	-41942	-41942	-40479	-38914	-37051	-36189	-34050	-33994	-32832	-32012	-31150	-31137	-29733	-28193	-27999	-26990	-26988	-25572	-24174	-23204	-22786	-22786	-23516	-22630	-21693	-20837	-20837	-19896	-19193	-18753	-17219	0	0	0	0	-14104	0	0	0	0	-10072	0	0	0	0	-7530	-7509	0	0
