CAN DOI KE TOAN	 2019	 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Tài sản ngắn hạn###Current Assets	8970	11898	12836	13539	12999	15021	14267	18812	22629	23069	32343	23458	29158	23785	24128	29715	32820	36054	33443	37711	31737	24686	26608	23921	37810	38623	37310	45430	45709	48925	53939	52998	53466	49430	58001	60206	63498	56715	62968	62968	57872	57872	30960	30960	35944	35944
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1467	2384	560	1758	1900	2029	4633	5166	9683	9683	5380	6555	15122	4489	4489	2234	5919	3663	3669	3669	2602	2101	1373	1510	1513	3325	5973	6382	9783	9744	5318	10425	13505	15984	15984	16451	21440	3674	21999	21999	23427	23427	5509	5509	15026	15026
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	150	150	0	150	0	0	150	0	0	0	0	0	0	0	0	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16500	0	0	0	0	500	500	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	6323	8134	11201	10639	10080	11631	7443	10395	10249	10689	24447	13661	11266	17099	17476	23236	24113	29925	28630	31759	24729	17331	20918	18369	32202	29881	26021	30305	30226	33229	39751	32511	31401	25990	34059	34243	31786	28315	35004	35004	29907	29907	20700	20700	17527	17527
Hàng tồn kho###Inventory	55	103	97	95	95	92	101	317	335	335	367	338	309	334	354	364	350	361	366	366	371	364	391	377	506	540	485	639	516	516	570	609	773	929	929	1181	1314	973	1092	1092	1071	1071	632	632	912	912
Tài sản ngắn hạn khác###Other Current Assets	975	1127	977	897	923	1269	1940	2934	2362	2362	2149	2904	2461	1863	1810	2380	938	2104	778	1917	4035	4890	3925	3664	3588	4876	4831	8104	5184	5436	8300	9454	7787	6528	7030	8331	8958	7253	4874	4874	3467	3467	3619	3619	2479	2479
Tài sản dài hạn###Non-current Assets	23756	28028	28429	29928	29932	22147	31389	21779	22692	24183	19851	25421	20217	26524	26474	31993	32674	38835	44479	41896	47708	48163	50435	51740	53026	54341	56331	54779	56648	62833	66503	67818	68772	70216	70730	72585	67658	69381	70410	70410	82609	82609	73470	73470	63036	63036
Các khoản phải thu dài hạn###Long term Account Receivable	472	1496	1316	2129	2129	2406	2510	2787	2807	2807	2807	3307	2807	3307	3307	2807	3027	0	2676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	14513	17640	18044	18632	18632	18980	19568	17985	18792	18792	14253	19288	14640	15675	15675	16710	17746	32681	38227	36141	39497	40770	42043	44101	44005	45278	46208	46784	48469	49086	54316	55617	56956	58045	58237	60239	62298	63798	65096	65308	73130	73130	69563	69563	59749	59749
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13465	-11138	-9098	-8524	-8524	-9174	-8600	-22608	-21815	-21815	-21640	-30940	-29885	-28850	-28850	-27814	-26778	-26705	-30134	-32220	-28864	-27591	-26319	-25046	-25046	-24068	-22799	-21938	-21435	-20387	-21513	-22224	-19164	-19847	-17873	-17024	-16651	-17186	-16142	-16142	-14341	-14341	-32357	-32357	-24797	-24797
