CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	2080500	2294447	2515666	2520972	2554215	2515351	2233839	2196052	2199248	1858258	1340185	1413561	1624917	1635322	1805262	1750542	1507992	1736419	1725052	1662921	1413536	1166225	1277684	1281582	901704	776108	727503	850168	841957	715569	652324	577937	904384	901412	705464	727819	631284	747082	750659	883716	845406	853026	718944	738615	947405	758441	797099	842423	835396	707864	602167	603544	521122	508236	428884	321404	325511	367076	376297	444348	476267	585601	423495	433820	323125	210042	179782	177931	47592	246021
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	317420	269069	328714	324049	235333	254625	262361	268045	265045	279414	197179	213233	222747	221373	180081	168355	143746	231191	233345	230848	174523	140873	211789	204215	215150	131442	120206	179856	185840	105724	81248	104151	187158	187158	148825	186640	142069	222128	222128	191716	153245	73002	112173	112177	120646	118484	118755	106498	106494	71548	83420	99483	161869	162090	62444	86062	45319	49131	49006	37819	39321	55484	94604	93388	24041	28154	21006	32707	1613	41968
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	39332	40692	38892	44192	38723	38173	39523	39488	39488	37982	41060	35032	40225	41585	46416	48566	46390	48444	46294	50476	46846	41334	39754	47329	42026	42712	48277	53807	47540	51947	42213	43459	42675	0	48063	19734	13035	12882	12882	24222	22322	26662	31177	31177	22694	31970	33701	36129	36129	38244	37836	37362	35633	35633	27005	31382	46551	46551	43927	58964	71757	86615	83920	84050	44461	45390	35285	20823	20809	6500
Các khoản phải thu ngắn hạn###Short term Account Receivables	652628	440030	700915	704130	619152	754029	717968	695257	695669	569867	439288	404054	599222	614184	550699	553241	452034	545398	533670	362772	497696	393325	391869	389845	353524	224455	175537	252048	254796	229669	202445	177933	322177	322058	204470	191583	185356	229518	234059	344858	312205	327088	227357	248724	435363	306783	342259	379880	372188	343071	255909	315545	211516	192871	197565	124861	155068	187045	197358	224385	235541	329794	168222	179279	129448	72311	64075	42492	12884	90027
Hàng tồn kho###Inventory	1013255	1462196	1385060	1384167	1571744	1399056	1159750	1134475	1139751	914430	623591	716258	719578	716174	975069	923356	809718	845504	851649	950235	645230	554962	592018	596567	271109	349306	344205	345563	325138	299336	286413	223751	327295	327295	272389	294784	255513	250709	248901	282081	312774	383386	317576	315739	331144	260554	260684	275188	274301	219985	197028	126609	94686	95204	123683	61675	62375	71485	74728	85386	86193	70313	62221	62103	71801	49177	44262	75415	11977	102752
Tài sản ngắn hạn khác###Other Current Assets	57864	82460	62085	64435	89263	69468	54237	58788	59294	56565	39067	44984	43145	42007	52997	57023	56104	65882	60095	68590	49241	35732	42253	43626	19895	28193	39279	18895	28643	28893	40005	28643	25079	22226	31718	35078	35311	31844	32689	40839	44859	42887	30661	30798	37557	40650	41700	44728	46284	35017	27974	24545	17417	22437	18187	17426	16198	12865	11278	37793	43455	43393	14527	15001	53374	15010	15153	6495	309	4774
Tài sản dài hạn###Non-current Assets	2175883	2199067	2212371	2213651	2192149	2171833	2206924	2159597	2157293	2110096	2050754	2014795	1992121	1991904	1977114	1966408	1642891	1601399	1602269	1663882	1592466	1504375	1479978	1478922	1640823	1776129	1757254	1788435	1805558	1929027	1911955	1920247	1901432	1906271	2001781	1965980	1976652	1967497	1961469	2087132	2070849	2032796	2005705	1996285	1738422	1666995	1596134	1514908	1509840	1433156	1346081	1282530	1271229	1283821	1169264	1133129	1062517	996176	983532	876327	859631	676981	650048	638373	489333	444133	427431	394642	387768	252938
Các khoản phải thu dài hạn###Long term Account Receivable	178828	184128	178404	174067	176249	174983	178157	182179	177982	170481	165786	164490	166556	166657	162314	163656	142210	137655	135526	185105	157599	128618	128242	127196	128361	130793	9891	148291	5476	6874	4346	4374	4346	5034	8777	9074	9724	10243	10243	11155	14891	15465	4346	4864	4864	4553	4346	4346	4553	4573	5171	5907	5907	5907	5907	18762	17081	17081	37312	10463	195	0	0	1392	1636	1643	1891	618	0	391
Tài sản cố định ###Fixed assets	482891	491687	502796	502796	495012	492059	481694	457817	457817	439668	376111	379326	394434	394892	345756	344795	339809	248463	249048	243779	279326	271787	268210	268210	251291	249651	250911	232554	232554	219044	217299	172612	783652	784432	768557	685807	684578	185542	746130	733030	706392	664081	187181	1108176	882336	736270	645602	183965	644055	515964	452078	412668	405097	399032	380795	367457	344299	337424	335550	327473	334796	153871	154616	155801	133527	151824	147438	125024	104927	94434
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-286875	-276257	-262188	-262312	-248121	-236418	-223927	-210907	-210907	-198748	-188620	-178112	-168272	-168896	-161204	-151972	-141837	-130239	-130241	-123297	-119977	-112792	-105378	-105694	-100183	-93785	-87848	-90599	-91467	-82900	-77772	-73577	-69582	-70435	-66807	-66942	-65830	-60623	-58623	-54384	-50433	-46000	-41869	-40946	-39868	-36289	-32505	-29752	-28735	-26691	-25408	-24238	-23035	-23056	-27218	-26155	-25575	-24689	-24631	-26360	0	0	-23821	0	0	0	0	-22315	-14821	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3959	-3741	-3524	-3306	-3306	-3089	-2871	-2654	-2437	-2437	-2219	-3924	-3472	-3018	-3018	-2566	-2113	-1661	-1209	-1209	-756	-320	-121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-12037	-11585	-11140	-11140	-10747	-10395	-10070	-9744	-9774	-9433	-8560	-8474	-8338	-8338	-8064	-7791	-7525	-6490	-6490	-6370	-11583	-11254	-10947	-10940	-10642	-10361	-10119	-9839	-9844	-9577	-9334	-9089	-8829	-8899	-8577	-8220	-7849	-7479	-7477	-7117	-6759	-6406	-6058	-6058	-5739	-5386	-5041	-4699	-4699	-4427	-4168	-3909	-3651	-3651	-3398	-3144	-2874	-2352	-2352	-2282	0	0	-2074	0	0	0	0	-1824	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
