CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	1103596	1156704	1093353	1079190	1345493	1315622	1229514	1165627	1157628	1297810	1294677	1191690	1237431	1238188	1293276	1347640	1367954	1373378	1379532	1575613	1296423	905777	966498	966498	1018314	762654	550289	604233	604233	436048	436048	416482	357826	259334
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	137455	55081	113588	113588	40457	94269	100777	84454	84454	25710	20788	18682	92777	92777	32651	32847	111270	245041	245041	111621	68122	31025	121643	121643	176119	28847	14687	87442	87442	43632	43632	28407	60410	16598
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	499981	549748	618495	597144	648573	650451	692196	853047	845048	781837	848335	865718	1002767	1003523	895269	884305	874122	905586	911818	665291	636154	696872	727302	727302	455241	267251	307992	442490	433150	314587	314587	262588	203263	163994
Hàng tồn kho###Inventory	420752	496615	341340	348529	601106	519872	398493	228126	228126	426953	373641	268917	141887	141887	317657	386649	350240	222751	222673	752472	526560	148343	96418	96418	332494	415903	197175	64401	64401	57281	57281	99566	56835	47435
Tài sản ngắn hạn khác###Other Current Assets	45409	55260	19930	19930	55356	51031	38048	0	0	63309	51913	38373	0	0	47700	43838	32321	0	0	46229	65587	29538	21135	21135	54460	50653	30435	9898	19239	20548	20548	25921	37318	31308
Tài sản dài hạn###Non-current Assets	77542	79561	84965	78076	81159	85894	102816	117818	117818	126547	136721	145892	157466	157466	165468	160145	152828	151227	151227	137446	131512	140630	150685	150685	147957	128707	108397	101806	101806	83807	83807	52714	44576	36669
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	510
Tài sản cố định ###Fixed assets	55865	60852	66166	67254	71204	75892	87717	97608	97608	105797	113268	121966	130931	130931	139723	140865	136916	131731	131731	122185	113833	123720	134071	134071	128468	111008	91340	84761	84761	73879	73879	44602	35512	31868
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-134958	-129501	-124343	-124353	-177199	-203442	-211157	-203720	-203720	-194096	-184085	-175300	-173512	-173512	-162519	-161186	-150418	-139116	-139116	-126917	-116196	-106267	-95997	-95997	-89819	-80672	-72898	-66275	-66275	-54983	-54983	-46922	-31693	-20869
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
