CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	1048118	1070734	866924	865443	851401	821159	799749	773887	749936	748666	750779	702678	689932
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	17245	18353	14282	14288	71228	24871	3637	32524	32528	18922	12819	11386	31793
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	30000	0	0	0	1000	0	0	0	0	20000	20000	200	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	364434	356804	266323	266326	153613	222293	340139	224986	203956	198037	217405	234547	323494
Hàng tồn kho###Inventory	633350	692487	584378	582896	625252	572004	455441	516242	513075	508067	497621	451952	331190
Tài sản ngắn hạn khác###Other Current Assets	3088	3089	1942	1933	309	1991	532	135	377	3640	2934	4592	3456
Tài sản dài hạn###Non-current Assets	387671	395224	399135	397061	402775	399922	402436	404006	426609	409383	396746	357916	243928
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	299261	306311	310698	310697	182716	181993	185495	188609	188569	192907	196564	194754	152424
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-125781	-119655	-113525	-113525	-110217	-107116	-103995	-100898	-100938	-97773	-94533	-88048	-72668
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-8913	-7850	-6787	-6787	-5725	-4662	-3734	-2806	-2806	-1878	-950	-63	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4099	-3737	-3375	-3375	-3013	-2651	-2289	-1927	-1927	-1565	-1203	-479	0
Lợi thế thương mại	5760	6412	6412	5051	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	15758	15756	15756	15043	34623	34623	34624	34624	34627	34627	34627	34628	34105
Tài sản dài hạn khác###Other long term assets	5890	6562	6447	5086	1291	10	996	247	0	78	0	11	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1435788	1465958	1266059	1262504	1254176	1221081	1202185	1177893	1176545	1158049	1147525	1060594	933860
Nợ phải trả ###Liabilities	885982	947341	779326	777720	804927	785064	767186	753715	752607	749932	745839	738260	709346
Nợ ngắn hạn###Short term Liabilities	860327	915092	746012	744428	768393	747306	716901	710167	709059	703039	697182	691262	652862
Nợ dài hạn###Long term Liabilities	25656	32249	33314	33292	36534	37758	50284	43548	43548	46893	48656	46998	56484
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	549806	518617	486733	484784	449249	436017	434999	424178	423938	408117	401687	322334	224514
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	549806	518617	486733	484784	449249	436017	434999	424178	423938	408117	401687	322334	224514
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	906897	653787	1838028	565739	467790	456731	350292	1973158	362970	475490	719240	1439899	937100
Các khoản giảm trừ doanh thu###Deduction revenues	151	432	838	562	157	100	16	374	95	100	128	75	23
Doanh thu thuần###Net Sales	906746	653355	1837190	565177	467633	456631	350276	1972784	362874	475390	719113	1439823	937077
Giá vốn hàng bán###Cost of goods sold	842714	590015	1678389	505393	424295	432695	318526	1836449	322394	447268	688260	1330274	854577
Lợi nhuận gộp###Gross profit	64032	63340	158801	59785	43338	23936	31750	136335	40480	28122	30852	109549	82500
Doanh thu hoạt động tài chính###Financial activities Revenues	655	946	1235	734	64	319	118	2930	705	1195	810	1666	1805
Chi phí tài chính###Financial Expenses	16368	15759	45898	12905	12065	10872	10231	42501	10983	10259	10411	44849	45805
Chi phí bán hàng###Selling Expenses	9811	9859	32627	7668	11620	8284	5063	37185	6661	7186	15886	36262	16175
Chi phí quản lý doanh nghiệp###Managing Expenses	5541	4923	13921	5107	3264	4027	3049	14976	3753	3831	3519	12396	7535
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	32969	33745	68128	34839	16453	1073	13524	44603	19788	8041	1846	17708	14790
Thu nhập khác###Other incomes	663	4	1059	3	18	914	123	280	11	1	195	263	521
Chi phí khác###Other Expenses	16	0	975	364	41	476	97	441	19	4	281	76	12
Lợi nhuận khác###Other profits	647	4	84	-361	-23	438	27	-161	-8	-3	-86	187	508
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	33616	33749	68212	34478	16430	1511	13551	44442	19780	8038	1760	17896	15298
Chi phí thuế TNDN###Corporate Income Tax Expenses	2103	1866	8002	1461	3198	494	2730	9056	3959	1608	370	3619	3060
Chi phí thuế TNDN###Corporate Income Tax Expenses	1973	1866	7980	1461	3198	494	2730	9056	3959	1608	370	3619	3060
Chi phí thuế TNDN###Corporate Income Tax Expenses	130	0	22	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	34015	34454	63270	35903	13232	1017	10822	35387	15821	6430	1390	14277	12239
---Cac Chi So Tai Chinh---													
EBITDA	0.77	0.29	0.09	0.09	0.03	0.88	1.38	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.67	26.42	23.67	23.67	23.75	24.58	25.25	0.00	0.00	0.00	0.00	0.00	0.00
