CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	344570	278666	248689	248689	626928	590541	544812	582281	582281	544556	473622	522929	423684	423254	510618	421967	442803	424076	424057	482325	428195	428910	397802	398226	434092	435123	493369	498416	498595	468096	439494	444320	410885	411119	352479	390751	363592	297340	297545	256145	194346	207408	183798	125226	147868	162139	167015	205386	182663	223622	268159	272957	301548	301644	302617	361883	321061	291469	286442	223803	154319	151841	152730	152730	164803	160994	123402	100802	100802	137140	114625
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	62017	61212	35686	35686	352697	184118	21878	79329	79329	6027	7247	32760	15155	15155	53240	67552	15181	24229	24229	30010	18989	49445	53783	53783	163891	148512	269455	275154	274861	357517	338636	355615	339638	339633	125947	287000	229096	178048	178320	112147	109180	61486	47471	47481	29135	41802	19653	5920	96713	116441	136763	214057	219279	240179	260054	281678	221685	140573	140469	145274	122948	125360	84783	84783	82364	51169	28697	27050	27050	16572	8021
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	44334	44334	39459	39459	120203	286629	406629	408677	408677	440020	394577	323577	323577	323577	264879	288514	348067	353567	353567	366236	332428	292691	289725	289725	203053	160217	114548	112593	112593	0	0	0	0	0	120000	26141	25634	25064	25064	24501	23772	22959	22199	22199	36953	36953	71254	93631	0	0	0	0	20900	0	0	0	0	113752	113753	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	180222	109575	101178	101178	149707	115448	111621	90092	90092	93748	67060	161461	58759	58382	187226	60380	74598	39269	38966	80415	71024	80772	48949	48949	59484	118735	101216	102732	103203	101660	92202	79714	60721	61211	92261	62573	96796	80725	80503	105803	49214	111253	101139	40738	62011	63805	54692	82204	67063	77178	107606	44520	46978	47042	28761	66510	85498	23416	18495	64916	17754	12941	54385	54385	64297	90647	64063	42284	42284	83196	65420
Hàng tồn kho###Inventory	5719	5046	4690	4690	4321	4336	4322	4183	4183	4648	4561	4486	4398	4398	4913	4998	4957	5056	5056	5290	5585	5492	5229	5229	7498	7659	7485	6710	6711	7986	7743	8036	8390	8390	12060	11954	11130	11194	11194	12674	11322	10618	10963	10962	10737	18111	18487	22772	18030	23501	15149	13987	14032	13982	13402	13335	13420	13438	13432	13329	13413	13426	13466	13466	14617	15731	27179	27198	27198	33209	39113
Tài sản ngắn hạn khác###Other Current Assets	52279	58499	67676	67676	0	10	363	0	0	112	177	646	21794	21742	360	524	0	1955	2239	373	169	510	117	541	165	0	664	1227	1227	933	913	955	2135	1885	2211	3083	935	2308	2464	1020	858	1093	2026	3846	9031	1468	2929	858	858	6502	8641	393	358	440	400	360	458	290	294	283	205	115	96	96	3525	3446	3463	4270	4270	4163	2070
Tài sản dài hạn###Non-current Assets	1340357	1366671	1392231	1392231	394911	404975	412827	423728	423728	432867	443924	454663	464392	464392	424028	433675	445705	455717	455714	454433	457103	465510	474597	474915	462939	469901	481853	481494	481625	482121	500357	515105	527410	527410	564223	581198	593633	609790	609790	628679	641376	651169	665415	665869	684390	690479	637285	641870	641700	643403	574439	567523	562172	562006	568592	545816	552283	559824	557671	565654	577452	590542	604584	604584	582553	595707	599617	610976	610976	589559	605494
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1103697	1125338	1147022	1147022	313112	323176	333416	344426	344426	351607	362664	373347	383076	383076	390666	400205	411359	421707	421707	419581	423662	429311	439496	439496	425773	435570	446967	448875	446630	448672	460387	482486	494791	494791	509435	526409	538845	553782	554578	574060	586757	596127	573852	610827	630025	636114	582920	454022	587335	589038	524574	523158	527807	527641	534227	545816	552283	559824	557671	565654	577452	590542	604584	604584	582553	595682	599592	610684	610684	589133	604801
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1461239	-1439661	-1418084	-1418084	-1167551	-1156532	-1145570	-1134606	-1134606	-1125005	-1113834	-1103156	-1091993	-1091993	-1088554	-1078655	-1067610	-1056572	-1056572	-1052084	-1041417	-1027550	-1017266	-1017266	-1013126	-1003247	-985956	-979886	-979887	-963814	-947844	-931649	-915675	-915675	-899475	-883539	-868637	-852669	-852669	-837245	-822797	-807787	-792959	-792461	-777505	-762273	-751242	-740154	-740154	-728976	-717813	-706704	-695548	-695548	-680689	-669549	0	-651300	0	0	0	0	-604017	-604017	0	0	0	-575929	-575929	19993	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4224	-4118	-4011	-4011	-3901	-3799	-3696	-3593	-3593	-3502	-3392	-3285	-3179	-3179	-3070	-2960	-2851	-2742	-2742	-2633	-2524	-2414	-2305	-2305	-2196	-2087	-1978	-1871	-1871	-1769	-1666	-1563	-1460	-1460	-1357	-1255	-1152	-1049	-1049	-946	-843	-741	-638	-638	-535	-433	-333	-233	-233	0	-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	152941	157037	161134	161134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	81169	81169	81169	81169	81169	81169	78430	78430	78430	81169	81169	81169	81169	81169	32669	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	32619	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	54365	49865	44365	34365	34365	34365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	154864	159775	163714	163714	630	630	872	872	872	92	92	147	147	147	693	851	1144	1388	1388	320	320	175	1146	722	0	0	0	0	0	0	0	0	0	0	423	423	423	847	847	254	254	677	677	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	293	293	426	693
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1684927	1645338	1640921	1640921	1021840	995516	957639	1006009	1006009	977423	917546	977592	888076	887646	934646	855642	888508	879793	879771	936758	885298	894420	872400	873141	897030	905024	975221	979910	980220	950217	939851	959425	938294	938529	916702	971949	957225	907130	907335	884824	835722	858578	849212	791095	832258	852618	804300	847257	824364	867025	842598	840480	863720	863649	871209	907699	873344	851292	844114	789457	731772	742384	757314	757314	747356	756701	723019	711779	711779	726700	720119
Nợ phải trả ###Liabilities	579024	610509	495408	495408	46854	43958	62637	120402	120402	49595	36625	123632	26449	26263	34998	18638	78933	41615	41592	29548	21237	21889	29963	30705	13491	29327	16153	56773	51412	27182	44562	27322	29985	30094	32491	146473	69763	35389	35729	43090	53050	32019	40714	30622	75336	61681	35302	83009	59701	115260	57760	56488	80081	75320	47135	117018	42929	58690	58568	7804	15696	11769	51611	51147	14155	54833	54014	55111	54951	42822	80470
Nợ ngắn hạn###Short term Liabilities	226996	246902	121221	121221	46854	43958	62637	120402	120402	49595	36625	123632	26449	26263	34998	18638	78933	41615	41592	29548	21237	21889	29963	30705	13491	29327	16153	56773	51412	27182	44562	27322	29985	30094	32491	146473	33821	35389	35447	33952	43841	22810	31504	12430	57242	43508	21619	60250	32544	88777	26171	24842	48435	43675	47063	116891	42760	58521	58460	7730	15622	11647	51488	51025	14115	16250	24334	25351	25191	26880	73387
Nợ dài hạn###Long term Liabilities	352027	363607	374187	374187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35941	0	282	9137	9210	9210	9210	18192	18094	18174	13683	22759	27156	26483	31590	31646	31646	31646	72	127	169	169	108	74	74	122	122	122	41	38583	29680	29760	29760	15942	7083
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1105903	1034828	1145512	1145512	974986	951558	895002	885606	885606	927828	880921	853960	861626	861383	899648	837004	809575	838179	838179	907211	864061	872531	842437	842437	883539	875697	959068	923137	928808	923035	895290	932103	908309	908435	884211	825477	887463	871740	871606	841735	782672	826558	808498	760474	756923	790937	768999	764247	764663	751765	784838	783993	783639	788329	824073	790681	830416	792603	785546	781653	716076	730615	705703	706166	733201	701868	669005	656668	656828	683877	639649
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1442	1675	2524	462	395	395	635	1382	200	0	463	533	779	-16	0	161	285	-15
Vốn chủ sở hữu ###Owners equity	1105903	1034828	1145512	1145512	974986	951558	895002	885606	885606	927828	880921	853960	861626	861383	899648	837004	809575	838179	838179	907211	864061	872531	842437	842437	883539	875697	959068	923137	928808	923035	895290	932103	908309	908435	884211	825477	887463	871740	871606	841735	782672	826558	808498	760474	756923	790937	768999	764247	764663	751765	784838	783993	783639	786887	822398	788157	829953	792207	785151	781019	714694	730414	705703	705703	732667	701089	669020	656668	656668	683593	643424
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939851	959425	938294	938529	916702	971949	957225	907130	907335	884824	835722	858578	849212	791095	832258	852618	804300	847257	824364	867025	844497	840480	863720	863649	871209	907699	873344	851292	844114	789457	731772	742384	757314	757314	747356	756701	723019	711779	711779	0	720119



