CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	884507	837541	864597	885652	765701	784793	1080972	967983	983989	506710	521807	561935	769303	641717	612503	474422	490003	356659	379742	320524	462406	685000	232256	220917	345925	427522	605042	404178	364010	745168	724619	886420	510995	469029	913675	1098768	986295	991180	918092	940196	939563	788548	489802	477857	476268	768939	745058	459368	459368	469320	597710	682502	376916	379991	472483	532118	519794	544843	541289	366748	223206	205608	153500	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3616	3163	839	839	3887	2726	1760	661	661	2825	2755	2852	1549	1549	1253	777	1035	956	956	3613	3443	6341	3243	3243	5424	12653	6278	1472	1472	7940	3956	4487	3957	3957	9866	8791	15806	5092	5092	6730	7347	20643	8230	8230	46511	158693	32040	2352	2352	12206	34935	9728	5739	5739	10754	7891	12990	1985	1985	37051	2016	5635	679	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	33496	33496	37058	19619	19619	13079	13079	13079	19619	19619	24851	24851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	77038	264205	319575	339159	86385	124949	414083	396251	415882	127182	80647	48332	264246	263214	171685	113063	225402	158885	168665	30412	181637	399776	2341	2253	208526	215646	284027	177819	146161	401801	288913	519664	196931	139280	435607	577954	541545	681808	596209	385560	244863	358015	304527	304545	263180	486737	556573	299338	299338	250459	252682	232728	175987	160019	108083	199741	147330	238604	231883	136513	97780	122423	80143	41133
Hàng tồn kho###Inventory	727107	435487	403705	403734	459211	532723	561573	470401	470361	269792	346711	444051	425351	323691	404766	337942	250178	175881	176319	246656	267541	253869	172775	173650	120286	181649	262480	143992	144130	314228	397719	346176	286112	287188	456069	501073	416732	292151	288874	528883	675421	403020	170466	158546	148583	119038	127430	129805	129805	160766	275025	361745	127620	140047	256017	244287	267800	229322	234397	143414	91882	56301	38735	0
Tài sản ngắn hạn khác###Other Current Assets	76746	101190	106982	104861	196599	104775	90476	87591	84006	87292	72073	41849	53306	53263	34799	22640	13386	20937	33802	39843	9785	25013	53896	41772	11690	17573	52257	80895	72247	21200	34031	16093	23996	38605	12133	10950	12212	12129	27916	19023	11932	6871	6579	6536	17993	4471	29014	27873	27873	45890	35068	78300	67570	74186	97630	80199	91674	74933	73025	49769	31528	21249	33942	0
Tài sản dài hạn###Non-current Assets	1035385	1077880	1138917	1129039	1153081	1118967	1056654	974371	946726	1073888	1115370	1181127	1097134	1202401	1212824	1260819	1315106	1173828	1157143	1156643	1167858	1126550	1088406	1082191	965312	967666	865851	859021	859021	814437	811827	867805	908389	908231	835655	852289	903662	937106	938906	858778	852041	912531	996037	1007849	1003317	883504	843281	776441	776441	788413	805346	773510	693942	695070	686102	723590	752093	773422	769911	693057	617319	567087	533453	0
Các khoản phải thu dài hạn###Long term Account Receivable	48489	48140	42142	42142	41823	41512	41210	38287	38287	38014	37715	37417	34545	34545	34265	34020	33778	30929	30929	30620	30182	29310	26694	26694	26694	26694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	661356	733330	770027	764445	714040	720468	658952	664392	632597	692768	726171	762779	772556	852890	840409	890801	933078	884856	889442	850855	905414	886381	853294	852801	738929	761934	691589	709581	700829	634951	671105	710056	754405	747345	730188	759577	815629	841706	867320	800830	802938	863682	942995	958506	954269	832052	792125	707907	725285	743134	755367	733989	656909	658035	659584	700152	733594	755775	749681	677195	605267	556481	520065	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3093053	-3072288	-3035635	-3279829	-3270896	-3237087	-3203151	-2932436	-2964231	-2907962	-2872133	-2835549	-2798434	-2718101	-2672766	-2626281	-2578095	-2660982	-2661146	-2702989	-2429905	-2380454	-2408365	-2408859	-2358289	-2308718	-2236970	-2209601	-2209601	-2148106	-2102324	-2097557	-1960053	-1950939	-1903710	-1815016	-1767763	-1721350	-1707322	-1711075	-1659760	-1567020	-1485425	-1486117	-1397667	-1292674	-1196725	-1130711	-1130711	-1086096	-1057158	-981930	-939144	-939025	-930683	0	-796474	-749965	0	0	0	-594442	-560385	0
