CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Tài sản ngắn hạn###Current Assets	7272329	5905037	4246806	4246806	3727716	2417771	2143006	1586218	1586218	1775203	1758964	1563321	1451606	1451606	1391418	1415621	1311732	1387572	1387572	1441882	1503148	999347	1544887	1544887	1346613	1346613	1270066
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	404793	275597	116409	116409	126583	324569	339944	119497	119497	270299	494452	195060	456145	456145	213469	455046	527522	423172	423172	468290	205781	196867	132549	132549	71620	71620	19521
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2594406	1317368	1004734	1004734	1191354	1196650	763022	343400	343400	364445	480635	486135	8000	8000	220300	151000	39200	80000	80000	30000	83175	83175	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1122249	425614	444001	444001	153062	259390	288897	251264	251264	273058	217311	187783	131348	131348	83670	90803	104836	64433	64433	127361	536448	59723	322872	322872	65400	65400	84742
Hàng tồn kho###Inventory	3056920	3679846	2501529	2501529	2131721	573299	698577	814789	814789	844101	558961	692258	841050	841050	856749	713105	639751	795581	795581	804347	665855	654084	1069710	1069710	1208327	1208327	1162123
Tài sản ngắn hạn khác###Other Current Assets	93961	206613	180133	180133	124996	63863	52566	57269	57269	23300	7604	2085	15064	15064	17229	5668	423	24385	24385	11883	11890	5499	19756	19756	1267	1267	3681
Tài sản dài hạn###Non-current Assets	2995266	2751362	3951010	3951010	3795225	4540197	4166947	3628371	3628371	3455922	3414441	3293078	3519745	3519745	3415048	3321146	3332144	3194946	3194946	3021510	2602269	998117	728050	728050	385742	385742	324574
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	288750	288750	229750	229750	252750	229750	229750	30	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	80697	81871	76683	76683	77451	77813	78869	84192	84192	84790	84014	80028	77336	77336	78250	76624	77338	91146	91146	92071	468563	470523	289234	289234	99575	97899	108435
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-37625	-36493	-35807	-35807	-35008	-34418	-33411	-32380	-32380	-31747	-31109	-30187	-30244	-30244	-29379	-28716	-28052	-39246	-39246	-38372	-39590	-37680	-45167	-45167	-41644	-41644	-43758
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3660	-3618	-3567	-3567	-3517	-3467	-3418	-3368	-3368	-3318	-3268	-3219	-3169	-3169	-3119	-3070	-3020	-2970	-2970	-2920	-2871	-2821	-2771	-2771	-2592	-2592	-2408
Lợi thế thương mại	0	102974	11957	11957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	727729	730795	657282	657282	660352	663813	666908	610816	610816	612927	618622	621298	624390	624390	627066	630469	633356	512320	512320	514367	75434	75853	0	0	0	0	0
