CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	134555	122935	110930	110930	115727	115611	109908	121542	121773	117060	113995	111794	113057	113057	111841	108015	114382	109743	109743	117057	117378	124695	121747	121747	113744	93078	89476	73213	77991	73638	74002	65740	69665	69663	90694	99137	71924	69461	69597	65136	54925	71935	51431	51431	55305	63483	71379	44449	44449	43472	42037	45669	55469	32428
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20780	24421	21405	21405	21513	63535	64311	76876	76876	71964	67577	69237	72027	72027	61884	58416	59727	65184	65184	70172	70587	71694	70623	70623	46683	30108	25710	16374	16374	9480	12132	6918	11879	11879	17175	9753	4599	9065	9065	4860	2104	9513	5074	5074	2616	2524	10804	2124	2124	3417	5290	7821	16586	3478
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	48000	48000	45000	45000	45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1858	0	1858	11378	1878	1878	1878	1878	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	45880	43755	38098	38098	42138	44485	38035	37738	37738	37734	38096	33755	31904	31904	40092	39836	43926	34369	34369	37438	37473	42228	40434	40434	54359	48684	47292	42277	36329	34762	37011	32579	28766	28765	40827	41328	35904	33095	33095	24146	23903	31704	25370	25370	27788	31145	32068	31332	31332	27783	25790	23466	27047	14749
Hàng tồn kho###Inventory	16926	4386	4421	4421	4365	4401	4395	4399	4631	4632	4661	4635	5759	5759	6234	6252	6276	7193	7193	7077	7108	9269	10107	10107	10871	11757	12638	13269	13269	6476	10688	12016	12944	12944	18047	32153	19712	18899	19035	16926	16714	16768	9781	9781	10311	12457	10203	6394	6394	5504	3653	3234	3786	12846
Tài sản ngắn hạn khác###Other Current Assets	2969	2372	2006	2006	2712	3190	3167	2529	2529	2730	3661	4168	3368	3368	3632	3511	4453	2996	2996	2370	2209	1505	582	582	1831	2530	1978	1293	10161	11543	12293	12349	14198	14197	12767	15902	11708	8402	8402	19203	12203	13951	11207	11207	14590	17358	18304	4599	4599	6767	7304	11149	8050	1355
Tài sản dài hạn###Non-current Assets	96551	98546	102932	102932	102182	105086	105747	104893	104626	108763	109711	114925	119332	119406	120147	124954	130602	137073	137073	132895	131353	138649	140977	140977	142406	147070	146934	150057	143884	156754	157036	167920	174160	174160	178181	173218	169537	173507	173371	177103	174843	178992	174171	174171	177528	179705	178904	137657	137657	143515	138053	139889	131096	134614
Các khoản phải thu dài hạn###Long term Account Receivable	3155	2729	3145	3145	3516	3887	4113	4792	4792	4832	4792	4840	4795	4795	4798	4798	4809	4817	4817	4827	4827	5242	2472	2472	2472	4392	1920	4778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	86674	88795	92282	92282	89847	88184	89495	85167	84833	89011	92946	96873	97487	97580	98813	102870	106953	111593	111593	106050	103456	108084	111972	111972	111707	112831	114973	113540	113540	122855	130258	139243	144993	144993	148583	142220	137360	133074	137620	140416	137836	140289	124832	133101	136505	137530	135848	81865	98773	100606	94914	96771	87887	86811
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-120573	-118427	-115459	-115459	-112329	-109811	-107522	-105106	-102077	-101218	-99734	-98978	-95381	-95289	-93458	-89115	-85530	-82361	-82361	-79048	-75135	-75258	-71747	-71747	-69661	-65843	-62634	-65461	-65461	-69577	-67965	-69825	-66533	-66533	-62154	-59227	-55301	-57141	-57141	-55114	-51532	-44959	-41649	-41649	-38492	-35427	-32762	-25313	-25313	-22846	-20713	-18588	-20418	-16760
