CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q1 2008	 2007	Q1 2007	 2006
Tài sản ngắn hạn###Current Assets	765215	978438	757908	450898	647558	696909	617397	618845	617553	347321	594283	551237	314379	311765	352491	398047	378433	237067	236069	211720	360134	502326	290473	431531	504754	462904	545834	335895	364966	555154	545815	650474	372230	325581	615088	591482	646568	500912	482683	681621	769719	873761	510370	504415	402112	645604	577864	322140	322184	365772	326750	387063	226796	226796	221048	274837	296071	314355	310656	258619	274806	182948	258619	103195
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3862	3034	3422	3422	2513	3043	3170	3655	3655	1888	3672	2289	3319	3319	1192	2644	3678	1704	1704	1785	3139	1231	552	552	1036	844	4494	4324	4324	3407	1694	1604	1430	1430	936	1301	1615	707	707	3174	1374	1377	4579	2579	4033	93852	6895	3426	3426	9862	2551	3179	4178	4178	5395	3079	2246	1488	1488	25732	12400	7789	25732	455
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	16748	16748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	211920	417762	386441	133635	247043	229210	267507	442588	441849	129469	162210	211119	128660	127896	178332	188860	144462	71284	69487	27373	56427	173204	22472	157936	144874	92215	150605	82901	113731	141150	122506	266913	124261	86748	287620	234938	193809	284975	262107	294016	173361	311196	330903	324861	184397	331221	327886	206654	206595	170874	146628	226940	97405	97405	64265	135200	124809	189917	185931	113581	146516	86320	113581	44141
Hàng tồn kho###Inventory	482988	473706	297861	260056	318420	398310	287395	113477	112924	181506	382500	295284	133181	131784	139151	167698	198277	127084	127158	147403	255419	280045	208647	230930	317498	327595	351542	205157	201651	369932	375142	348660	236593	235422	321124	349396	445326	208975	209014	370322	587786	558370	172448	172534	201399	216830	241093	108267	108369	181791	173685	143853	87641	87641	124379	111956	145792	96061	96347	109734	108991	32166	109734	50513
Tài sản ngắn hạn khác###Other Current Assets	66445	67189	53436	53784	79583	66346	59324	59125	59125	34458	45900	42545	49219	48766	33817	38845	32016	36994	37719	35159	45149	47847	58802	42112	41347	42250	39193	43513	45259	40664	46473	33297	9947	1981	5408	5847	5818	6255	10855	14108	7197	2818	2441	2441	12282	3701	1991	3794	3794	3245	3886	13091	37572	37572	27008	24602	23224	26889	26889	9572	6899	6673	9572	8086
Tài sản dài hạn###Non-current Assets	703567	794675	764284	953387	987033	743430	809731	718363	718453	743056	767177	806353	746634	748374	710311	755799	743817	694375	690788	730116	728255	683606	741470	726494	754714	811204	735701	700925	705020	648313	691271	706751	755636	758513	785621	801662	815397	834591	834367	778060	796728	812758	846727	844683	839882	775819	760677	659942	660103	679521	650728	582740	602844	602844	496791	509391	527748	517419	516474	490874	281539	274517	490874	221370
Các khoản phải thu dài hạn###Long term Account Receivable	75944	74830	70398	70398	69328	69328	68347	63914	63915	62961	62961	62047	57615	57615	56760	56760	55928	51495	51495	50727	50727	48756	44323	44323	44323	44323	0	0	0	0	0	0	0	0	0	0	0	0	31026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	464183	475792	522251	523260	557167	327689	367600	334137	334137	327996	344107	366692	390198	390198	348545	377915	350457	384010	384010	405849	406405	446942	488599	488599	507553	553571	450365	509136	495473	515964	555780	604375	653363	656241	688856	733882	752709	686110	775594	756159	774687	790591	784149	821007	816243	745699	730920	626803	630338	652836	624183	560888	582766	582766	478869	491362	509312	498336	498529	476908	268818	260985	476908	206714
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1646216	-1630833	-1589194	-1646027	-1580318	-1628357	-1587096	-1567067	-1567067	-1524691	-1509145	-1486428	-1461736	-1462191	-1431417	-1413758	-1419826	-1425202	-1425202	-1389469	-1439828	-1398603	-1388171	-1388171	-1346785	-1328279	-1284417	-1237414	-1237414	-1197665	-1202123	-1156932	-1121403	-1118525	-1090635	-1041553	-1006830	-979451	-979461	-932156	-899220	-853431	-803733	-805631	-754896	-720208	-680891	-637288	-637288	-605446	-569145	-550463	-520129	0	0	0	0	-422255	0	0	-369808	-355069	0	-296190
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-374	-323	-272	-272	-271	-271	-258	-244	-244	-230	-217	-203	-190	-190	-176	-163	-149	-136	-136	0	-108	-95	-81	-81	-68	-54	-41	-27	-27	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
