CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	366536	433357	435088	427771	407960	491208	447716	550075	550075	507694	363042	399710	361210	361210	328831	376191	342516	320787	320787	247253	317047	231884	312120	312120	421735	392781	433907	345107	344205	505759	404509	417648	455308	455308	426440	449407	456468	411804	280221
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	21049	18180	21737	21737	4820	5710	47997	48381	48381	43501	54437	95226	65814	65814	53709	106295	85168	113908	43908	55432	93961	98975	113863	113863	86634	56289	38872	126240	126240	37977	48132	49638	34964	34964	54229	127464	97098	58454	4303
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000	20000	0	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	163245	140029	107601	107601	109416	125011	184926	141003	141003	222270	151951	110699	60800	60800	59728	120303	91802	100577	100577	47727	64035	46318	67157	67157	154675	174113	232562	81467	81852	206580	116328	133948	166374	166374	110607	77604	182040	69321	4283
Hàng tồn kho###Inventory	178693	263529	288306	280988	276157	338970	205627	333081	333081	229130	152811	187418	224059	224059	204699	145618	160657	102448	102448	122175	152374	46355	131099	131099	179101	160327	160251	137375	136087	253206	230259	213775	238758	238758	245177	239206	177309	267872	266794
Tài sản ngắn hạn khác###Other Current Assets	3549	11618	17444	17444	17566	21518	9167	27610	27610	12793	3843	6368	10536	10536	10694	3975	4889	3853	3853	1919	6677	235	0	0	1326	2052	2222	25	25	7996	9790	20287	15212	15212	16427	5133	21	16157	4841
Tài sản dài hạn###Non-current Assets	38645	42382	45353	52670	48645	50554	51832	53614	53614	52914	55556	56885	59586	59586	57839	59909	63525	67567	67567	61541	65157	69021	69182	69182	70751	71745	75695	79593	79375	80767	84838	88045	86226	86226	85532	94413	92145	77658	57335
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	35708	38604	42145	42145	44944	47337	49202	52911	52911	52211	54853	54950	57587	57587	53354	57506	61738	62145	62145	55983	59916	63884	67951	67951	69225	70470	74464	79593	77857	73799	76721	86762	84516	84516	85510	93327	87843	60412	57335
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-286916	-284116	-280574	-280574	-277043	-274401	-271664	-267911	-267911	-265113	-261443	-261593	-257802	-257802	-253755	-249603	-245371	-241126	-241126	-236980	-233047	-229010	-224942	-224942	-220856	-217493	-213499	-209461	-209461	-207847	-204610	-203660	-199787	-199787	-195936	-183199	-165380	-145030	-131213
