CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	70729	64184	104434	122442	152005	135005	144861	129774
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12551	13676	9122	6178	8478	4235	13617	6119
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	500	500	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50158	40492	82757	100236	119402	93125	77375	72872
Hàng tồn kho###Inventory	7505	9515	12550	15938	24024	24338	26416	24242
Tài sản ngắn hạn khác###Other Current Assets	15	0	6	90	101	13307	27453	26541
Tài sản dài hạn###Non-current Assets	5599	5638	6694	8139	10543	8967	13912	15634
Các khoản phải thu dài hạn###Long term Account Receivable	10	10	10	10	10	0	0	0
Tài sản cố định ###Fixed assets	5152	5587	6049	6767	8466	8661	13773	15634
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13727	-13292	-13286	-12582	-16881	-15808	-14793	-15041
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-125	-125	-193	-179	-158	-137	-117	-96
Lợi thế thương mại	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	438	41	635	1362	2055	305	140	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	76328	69821	111128	130582	162547	143971	158773	145408
Nợ phải trả ###Liabilities	32054	26550	56821	76418	105905	87525	102579	86733
Nợ ngắn hạn###Short term Liabilities	31950	26550	56821	76418	105905	87525	102567	86635
Nợ dài hạn###Long term Liabilities	105	0	0	0	0	0	12	98
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	44274	43272	54308	54164	56642	56446	56194	58675
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	44274	43272	54308	54164	56642	56446	56194	58675
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	57536	40336	86491	80603	105219	84595	78879	50544
Các khoản giảm trừ doanh thu###Deduction revenues	196	816	1190	3629	319	1401	1581	4221
Doanh thu thuần###Net Sales	57340	39520	85301	76974	104900	83195	77298	46323
Giá vốn hàng bán###Cost of goods sold	49596	37427	78088	77949	93695	77831	71328	45863
Lợi nhuận gộp###Gross profit	7744	2093	7213	-975	11205	5364	5971	460
Doanh thu hoạt động tài chính###Financial activities Revenues	408	211	29	20	16	55	125	79
Chi phí tài chính###Financial Expenses	0	0	226	805	618	550	894	2119
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	7303	23846	8780	11649	10950	7303	8543	9373
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	849	-21542	-1763	-13410	-347	-2435	-3341	-10954
Thu nhập khác###Other incomes	159	10567	2284	11982	956	3074	1062	3430
Chi phí khác###Other Expenses	0	53	264	812	212	233	42	117
Lợi nhuận khác###Other profits	158	10514	2020	11170	744	2840	1021	3313
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1008	-11028	257	-2240	397	406	-2320	-7640
Chi phí thuế TNDN###Corporate Income Tax Expenses	6	2	106	239	202	154	160	176
Chi phí thuế TNDN###Corporate Income Tax Expenses	2	3	106	238	205	154	160	176
Chi phí thuế TNDN###Corporate Income Tax Expenses	5	-1	-1	1	-4	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1002	-11030	152	-2479	196	252	-2481	-7816
---Cac Chi So Tai Chinh---								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.90	8.10	10.00	0.00	0.00	0.00	0.00	0.00
