CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	238848	149171	178539	178539	241469	236903	194545	213376	213417	239316	237929	157913	166639	166659	203279	184770	142324	183007	183067	210453	219236	141913	197280	192489	210242	239066	171841	213308	223320	224350	216043	166502	172296	151894	144050	148941	104032	112375	113889	116752	101631	66783	87806	87806	69817	100134	91737	83403	83375	76959	80141	71659	82658	86621	135157	128539	101813	111151	110803	176417	228417	163238	173261	173261	170593	172328	154966	153954	88372
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	68143	14217	29331	29331	110168	63864	47906	42185	42185	75900	106102	29573	31138	31138	62605	31688	15825	27919	27919	33119	77104	14232	44120	44120	61372	78022	50405	92425	92425	102746	125942	73265	89141	78507	84109	83566	31276	42139	11049	7616	33775	4467	23006	23006	2323	26234	4588	25940	25940	12761	16102	3816	20564	20564	14916	11068	5793	10331	10325	4304	78876	4589	13536	13536	24541	19853	6511	6460	10306
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	8000	8000	8000	13118	22412	44352	44352	45452	11100	27000	32000	32000	26500	21500	13000	59863	59863	92786	38581	50497	57295	57295	62676	58364	52457	51905	51905	36000	18247	8602	6361	0	0	0	0	0	31090	52311	0	0	0	0	13500	0	0	0	0	0	10000	4500	0	0	53100	27000	0	2050	2050	500	3000	13955	50242	50242	57232	67374	71184	95784	20000
Các khoản phải thu ngắn hạn###Short term Account Receivables	97312	70298	85933	85933	75405	94001	70578	65852	65852	62957	66248	51706	52030	52030	63416	78704	64746	53821	53821	42524	57152	28475	49810	49810	41786	56371	31940	26813	27336	46139	31515	36155	31279	28221	28645	26601	21201	31761	33235	31748	28024	25297	26742	26742	21985	32778	44631	19815	19815	35443	20997	24397	24523	26027	29806	42582	40599	34763	32272	94616	79172	89025	63293	63293	53485	51264	44110	26279	38048
Hàng tồn kho###Inventory	73393	64656	55274	55274	47895	65918	53621	60972	60972	54965	54462	49512	51349	51349	50656	51796	46014	38657	38749	38659	42646	43727	41246	41246	44234	46276	36889	41933	40228	36551	36047	38432	35963	35644	20649	34395	49003	36764	36804	23464	35146	29079	29067	29067	27965	38085	40133	34637	34637	28480	32738	35821	34815	35546	34478	42974	50236	58598	59181	64479	59622	48686	40413	40413	29145	27975	29200	23454	19394
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	1	28	15	56	42	17	122	122	142	101	1082	2739	2747	2715	3365	3753	4982	4809	17	173	32	150	232	11425	2913	4292	10049	9552	9522	10646	4379	2552	1711	1711	1613	4686	7940	8990	8990	4044	3036	2385	3011	2983	275	306	3125	2756	4484	2858	4915	5185	5409	6975	12519	7747	6983	5777	5777	6190	5861	3961	1977	623
Tài sản dài hạn###Non-current Assets	101527	107121	116292	116292	113370	122312	126645	131555	131346	131860	141820	149142	158855	158855	155061	158354	156081	161765	161628	152835	163760	169836	164195	164195	148231	160292	171566	160486	150381	151141	159843	166951	171003	177558	162748	175515	185556	188972	188780	195582	205177	214664	216515	216515	218992	229809	234470	242019	242008	232767	256131	264649	269040	264861	253546	274275	267560	285210	281393	212958	137762	150194	121811	121811	94265	74440	63656	70950	77502
Các khoản phải thu dài hạn###Long term Account Receivable	10	0	0	0	0	1250	1250	1250	1250	0	0	0	0	0	1506	1506	1506	1506	1506	1506	1506	1506	1506	1506	1506	1506	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	72865	75175	80439	80439	83374	86825	91923	97172	97172	99313	104374	109080	114291	114291	115803	115651	111329	114736	114414	117676	126055	130603	129544	129544	129358	137087	144675	148706	149465	150225	158927	165373	169754	157049	156921	169674	179715	182895	182925	189727	199293	210240	212837	212837	215285	226102	230734	238283	238272	228721	251427	259888	264279	260613	249298	265479	261680	275486	272321	209561	134364	142618	117813	117813	87924	66079	57315	64609	76540
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-483765	-478139	-472036	-472036	-466640	-460322	-453394	-448009	-448009	-445501	-439084	-432743	-426349	-426349	-423019	-414219	-408551	-402834	-402556	-404048	-395696	-391646	-385692	-385692	-383551	-375557	-367547	-363540	-362451	-359138	-348729	-339896	-335425	-326888	-326708	-313986	-304396	-300471	-300460	-293552	-284049	-273085	-270657	-270657	-268062	-256677	-248537	-240112	-240122	-246621	-222722	-213209	-208536	0	0	-218641	-210399	-202990	0	-208176	-199708	-183967	-178189	-178189	-180814	-170851	-153424	-145737	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
