CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	789940	720048	739332	743292	647776	594464	600862	601194	604896	529618	493174	512588	510178	511218	502174	451970	475452	436263	436646	418913	451418	477971	450921	478638	405782	373476	368662	295740	295962	231621	238323	245747	242194	243663	240956	245446	265646	275042	271317	299872	293919	308043	302067	307852	288844	279743	300243	266903	266903	263973	249493	236842	236842	52777	158130	108046
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	175068	158946	164573	163975	97323	108978	80138	109324	109323	102864	128545	118321	130922	132317	125156	105055	108256	101891	101891	71673	94692	74693	82141	117279	82155	78310	106341	112384	106184	34262	43028	36769	28187	28187	25017	19200	38050	41045	41045	20462	13724	15097	18203	18112	10925	11244	43204	34918	34918	58048	53835	53438	53438	5434	25579	17464
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	50734	21185	14885	15485	15602	17099	17548	19576	19576	21754	21131	36986	37855	36463	37097	36505	39881	39563	39563	38888	34584	17905	7538	0	0	0	0	177	6377	177	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5000	22050	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	225423	212056	243633	242140	220120	178966	238576	264980	263701	186961	172237	197533	202640	201227	188570	176098	182853	171268	171113	168825	144987	164360	168677	168664	135056	117419	117833	110214	110638	82124	92528	94947	120224	121777	83096	96397	86908	119031	104311	119454	106382	84741	101982	107721	95808	101618	98609	131921	131921	79077	62783	88972	88972	15452	78541	65846
Hàng tồn kho###Inventory	337249	314088	301611	307026	304696	276139	250684	198760	203770	209380	164837	156863	137963	140412	148882	132350	139785	119775	120307	136981	174658	218470	190389	190522	187087	174972	141726	63835	63718	104493	93206	104020	87715	87631	126398	122844	132652	109589	119684	150247	164469	197478	174539	174585	172419	159858	149493	93976	93976	118626	120202	80383	80383	7955	46875	21914
Tài sản ngắn hạn khác###Other Current Assets	1466	13774	14629	14667	10035	13283	13915	8553	8527	8658	6425	2885	799	799	2469	1961	4676	3767	3772	2546	2498	2543	2177	2174	1484	2775	2762	9129	9044	10564	9384	10011	6068	6068	6446	7006	8036	5376	6277	9709	9344	10726	7343	7433	9692	7022	8937	6088	6088	8221	12673	9048	9048	1886	7134	2822
Tài sản dài hạn###Non-current Assets	539777	517155	502660	502578	469818	436599	390937	371273	371429	369818	367262	344993	350773	353624	319368	303684	256056	257263	256632	223733	210772	163486	151290	123987	116592	119331	119646	109965	109754	113177	116990	117658	119802	119152	119160	126880	124633	124058	122236	125619	135389	135687	142588	142568	141271	141739	143765	147474	147474	151226	152410	139399	139399	190603	42186	23697
Các khoản phải thu dài hạn###Long term Account Receivable	331	331	331	331	331	662	771	771	771	771	109	109	106	106	106	166	129	129	69	106	69	69	69	69	69	688	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	347966	334152	329592	329447	325803	314648	290854	291423	291424	288022	292625	177689	186034	188277	152243	151679	106667	99806	99806	103351	107597	111977	104558	104542	100286	101413	91780	96554	94553	97877	102183	102599	107035	107783	107519	110489	112396	110571	111571	115536	120548	124050	128803	129545	131728	133554	136316	137974	138929	141627	142328	129335	129335	175716	37788	19260
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-270882	-258761	-251338	-249881	-239774	-230424	-221256	-214105	-213518	-203044	-194968	-187131	-204362	-201622	-197309	-191305	-185299	-180511	-180511	-176222	-171320	-166439	-162157	-162098	-157667	-153471	-150377	-146526	-146526	-141837	-136894	-131345	-126535	-126268	-121901	-117295	-93584	-90924	-90671	-90326	-86264	-87588	-82617	-83469	-78550	-74468	-70872	-66846	-66846	-65459	-60424	-54132	-54132	-83047	-40197	-37082
