CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	41913	56697	41365	41389	48843	56274	75580	60156	60343	40467	42025	49542	44916	44871	39459	40626	46556	35356	35685	35740	30766	39623	37984	37513	37316	31432	27484	29591	30263	34965	33559	41077	34413	34452	37545	34526	32973	28774	24587
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5563	2666	5059	5059	4241	8951	4624	7872	7872	6213	4864	4984	6219	8633	5414	3874	6471	4498	4498	2765	1703	3403	4263	4263	6692	7058	7718	5601	5601	6427	3822	8332	1922	1922	1197	7469	1651	1926	648
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	11078	13663	9533	9365	13627	13390	19584	14738	14805	11999	11136	13888	13468	11051	11306	9360	13058	9680	9572	12717	10783	11162	13147	12676	13901	9125	5489	9869	6755	11556	12601	10445	9504	9507	13373	9359	12199	12619	18325
Hàng tồn kho###Inventory	24935	38454	26542	26733	30438	33180	49103	36195	36361	22030	25719	30012	24886	24845	22573	26541	26068	20765	21202	19768	18139	23938	19704	19704	15904	15188	14004	14045	14826	13643	13912	19005	19910	19926	19272	13989	16285	11945	5014
Tài sản ngắn hạn khác###Other Current Assets	338	1914	232	232	536	753	2269	1351	1304	226	306	658	343	341	166	850	959	412	412	490	141	1119	870	870	818	62	274	76	3082	3338	3224	3295	3077	3097	3703	3710	2837	2284	359
Tài sản dài hạn###Non-current Assets	27765	27147	26496	26496	25374	25449	24645	25207	25247	25721	25829	38961	39026	39022	39680	40373	40944	41008	41004	41283	39635	37529	37467	37559	38053	30555	33283	30670	30663	31331	31905	32443	33007	33008	33650	36438	29094	33782	33170
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	14976	14318	13482	13482	10365	10699	11040	11384	11377	11730	11586	11319	10990	10990	11284	11578	11746	11413	11457	11118	11430	8904	9121	9237	9421	1593	1090	1200	1208	1543	1783	5220	5478	5491	5777	4530	5776	6102	10852
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11584	-12249	-11802	-11802	-11635	-11302	-10961	-10617	-10624	-10270	-9934	-9618	-9310	-9310	-9016	-8722	-8427	-8150	-8174	-7845	-7609	-7678	-7461	-7346	-7208	-7037	-6903	-6793	-6803	-6767	-6509	-6251	-5993	-5980	-5699	-6473	-4598	-2891	-2710
