CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1088904	840603	600298	617798	510705	643647	438739	444236	442876	443726	570039	760068	412939	410791	553104	592136	599409	296672	289660	320992	443556	430783	306906	285193	348427	421522	553192	430371	357472	374726	330186	429537	395787	366322	506770	501183	486986	350102	341816	545292	478609	477443	393807	368942	336591	435723	402981	333042	322721	339930	321261	312901	235656	235675	319656	335286	384649	341170	340778	235506	176866	139037	0	218439	221427
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3782	5421	5533	5533	5837	5418	4843	3002	3002	2465	15414	4318	3236	3236	1704	2056	4819	440	440	4161	6244	6096	68094	68094	5166	2051	2629	3369	3369	3039	3232	3732	1542	1542	2492	5454	4170	2691	2691	2517	10147	10708	6388	6388	115526	227627	115360	96900	96900	61204	44748	25690	93600	93600	98273	66804	14554	42295	42295	14045	32741	7721	0	1684	1979
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	191598	255050	225964	246193	178440	153225	144081	215074	213714	226955	235199	379351	10864	8930	199500	248285	287512	53299	47033	87189	177231	200178	32516	24307	152920	96841	227435	228215	149450	221586	187651	247111	183690	162137	246872	269768	252742	136491	142722	162478	97106	147842	237980	215224	95591	69160	136981	150683	140931	147001	110185	131110	47996	48020	87186	76129	126597	143444	143053	111035	29424	79332	108826	103709	107258
Hàng tồn kho###Inventory	863919	568226	316652	316301	313836	333072	266996	190953	190953	197870	300211	360805	374068	374068	336188	326296	294314	211883	208716	221098	254233	222569	180696	184108	189628	320568	321180	186277	190325	146568	137468	177518	201477	194930	254236	222013	227821	194286	190052	373847	370139	318191	148567	147330	117978	136596	150277	85460	84891	130731	164455	155885	92578	92545	133778	192039	241599	152885	152885	106926	109819	49504	0	108849	112033
Tài sản ngắn hạn khác###Other Current Assets	27605	11906	52149	49771	12593	151932	22820	35206	35206	16436	19215	15594	24771	24558	15711	15499	12763	31051	33471	8544	5848	1940	25600	8684	713	2061	1948	12510	14327	3533	1835	1176	9079	7714	3170	3948	2255	16634	6351	6451	1218	703	872	0	7496	2340	362	0	0	994	1873	216	1482	1510	418	314	1900	2545	2545	3499	4883	2481	0	4196	156
Tài sản dài hạn###Non-current Assets	891784	871591	812367	811946	631998	583343	719274	418126	418126	422111	301009	303199	304921	304754	316572	328364	344889	361481	358578	362452	388003	412197	433441	430943	332461	350709	289529	295793	327025	350298	345858	372325	376266	380074	340982	345187	344470	348935	343851	322950	296291	304870	341374	353277	402499	334627	348785	367213	366678	396579	423866	450489	479808	479808	489719	526579	525570	465895	461027	414433	429129	425286	0	350988	400464
Các khoản phải thu dài hạn###Long term Account Receivable	102506	101784	101070	101070	119848	119023	118204	126883	126883	125990	125085	124189	123304	123304	116200	115337	114484	113631	113631	112761	111933	110281	110281	113714	109111	109111	107514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	800
Tài sản cố định ###Fixed assets	734399	722054	659244	659122	388400	281528	295519	93119	93119	117805	122192	131631	116529	116435	136703	148233	155636	168991	166088	163556	175370	188877	198705	191414	178093	187092	147606	176592	180353	202802	209786	246151	262840	266243	250799	258239	259481	273188	275855	288954	295491	304070	335384	352477	401259	327447	341165	337418	358936	390279	416366	443629	472648	472648	483859	515719	515800	456125	451257	407949	422431	421829	0	347149	395483
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1259267	-1195803	-1173858	-1173796	-1088687	-1073148	-1068639	-1056999	-1056999	-1064866	-1055122	-1053738	-1044421	-1044421	-1007072	-995586	-982748	-972929	-973030	-1010333	-995617	-981376	-967295	-974585	-966465	-958679	-932567	-913678	-898885	-861830	-843960	-848427	-905225	-895160	-893283	-918017	-904767	-920094	-920094	-924956	-904976	-895770	-879556	-871510	-815810	-782674	-745668	-749409	-749409	-713404	-688273	0	-624754	0	0	0	0	-483996	0	0	-424898	-381395	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-67662	-42705	-19776	-19776	-9465	-1205	-1178	-1129	-1129	-1080	-1031	-982	-945	-1039	-921	-898	-875	-851	-825	-802	-783	-783	-783	-783	-756	-712	-689	-665	-665	-642	-618	-594	-571	-571	-544	-525	-529	-518	-518	-507	-496	-485	-474	-474	-463	-452	-441	-430	-428	-427	-426	0	-423	0	0	0	0	-420	0	0	-419	-417	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5500	5500	5500	5500	5500	6700	6060	6360	6360	5060	10060	8970	8970	8970	5470	5470	1800	0	100	0
