CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	425510	456578	395227	395227	441436	423303	435171	420313	420313	369717	402907	436363	445952	445952	450687	428012	471969	688320	688320	698509	745458	665136	703962	703962	655788	751518	566763	543177	543177	498592	465782	420620	489550	489550	501053	536884	567932	567932	549491	637881	627232	696166	696166	552980	557781	644434	503154	644434	558600	692594	443003	504287	504287	594552	594552	373222	467517	458026	393166
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	66927	92806	53945	53945	76000	64353	83110	174840	174840	116772	119955	93591	91312	91312	78901	77600	99655	93079	93079	90010	108793	105404	107018	107018	170090	172697	183842	166184	166184	245979	230436	170399	195273	195273	224313	224429	211971	211971	250911	281343	262506	276173	276173	227093	222122	172150	231473	172150	155639	131504	134560	21643	21643	47348	47348	24914	43392	41151	280374
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	189000	186000	165000	165000	180000	178000	181000	96000	96000	112320	136098	194098	193898	193898	213000	187915	211915	211600	211600	173600	229807	212965	193700	193700	182244	138228	94839	94170	94170	63106	25056	46386	24027	24027	6027	5807	0	0	8000	5000	10000	27000	27000	0	20000	21500	20000	21500	23457	2482	5500	235712	253210	268210	268210	283174	290582	269492	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	55538	65737	65406	65406	74659	66999	60652	39821	39821	30922	45419	52264	59526	59526	45048	46558	38254	36361	36361	29726	45682	28006	109989	109989	40823	195822	88720	109881	109881	28103	41771	14751	63757	63757	24583	56720	85824	85824	21937	58295	64561	113238	113238	118819	146062	211060	92909	211060	150592	258363	95084	106102	106102	108651	108651	36965	64072	79628	31497
Hàng tồn kho###Inventory	111345	111949	110877	110877	109781	112857	110366	109637	109637	108856	100042	96322	101042	101042	112884	114151	121136	339495	339495	403656	360400	318335	292818	292818	262515	241969	196826	167297	167297	156613	166907	187821	205040	205040	227124	245329	268973	268973	267741	283981	278395	261278	261278	203981	166038	236168	154737	236168	226408	293983	199560	136309	136309	161763	161763	24593	64905	62984	45144
Tài sản ngắn hạn khác###Other Current Assets	2700	87	0	0	996	1094	42	15	15	848	1393	87	174	174	854	1788	1009	7785	7785	1517	777	426	437	437	115	2801	2536	5645	5645	4791	1613	1263	1454	1454	1006	4378	1164	1164	902	9262	11769	18477	18477	3087	3558	3556	4035	3556	2503	6262	8299	4521	4521	8580	8580	3577	4565	4772	36151
Tài sản dài hạn###Non-current Assets	690089	671213	699922	699922	705727	691199	703345	712387	712387	646643	605631	563204	578774	578774	580436	582737	572927	540731	540731	539691	545742	546517	537577	537577	538441	484026	473770	478458	478458	472954	471968	474013	474476	474476	462580	442936	436119	436119	415509	445832	420365	451520	451520	531121	519193	530518	524025	530518	511299	445767	489902	530208	530208	505508	505508	649109	706834	684149	657433
Các khoản phải thu dài hạn###Long term Account Receivable	5720	5720	0	0	0	101	101	1851	1851	1851	2302	2753	3103	3103	4600	4950	5401	6101	6101	8244	9024	11573	28875	28875	43042	35876	32462	42464	42464	37738	29165	39492	52585	52585	53267	7453	10297	10297	10590	9864	11648	12697	12697	14576	13807	30155	14336	30155	25242	38518	40698	53473	53473	57348	57348	86065	60961	39710	40688
Tài sản cố định ###Fixed assets	24286	20654	21633	21633	22653	28330	29536	30748	30748	31829	41720	43039	41498	41498	40654	29793	28855	29815	29815	30501	34139	31512	32402	32402	26558	27987	32238	58931	49339	50577	76447	74625	96000	96000	203728	203227	223330	187856	200678	207433	217781	239463	189203	248126	246750	353231	386035	223081	340827	281751	314921	354248	354248	356046	356046	464998	539908	583550	589944
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-126996	-125958	-124999	-124999	-124129	-125372	-124186	-122997	-122997	-121814	-139122	-137465	-135853	-135853	-134300	-133279	-134023	-133394	-133394	-132105	-132880	-131531	-130496	-130496	-129929	-129021	-128310	-128425	-128425	-127016	-151337	-152252	-151255	-151255	-141710	-139074	-142026	-142026	-139457	-157887	-158876	-163378	-163378	-162353	-157185	-181278	-189269	-181278	-131855	-180181	-172105	-156965	-156965	-147842	-147842	-92878	-130042	-116982	0
