CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	637413	569376	564083	532941	682749	621986	542215	564172	556757	556626	630152	566719	564251	553407	574041	558119	538840	576726	566011	568331	452515	419606	385915	354386	443948	489769	499589	599259	599259	637445	550871	504632	541266	572784	495084	421361	454391	474526	504176	405689	409535	452188	449151	454937	530899	498380	493250	439604	474403	455463	459497	489618	433798	462243	410297	332197	266473	345670	344121	433209	357529	274156	266249	266249	300356	303998	276834	251222	285082	313576	256198	251222	243865
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	211844	196619	155331	132243	254948	200647	130740	148924	148431	143008	218875	175517	178596	178654	194159	168522	225643	281609	281735	209786	143961	183337	144909	163920	77077	121909	79205	94090	94090	114447	105401	119791	108615	151775	121361	98533	119891	137281	137363	45335	36004	39862	28226	28225	21302	19698	63643	77220	37153	40245	37931	79665	92234	92024	75003	33080	27285	40302	22065	24958	19312	28753	27922	27922	23873	14836	10966	18918	15521	14017	6687	18918	18509
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	21714	21714	44914	0	0	0	0	0	0	0	0	0	0	0	0	0	4116	4116	51247	51131	19000	19030	0	0	0	0	0	0	0	31265	0	43000	0	0	0	0	0	0	0	0	0	0	0	15300	0	0	0	40000	0	0	0	0	0	0	45000	0	0	0	0	0	7000	0	0	8000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	115012	122224	93147	67337	86110	122427	136513	86373	81722	93866	142359	132994	77529	68910	71280	108331	78317	60216	48419	87738	103185	60830	56153	36432	214415	132266	136682	186043	186043	185761	166344	167163	157243	181850	150639	138633	173441	168937	197427	190376	162263	193129	184947	186444	218843	170812	162841	144307	158003	151304	120606	140110	195513	192125	147525	125583	103317	125137	146446	141754	138365	111228	115002	115002	108621	128267	110875	92747	121197	144814	116475	92747	72748
Hàng tồn kho###Inventory	289137	221687	279016	279016	320591	272506	264913	313718	316172	312382	255949	251049	297573	300014	298296	264246	206576	206029	208474	196662	128991	141456	149245	143623	144096	216572	263332	283877	283877	301181	217989	193481	198816	202926	192549	162695	143719	150096	150907	154136	196302	202892	218716	222970	257488	288046	253671	206266	227463	251703	274034	254355	133423	168566	175740	115284	124986	174532	170746	246419	184293	115979	117427	117427	151962	153799	149795	130279	142104	150221	132298	130279	148495
Tài sản ngắn hạn khác###Other Current Assets	21421	7132	14875	9431	21100	26406	10048	15157	10432	7370	12969	7158	10552	5829	10307	17021	28304	24756	23267	22898	25247	14984	16577	10411	8361	19022	20369	35249	35249	36056	29872	24196	33591	36233	30535	21501	17340	18213	18479	15841	14966	16304	17263	17297	17965	19825	13095	11811	11784	12211	26926	15488	12627	9529	12029	13250	10885	5698	4864	20078	15559	11196	5897	5897	7900	7096	5198	9278	6260	4524	737	9278	4113
Tài sản dài hạn###Non-current Assets	350598	334468	329700	335167	333350	323819	262783	254439	259388	255882	252838	265116	259241	264176	264465	196112	194795	175425	176924	173423	146601	150473	143980	172984	152827	220254	215749	205666	205666	185400	179982	164699	149966	147458	149848	154977	162282	168795	168751	176089	181330	187635	196096	196096	202950	206380	211298	220446	220435	227768	231415	241708	253367	248797	259021	273382	293039	269401	299745	251181	262497	255884	235917	235917	247300	376572	242099	225735	218739	214912	209041	225735	226629
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11175	104138	0	92034	44545	43926	58205	34054	34054	24152	158780	24152	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	298946	303931	310008	309719	240253	230414	235290	228089	228094	232123	237362	240796	172876	172877	162073	161279	161970	152524	152363	130594	133152	112090	109642	109642	111787	172514	113496	185171	116766	123554	128646	129458	135739	133227	138431	143681	151390	158142	157861	165323	171037	176952	185665	185703	192794	193927	202526	211344	211521	218722	221838	231709	239108	239108	244343	248712	188500	257198	195241	198736	194871	182163	191668	191668	207750	200655	201250	211549	201757	194139	194667	211549	210956
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-270448	-263501	-256563	-256542	-249886	-243797	-238751	-233050	-233409	-227810	-225025	-219360	-214066	-214064	-210398	-209160	-206330	-202258	-202419	-198494	-194122	-190552	-186601	-186601	-185175	-388422	-381819	-375875	-375875	-369866	-363989	-356992	-350511	-355658	-348866	-342496	-337083	-330130	-329816	-325290	-317966	-315232	-306566	-306568	-297629	-288652	-279727	-269677	-269696	-259831	-249983	0	-230545	0	0	0	0	-192742	0	0	0	0	-164806	-164806	0	0	0	-140687	0	0	-127165	-140687	0
