CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	530156	519256	616520	617753	616286	609034	618209	658688	658380	630108	717590	655198	652759	652693	681796	653157	618805	591622	588644	693808	750964	743355	799576	800240	831739	787606	732290	803885	809381	792706	793646	726200	868645	868645	1060800	1001677	1185929	1194909	999036
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	149463	129082	114104	118604	153091	149662	152276	160406	154406	130925	187683	153251	130758	130758	120449	122289	117941	117017	117017	126133	154090	139892	142059	152059	148123	156497	127060	158371	143371	141443	145982	138942	124830	124830	180301	175200	191624	129690	221585
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4500	4658	4658	0	0	0	0	0	6000	0	0	0	0	0	10720	10720	10720	10720	10720	10000	10000	10000	10000	0	0	0	0	9800	24800	0	0	1000	1000	0	0	1000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	248865	254268	361291	362682	270319	269595	272615	340408	340100	330881	361281	352439	354911	354848	395744	373385	346644	351597	348895	405348	416949	428849	487518	488122	531776	453222	443389	426774	426765	386997	395896	361665	539345	539345	511357	497948	695136	729238	542423
Hàng tồn kho###Inventory	116501	118980	125365	125365	176284	172976	177010	149192	149192	156787	153807	136872	152673	152673	141324	136821	133602	104624	104350	142979	159360	159590	154921	154980	146058	170734	155703	186146	186146	230620	214621	186756	168868	168868	326089	296182	267393	273703	186622
Tài sản ngắn hạn khác###Other Current Assets	10826	12268	11103	11103	16592	16801	16308	8682	8682	11515	14819	12636	14417	14413	13559	9941	9898	7664	7661	9348	10566	5023	5079	5079	5782	7153	6137	22793	28299	33646	37147	37837	34602	34602	42053	31347	31775	62279	38407
Tài sản dài hạn###Non-current Assets	484513	480618	481281	481289	481528	490565	485110	480784	480784	496771	419178	400137	377502	377683	384839	378890	380527	386052	386586	385301	346932	359864	370646	373448	357046	400746	427510	442141	446484	779421	763064	747365	709821	709821	698078	645472	599495	597708	563557
Các khoản phải thu dài hạn###Long term Account Receivable	70793	70793	70793	70793	70793	70793	66383	66383	66383	67440	68420	68420	68420	68420	83120	83120	83120	83120	83120	70005	62153	54855	55046	55033	21243	21243	15720	20	20	50	50	50	50	50	80	14952	30	30	4451
Tài sản cố định ###Fixed assets	343303	344941	346451	346460	347561	349140	347050	348546	348546	291500	223399	224337	225424	225424	224605	224201	225105	226011	226011	225627	188146	190331	193005	193005	195354	198412	201353	386004	205330	193456	193800	197266	646088	646088	630445	180540	248467	427591	448092
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-184305	-185986	-189103	-189095	-220669	-224371	-228058	-226561	-226561	-225313	-224377	-232344	-253296	-253296	-254026	-253931	-256401	-255613	-255613	-278415	-276651	-274525	-272524	-272524	-270549	-267491	-265067	-261665	-261105	-263225	-259477	-270098	-266079	-266079	-302344	-323349	-318828	-276301	-202957
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11725	-16887	-35807
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-159	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	36535	36535	36535	36535	36535	45206	45206	45206	45206	44393	44393	44481	44481	44663	44393	44944	45372	45372	45372	44944	45536	45536	45536	44525	46598	48654	48791	48799	49589	49952	50084	50275	50368	50368	56673	56549	56675	58554	99206
