CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	278656	282460	288753	319600	268024	222039	190036	171706	169764	195230	166335	146448	165408	174101	152549	80629	47912	39959
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6757	4266	33032	33382	4558	24388	4527	6812	6628	2274	8612	7196	23514	30107	5298	8074	2166	2935
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9120	11384	11384	11384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	129223	126284	99680	129683	146213	87476	88140	75658	75807	120371	87637	79330	84054	85586	94367	53855	34337	26803
Hàng tồn kho###Inventory	123272	127140	131620	132057	108897	101868	90522	82996	81043	72205	69913	59613	57065	57056	52275	18647	11401	10208
Tài sản ngắn hạn khác###Other Current Assets	10284	13386	13037	13094	8356	8306	6847	6240	6287	380	173	310	775	1352	609	54	7	14
Tài sản dài hạn###Non-current Assets	169601	189433	182572	182614	151765	189934	181874	176953	177567	126174	126835	126464	128713	123164	123492	70472	55305	68482
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44000	59000
Tài sản cố định ###Fixed assets	79970	80060	82254	82254	76318	114709	112892	99097	98920	101161	101848	103790	105927	106637	106866	11872	8952	9400
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-35407	-33026	-30714	-30714	-28417	-33306	-30785	-28217	-28394	-26153	-23884	-21691	-19474	-14864	-17492	-11078	-9946	-9968
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	331	341	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	8995	8898	8984	8984	9005	8941	9005	8982	9013	9013	9031	9055	9048	9040	9003	58500	0	0
Tài sản dài hạn khác###Other long term assets	3155	3271	3260	3260	3301	6598	6710	6726	6729	6838	6957	7026	7145	7487	7624	100	129	82
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	448257	471893	471325	502214	419789	411972	371909	348658	347331	321404	293171	272912	294121	297265	276041	151100	103217	108442
Nợ phải trả ###Liabilities	212832	239963	243931	275103	200348	194857	156286	134817	132827	109056	79280	64094	93498	95579	82620	55981	14933	20282
Nợ ngắn hạn###Short term Liabilities	178458	211089	216516	250312	170007	163712	122604	107964	96287	98008	71456	54237	83640	81892	67914	54773	14933	20282
Nợ dài hạn###Long term Liabilities	34374	28874	27415	24791	30341	31145	33682	26853	36540	11048	7824	9857	9857	13687	14706	1208	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	235425	231929	227394	227111	219441	217116	215623	213842	214503	212348	213890	208817	200623	201686	193421	95120	88284	88160
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
