CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	2553706	2839163	2985499	2985508	2585809	2673505	2373187	2233855	2233377	2644650	2852506	2886607	2257958	2262294	2206435	2292780	2002477	1771901	1767287	1913140	1872928	1277736	1209758	1209758	1693517	1490604	1676792	1568364	1568364	1603822	1582876	1394700	1409792	1409792	1502246	1746695	1717003	1178204	1185979	1122082	1167970	1235408	1135173	1134864	1264777	1725076	1580925	1417370	1442368	1473716	1514513	1449154	1377130	1377130	925164	403831	380645	243972	166880
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18143	166370	180243	180243	102507	77787	108871	88541	88541	113740	128189	88654	160182	160182	146400	104111	220667	85175	85175	83311	104067	126720	98468	98468	92215	115947	114509	212448	212448	149545	192856	179995	209073	209073	135591	277351	458336	291697	291697	213025	93008	44469	76552	76552	7422	45880	45400	27315	27315	18109	101855	38475	29111	29111	26720	54249	31605	16234	8046
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	139451	119407	109233	109233	12164	11103	8128	10158	10158	9122	7993	10833	5688	5688	6742	7661	13036	10969	10969	10700	12060	14385	17227	17227	17022	20591	21873	19513	19513	16861	18762	12769	5313	5313	9944	11383	38751	46748	43886	51199	50236	51800	55520	55520	80370	90717	165072	201702	232022	227968	169599	153846	105180	105180	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	350276	330881	375231	375240	483326	491049	499572	586770	586711	649915	675458	626246	608735	613070	414999	377621	415322	271776	267163	341083	300228	333494	314068	314068	517658	314000	330059	360767	344031	266552	203631	284411	283485	283485	360000	319741	326041	225984	228451	350450	450939	238115	150805	151962	250972	381867	233296	110041	110041	272779	438074	472778	673184	673184	424798	161274	34282	66188	54856
Hàng tồn kho###Inventory	2002968	2097616	2185480	2185480	1912493	2021397	1725881	1520720	1520720	1828714	1990629	2095557	1477034	1477034	1625526	1758132	1343762	1393934	1393934	1445993	1431392	790852	765446	765446	1046403	1027946	1182503	963386	963386	1124909	1107591	892792	848364	848364	925052	1093815	846959	578432	578397	479041	544445	868040	807929	802283	905979	1178026	1105090	1029612	1029612	901421	769757	753947	558896	558896	462725	175978	278626	149984	92906
Tài sản ngắn hạn khác###Other Current Assets	42868	124889	135312	135312	75319	72170	30735	27666	27247	43159	50238	65317	6319	6319	12768	45254	9691	10047	10047	32052	25181	12286	14549	14549	20219	12121	27847	12251	28987	45954	60036	24732	63557	63557	71660	44404	46916	35344	43548	28367	29343	32983	44366	48547	20034	28586	32068	48700	43378	53437	35227	30108	10759	10759	10921	12329	36133	11565	11072
Tài sản dài hạn###Non-current Assets	552730	580659	587961	587961	605414	610477	617562	612730	618472	613162	600508	631500	634031	629696	633720	633481	632520	621925	621631	612278	612026	604458	602100	602100	571809	587399	592072	594244	594244	579155	582408	570396	571378	571378	553681	565218	566447	421176	418539	407608	384171	366389	365356	365540	361037	363400	356961	356153	356153	359644	292055	247327	210980	210980	177713	340161	123420	15112	20663
Các khoản phải thu dài hạn###Long term Account Receivable	9375	9386	9386	9386	9386	7511	7511	7511	7511	4346	4346	4346	4346	11	11	11	11	11	11	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	326435	332680	340005	340005	347391	352956	356497	363220	367852	369301	364896	370264	320157	309657	314134	319797	322139	327165	326885	329747	335211	335882	340000	340000	316299	321104	326353	328949	328949	331347	336437	326630	381737	381737	364714	343030	343538	153660	211681	200251	191595	173117	152137	205627	200896	203506	196933	191469	196865	200115	199979	197462	160972	160972	113750	12983	121686	14828	20663
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-227904	-222125	-217058	-217058	-211176	-205290	-199474	-197380	-197380	-192723	-187480	-182604	-177137	-177137	-172196	-166000	-160902	-158022	-158301	-153360	-148155	-143252	-138636	-138636	-133476	-128658	-125254	-122281	-122281	-119507	-114682	-109657	-104782	-104782	-112458	-128131	-123808	-76296	-76296	-82938	-81142	-78037	-74953	-74814	-72439	-71227	-68174	-65190	-65190	-63362	-61165	-58167	-55441	-55441	-55947	0	-46833	-18672	0
