CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q2 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	3970437	3686586	4503554	4614167	6065787	5796537	7227040	7032828	8187534	7269248	3978264	4688421	6191191
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	449226	431128	670084	670081	185711	709707	593800	1548434	2089465	2806741	989089	1387999	1139198
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2654	0	2654	0	0	7542	387000	390542	768430	410000	0	520400	1655883
Các khoản phải thu ngắn hạn###Short term Account Receivables	1890093	1859268	2068124	2203064	4390781	3448843	4579632	3258608	3822973	1909995	1496678	1420265	1793585
Hàng tồn kho###Inventory	1594829	1387634	1757033	1732878	1474564	1619664	1588500	1807809	1432735	2041026	1471920	1295552	1523340
Tài sản ngắn hạn khác###Other Current Assets	33635	8557	5658	8145	14731	10782	78107	27435	73931	101486	20578	64205	79185
Tài sản dài hạn###Non-current Assets	3423612	3239235	3528037	3407181	2793276	2752751	2712273	2712847	2557454	2310180	2325672	2495257	1941316
Các khoản phải thu dài hạn###Long term Account Receivable	38329	38359	141577	141577	142670	79913	82942	84404	121028	159450	182703	24380	418
Tài sản cố định ###Fixed assets	991420	1020509	1047513	1050847	1039859	1004130	1048226	1038012	930554	758477	778270	1694728	1654469
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-865337	-838548	-809231	-799559	-770569	-751954	-715130	-695453	-639296	-514746	-460337	-658309	-671410
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-77935	-76533	-75131	-75131	-73760	-72014	-69959	-68022	-64371	-66097	-61849	-58545	-55866
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	219715	220681	221647	221647	246418	247384	220131	221186	239490	239938	174318	180554	39470
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	335707	330911	330903	331078	294041	328621	294041	322958	326118	265948	490000	519861	171662
Tài sản dài hạn khác###Other long term assets	20913	24490	27021	27021	24600	23467	30610	31400	34850	14699	16482	75734	75297
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	7394050	6925821	8031591	8021348	8859064	8549288	9939313	9745675	10744988	9579429	6303937	7183679	8132507
Nợ phải trả ###Liabilities	4961998	4495029	5532152	5483985	6393287	6095096	7407827	7218265	8284359	7560599	4309024	5454841	6411164
Nợ ngắn hạn###Short term Liabilities	4406232	3938796	4917793	4922781	5980891	5681856	6982325	6795813	7646609	6869707	3505169	4850825	5822014
Nợ dài hạn###Long term Liabilities	555765	556232	614359	561204	412396	413240	425501	422453	637749	690891	803855	604016	589151
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2432052	2430793	2499439	2537363	2465776	2454192	2531486	2527409	2460629	2018830	1994913	1728837	1721021
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	15	0	0	43	0	14	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2432052	2430777	2499439	2537363	2465734	2454192	2531472	2527409	2460629	2018830	1994913	1728837	1721021
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	322
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q1 2018	 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2226212	2851517	13111155	2876554	3485752	3027427	3176571	14443003	3033089	8293758	7609013	14732339	25310174
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	2226212	2851517	13111155	2876554	3485752	3027427	3176571	14443003	3033089	8293758	7609013	14732339	25310174
Giá vốn hàng bán###Cost of goods sold	2140102	2792449	12559797	2701623	3363418	2926606	3021720	13826596	2871961	7879358	7220136	14265751	24863131
Lợi nhuận gộp###Gross profit	86111	59068	551357	174930	122334	100820	154851	616407	161129	414400	388877	466587	447043
Doanh thu hoạt động tài chính###Financial activities Revenues	3053	1078	26695	1076	390	13552	11677	86406	7794	129404	228246	153471	192390
Chi phí tài chính###Financial Expenses	63302	50802	170588	-3860	34074	58200	39813	218889	35276	115779	114776	227700	155937
Chi phí bán hàng###Selling Expenses	56007	51484	238566	96204	40877	54641	48461	257249	49218	230197	209014	219783	289154
Chi phí quản lý doanh nghiệp###Managing Expenses	21081	19616	83086	28848	15764	23347	22185	100950	25063	80625	99704	71792	76296
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-46077	-61756	116088	77274	32010	-16155	56070	163045	59365	117203	193628	100783	118046
Thu nhập khác###Other incomes	1147	1023	6409	2482	1239	1316	1379	4501	1132	3179	7451	12276	95411
Chi phí khác###Other Expenses	1046	1846	3994	1595	753	817	835	3505	425	2028	8424	2862	32614
Lợi nhuận khác###Other profits	101	-823	2416	887	486	499	544	996	707	1151	-972	9414	62798
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-45976	-62579	118504	78160	32496	-15656	56614	164041	60072	118354	192656	110197	180844
Chi phí thuế TNDN###Corporate Income Tax Expenses	2671	2616	32444	25254	6232	-4270	11377	35713	11169	22466	16274	36192	28735
Chi phí thuế TNDN###Corporate Income Tax Expenses	2671	2616	32395	25205	6232	-4270	11377	35762	11169	22128	16642	36192	28906
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	49	49	0	0	0	-49	0	338	-367	0	-171
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-45719	-62936	94217	55207	28726	-10287	47526	136817	48903	95888	176382	74005	152431
---Cac Chi So Tai Chinh---													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.30	8.60	10.00	10.00	10.22	9.56	12.23	10.32	14.81	16.63	0.00	0.00	0.00
