CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	155148	156338	164161	164239	161695	191782	172385	171030	171006	182626	183003	215468	173045	173045	204799	155777	158770	138671	138671	158180	144687	151622	137897	138430	152854	147884	147666	166648	173699	232433	228260	231370	199916	199916	219600	223684	203075	210154	210154	188612	187455	209820	217309	217309	223197	217574	189526	191919	191919	187396	179909	199221	176597	176597	156694	149393	144005	166529
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13863	25856	67583	67583	51306	65680	85215	99545	99546	51800	30664	68400	82178	82178	30245	30020	26656	28058	61058	45580	50544	42481	53073	53073	30210	37270	52953	76658	76658	114043	109481	104828	92975	92975	79620	88004	69672	107677	107677	73800	74585	77850	93266	93266	94948	127981	82321	127611	127611	94880	97748	110030	123894	123894	70961	71037	64847	93818
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	90000	85000	60000	60000	50000	35000	25000	30000	30000	40000	78000	68000	20000	20000	33000	33000	33000	33000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	42512	35244	28242	28302	48787	77481	48375	27286	27292	71936	55008	52030	49618	49618	131355	82830	89835	67618	67618	104061	85078	102184	72185	72718	110903	104106	85899	83644	90452	105806	110175	115275	98832	98832	127094	125943	119857	92754	92754	103041	99212	115167	84833	84833	101867	75315	102330	49014	49014	73844	65179	70123	42519	42519	62420	63709	55134	66325
Hàng tồn kho###Inventory	5360	5908	3777	3777	5990	6446	6394	6383	6353	9357	8563	19543	20413	20413	10196	9927	9279	9894	9894	8388	9066	6957	12639	12639	11741	6500	8462	6188	6188	12048	8040	10730	7950	7950	12582	9369	12810	9394	9394	11455	13236	15726	38026	38026	25913	14135	4454	14911	14911	17735	16163	18010	9834	9834	22856	14062	23859	6330
Tài sản ngắn hạn khác###Other Current Assets	3413	4330	4558	4577	5612	7175	7401	7815	7815	9533	10767	7496	837	837	2	0	0	102	102	151	0	0	0	0	0	8	351	157	401	536	564	538	159	159	305	367	736	328	328	316	422	1077	1184	1184	469	144	421	382	382	937	819	1058	351	351	456	585	164	56
Tài sản dài hạn###Non-current Assets	2809	2925	3063	3063	3211	3359	3523	4619	4619	3851	4048	4244	4441	4441	4661	4887	5113	5055	5055	4546	4671	5004	5138	5138	5079	5213	5347	5488	5488	5647	5811	5996	6181	6181	6366	6552	5934	5581	5581	5752	5897	6225	6423	6191	6119	6308	6499	6691	6691	6885	7078	8158	8584	9202	10223	10956	11790	13141
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
Tài sản cố định ###Fixed assets	1727	1843	1982	1982	2129	2277	2425	2573	2573	2769	2966	3162	3359	3359	3579	3805	4031	3663	3663	3154	3279	3729	3863	3863	3997	4131	4265	4406	4406	4565	4729	5975	6139	6139	6303	6467	5934	5292	5581	5752	5897	6225	6134	6191	6119	6308	6499	6603	6691	6885	7078	5432	8117	8117	8073	8315	8869	9947
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-16814	-16799	-16661	-16661	-16513	-16365	-16217	-16069	-16069	-15921	-15773	-15625	-15853	-15853	-15681	-15504	-15326	-15165	-15165	-15296	-15171	-15352	-15218	-15218	-15084	-14950	-14816	-14675	-14675	-14516	-14352	-14188	-14024	-14024	-13860	-13696	-13955	-13792	-13792	-14320	-14139	-14889	-15263	-15119	-15403	-15214	-15023	-14831	-14831	-14638	-14445	-12423	-16140	-16140	-15833	-15590	-15347	-15294
