CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	383226	379082	383743	383743	443639	472955	360965	421150	420838	377779	270518	277789	287172	287233	199825	302970	283682	203180	203257	156330	281215	153840	150411	150411	313268	267805	283972	190186	190186	241616	244485	243656	210980	210980	176537	108371	163172	193182	168363
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20728	7559	4023	4023	18518	8330	9024	28460	28460	14020	5861	4256	22407	22407	6824	11511	2759	8576	8576	10819	51072	57578	21201	21201	17850	56710	23857	38871	38871	12101	6091	11339	23534	23534	16785	28633	17006	18453	2251
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	3383	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	113177	152187	144087	144087	175121	206567	141077	183064	183064	152593	134133	134195	117077	117094	49295	98223	78966	35602	35602	65143	57070	71281	32840	32840	164291	128335	181887	27504	27504	120490	87676	111013	59616	59616	57689	23823	24718	67628	5773
Hàng tồn kho###Inventory	195815	168966	189225	189225	206705	218386	167742	173697	173697	178528	107515	115806	130532	130532	126855	170542	179685	139998	139998	68998	159512	17511	86008	86008	117385	71136	65148	95973	95973	83702	120915	82575	77114	77114	61753	28228	102484	99769	154771
Tài sản ngắn hạn khác###Other Current Assets	53506	50371	46407	46407	43296	39671	43122	35928	35617	32639	23009	23532	17156	17201	16852	22692	22273	15621	15698	7987	10177	4088	6980	6980	10359	8240	9697	24454	24454	21940	26419	35345	47333	47333	40311	27687	18963	7332	5568
Tài sản dài hạn###Non-current Assets	144960	148642	151817	152569	153130	156507	148724	143497	143497	140705	143457	147226	150356	150356	155609	159049	158323	161984	161984	152333	147380	146959	148881	148881	150959	151898	154029	159358	159358	162186	165645	168406	162782	162782	161249	89712	16868	14485	14895
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3383	3383	3383	3383	3383	3383	3383	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	143283	147256	148472	148472	150050	153366	133985	137877	137877	138481	141690	145457	148282	148282	150431	154108	156621	160267	160267	141770	140667	142795	145498	145498	144650	145165	147781	153433	152474	154977	157327	159929	153454	153454	149900	9658	11561	12621	14895
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-185252	-180560	-175903	-175903	-171389	-167541	-163544	-159679	-159679	-155783	-152015	-148248	-144839	-144839	-141098	-137422	-134771	-131124	-131124	-118142	-116023	-115179	-113116	-113116	-110982	-108998	-107061	-110373	-110373	-116551	-128191	-127837	-126012	-126012	-130900	-135174	-139234	-147319	-143193
