CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	Q4 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	242353	212724	206082	205761	203820	209415	165277	195274	195157	189134	181318	184276	192494	192494	189536	182852	178989	183816	183816	187376	194198	184846	187893	187893	187189	203152	205805	204606	204009	195439	194699	206735	218934	218934	226185	227620	240180	251746	251746	231519	223787	242859	210290	209804	204131	182927	214425	165360	164904	148881	136352	136415	131298	131320	123230	116859	144875	123539	123483	135570	133647	138926	136204	137938	136783	118619	113019	113019	208586	73018
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	33083	14930	1257	1257	3710	9415	8774	31859	31859	48950	67376	88174	118324	118324	134752	131040	135506	136536	136536	139908	168329	155879	154471	154471	116686	148205	147979	144159	144159	140984	134949	134403	139520	139520	118535	120948	157585	197672	197672	177986	158668	157426	140096	84381	132975	122639	114045	71656	71656	34855	18967	17949	24216	24216	26921	8946	31073	19064	19064	14215	7607	16865	99131	99122	67254	30932	59649	59649	146545	34796
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	174000	163000	168000	168000	160000	170000	120000	135000	135000	110000	95000	70000	50000	50000	30000	30000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10327	0	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	55698	0	6300	38500	40000	40000	40000	35500	40000	60000	60000	40000	30000	30000	30000	30000	5000	10000	35000	5000	5000	5000	15000	15000	15000	15000	15082
Các khoản phải thu ngắn hạn###Short term Account Receivables	21568	10282	11305	10984	9424	9234	14688	11074	10957	15968	5684	6390	5646	5646	6625	7245	9105	12974	12974	5882	4746	4218	6447	6447	41114	11609	17500	8025	7428	8365	11170	11464	25166	25166	33147	44842	12746	10363	10349	19968	21697	33971	10834	10856	30733	24404	47614	29930	29930	42912	42024	44017	28818	28839	29273	34570	44844	36223	35957	35588	20473	21642	23192	25128	38599	29445	28625	28625	20127	13308
Hàng tồn kho###Inventory	8731	22569	25518	25518	27378	13342	20812	17248	17248	10575	7187	17725	18477	18477	16310	9501	12483	13054	13054	15660	3776	10465	16971	16971	16162	27902	23993	28254	28254	20922	19791	36461	32540	32540	46672	30990	38840	33963	33963	21428	25908	39295	49699	49699	29911	17117	6844	20224	20224	25772	33300	30091	15560	15560	21418	37748	36533	37254	37254	75921	88935	59858	8373	8373	19347	37516	9452	9452	25957	9817
Tài sản ngắn hạn khác###Other Current Assets	4972	1944	3	3	3308	7425	1003	93	93	3640	6072	1987	46	46	1849	5066	1894	1252	1252	5926	7348	4284	5	5	3228	5109	16333	14168	14168	15169	18789	14406	11707	11707	17831	20839	21008	9747	9762	12137	17514	12166	9661	9170	10512	12467	7422	3549	3093	5341	6561	4357	2705	2705	5618	5596	2424	998	1208	4846	6632	5561	507	314	6583	5724	293	293	955	13
Tài sản dài hạn###Non-current Assets	159329	160112	147802	147802	148466	143521	171914	145701	145805	143807	142233	142751	143024	143024	141518	140323	141309	141274	141274	135738	135344	133240	133186	133254	129731	126364	130247	127999	128465	129442	126824	129357	129132	129132	128415	123193	127907	128121	128121	127628	126152	129204	133320	133800	134872	132675	131629	143015	143471	132468	131239	135786	137227	137227	138577	138463	138019	142492	142520	144108	142377	139322	140103	138161	133491	134442	153529	153529	160356	163541
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	62823	59046	60810	60810	62870	46980	49063	50136	50241	48950	51234	50580	47964	47964	48320	50342	45004	46155	46155	41481	42713	42424	43646	43646	44627	49998	56078	100833	59465	60991	62518	102168	101841	101841	100321	94975	99437	63509	99373	98985	97472	100040	77121	104473	104205	101870	100771	75406	101680	102026	99884	103618	104888	104888	106274	106158	104627	108169	108500	109309	106547	102534	102396	100454	94876	94841	112152	112152	117093	119887
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-70067	-71021	-69271	-69271	-69846	-68387	-67838	-66276	-66091	-65029	-64730	-63471	-63085	-63085	-62122	-61042	-60288	-59010	-59010	-58043	-56825	-55612	-54404	-54404	-53140	-54395	-59846	-61154	-60689	-62281	-60754	-63169	-61438	-61438	-59525	-58695	-64225	-62479	-62479	-60642	-59092	-59335	-59672	-59672	-57522	-55071	-57393	-55830	-55830	-53547	-51317	-51156	-48987	-48987	-46875	-44673	-42511	-41327	-41373	-39259	-36766	-35817	-33991	-34115	-32140	0	-28686	0	0	0
