CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	881689	803191	888025	888025	931859	769446	766683	859394	859395	785696	750828	702435	745856	758984	753440	772565	875804	841551	920768	945641	1018804	938204	965856	949445	941201	839948	840895	803375	803083	719320	679112	676678	776212	776274	824620	774455	766356	717994	718650	659294	658679	698707	622670	635871	589578	547369	497581	489065	489065	460196	401271	395839	341633	341326	377981	348265	316975	303876	303188	326604	322442	354006	0	119709
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	265931	134831	297466	297466	147893	148140	187725	316134	316134	160288	104661	79644	160904	160904	77160	98481	51460	204507	203276	162019	276787	262595	345098	345050	289528	222542	228731	292169	292869	203325	177943	117034	256585	256099	159039	87884	52717	104329	104329	63968	43173	47598	43241	43241	74478	24511	19580	29068	29068	27501	10697	10710	5434	5434	14020	7630	2895	10176	9615	8061	14280	123921	0	13457
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	15320	17320	14500	14500	12100	12100	9400	9400	9400	9400	8600	8600	8600	8600	8600	9600	10600	10600	10600	10850	10250	9250	2000	2000	6700	3500	2068	1989	1289	289	346	346	257	257	257	1014	1014	1124	1124	228	240	680	715	715	839	1034	1380	819	819	978	1143	972	567	567	19719	18374	18084	17979	17979	8000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	192808	204919	163014	163014	320184	184732	181839	153573	153574	182638	187037	209049	200063	200298	290795	292961	445039	291661	382185	458854	420143	366188	297578	281503	312662	304219	268580	223298	223006	238933	236290	236678	240161	240709	396405	400019	426527	306610	307266	345785	309967	311731	238827	252027	230813	272294	230960	267132	267132	254634	247979	247706	214451	214144	213407	182923	164941	125239	124682	169217	191390	110838	87022	47302
Hàng tồn kho###Inventory	365831	402239	364251	364251	400671	379095	345537	337533	337533	388045	406534	362648	332831	332831	342668	344712	338692	305364	304833	303393	300561	290808	312487	312487	319084	302654	316554	264740	264740	247103	241980	298980	263884	263884	248532	259661	257374	284668	284668	233506	287295	315383	328156	328156	269249	236441	229116	186291	186291	163844	133159	129043	117964	117964	126599	134235	131055	147374	147405	136826	113336	116107	0	56574
Tài sản ngắn hạn khác###Other Current Assets	41799	43881	48794	48794	51011	45379	42180	42755	42755	45326	43996	42494	43459	56351	34218	26811	30014	29419	19874	10525	11063	9363	8693	8405	13226	7033	24962	21178	21178	29670	22553	23640	15326	15326	20386	25877	28724	21263	21263	15807	18004	23315	11732	11732	14199	13089	16546	5754	5754	13239	8293	7408	3217	3217	4236	5104	0	3107	3507	4500	3437	3141	0	2377
Tài sản dài hạn###Non-current Assets	643074	662151	683487	683487	688253	704130	717645	730468	730468	729307	742568	749595	763846	758128	630977	599264	584481	535902	436591	354749	345653	363567	330667	347269	321017	325673	339617	328674	328927	318036	310850	309620	311502	311342	297542	288256	250042	250490	250490	238597	238111	211803	215773	210026	110104	104223	89220	89803	89803	75337	69721	66823	64519	64519	59253	56544	57319	55444	55444	52393	50062	49792	0	69921
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	491	491	491	491	27666	691	16791	491	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	592370	602353	619527	619527	619360	633749	648000	656016	656016	664229	677439	675061	685451	463883	306926	245701	249378	245196	245196	233467	229697	232631	235313	235313	234186	234830	237605	283199	235670	224418	218837	221872	265228	265228	250482	240345	218823	197663	218898	202507	201347	180905	183523	185173	106644	100623	85568	74363	85891	71220	65414	62231	59687	59687	54486	51822	53394	51464	51464	48100	45648	46157	0	68440
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-431813	-413223	-393845	-393845	-381159	-363231	-344240	-331737	-331019	-313608	-297857	-277765	-260804	-260734	-247932	-239024	-231094	-224469	-224469	-227374	-220040	-213993	-208027	-208027	-202035	-194937	-188597	-173576	-173576	-167449	-161403	-155298	-149977	-149977	-144955	-141531	-141551	-136867	-136867	-124471	-119955	-116409	-111789	-111789	-76301	-75177	-72577	-70709	-70709	-70117	-68071	-65998	-63994	-63994	-62287	-59256	-57316	-55293	-55293	-51496	0	-48189	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7629	-7299	-6980	-6980	-6855	-6559	-6252	-5972	-5972	-5695	-5462	-5243	-5153	-5153	-4911	-4574	-4242	-3818	-3818	-3624	-3321	-3028	-2735	-2735	-2433	-2144	-1861	-1560	-1560	-1434	-1361	-1289	-1225	-1225	-1162	-1105	-1062	-1005	-1005	-807	-760	-714	-666	-666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	3761	4466	5171	5171	5876	6581	7286	7991	7991	8697	9402	10107	10812	10812	11517	12222	12973	13724	13724	24790	25541	26596	27650	27650	28705	29759	31977	0	32917	34081	35245	36774	0	37573	38737	39901	39901	28263	27431	28263	26491	27242	28744	27993	22997	0	1147	1193	1193	1239	1284	1330	1376	0	0	0	0	1376	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	500	500	500	500	500	500	500	500	500	500	500	500	500	500	4624	4613	4500	4807	4807	4841	4848	4597	5122	5332	5671	5794	4231	6528	6781	6358	6339	5465	6190	6030	6084	5600	2336	1821	1821	8295	8193	0	0	0	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	3925	3925	3925	3925	3925	3925	2925	0	1438
Tài sản dài hạn khác###Other long term assets	44422	46477	49036	49036	51461	52853	55596	60090	60090	52670	55303	50536	52645	22702	18331	18757	19982	21380	21433	31668	32943	5377	32162	4804	4478	4885	5376	6030	6030	3902	3050	2667	2510	2510	2238	2408	1452	1509	1509	1304	1328	2905	1856	1856	155	250	256	469	469	629	772	1012	1206	1206	1087	797	0	55	55	368	489	710	0	42
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1524763	1465341	1571512	1571512	1620112	1473576	1484328	1589862	1589862	1515003	1493396	1452029	1509702	1517112	1384417	1371829	1460285	1377454	1357359	1300390	1364456	1301771	1296523	1296715	1262218	1165621	1180511	1132049	1132010	1037356	989962	986298	1087715	1087616	1122161	1062710	1016398	968484	969140	897892	896791	910509	838443	845897	699682	651592	586802	578868	578868	535533	470992	462663	406152	405845	437234	404809	374294	359320	358632	378997	372504	403799	0	189630
Nợ phải trả ###Liabilities	368609	346801	453482	453442	461471	345477	372897	482648	482838	371575	391615	371120	390854	398459	258173	301939	454573	362691	342766	259947	382318	377074	329667	331772	360277	308911	365714	261287	260995	210224	212082	250322	334742	334802	371934	480999	478053	456375	456364	406133	442144	492541	403406	405139	318479	298464	258806	229730	229730	204352	157720	188957	147197	142130	145554	126944	108976	101921	101322	115458	116415	167276	133174	116241
Nợ ngắn hạn###Short term Liabilities	277586	237565	343493	343453	317768	192980	200173	312184	312374	164424	278193	287735	380753	385785	249856	294801	445439	354737	327626	249206	371924	371192	329257	331362	360277	308911	365714	261111	260819	210192	212082	250322	334624	334684	371593	480540	477531	455135	455124	398788	434554	457455	370826	372559	314847	294832	255149	226070	226070	200693	154049	185262	143489	138422	141819	123319	105336	98265	97742	111869	112799	163648	129546	106092
Nợ dài hạn###Long term Liabilities	91023	109236	109990	109990	143703	152497	172724	170464	170464	207151	113422	83385	10101	12674	8317	7138	9134	7954	15140	10740	10394	5882	410	410	0	0	0	176	176	32	0	0	118	118	341	459	522	1240	1240	7346	7590	35085	32580	32580	3632	3632	3656	3660	3660	3660	3671	3695	3708	3708	3735	3625	3641	3656	3580	3589	3616	3628	3628	10149
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	8	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1156155	1118540	1118030	1118070	1158641	1128099	1111431	1107214	1107025	1143428	1101781	1080909	1118848	1118653	1126244	1069891	1005713	1014763	1014593	1040444	982138	924697	966856	964943	901940	856709	814797	788601	871015	827132	777881	735976	683996	683836	680160	513454	473083	512108	451713	445583	408351	375845	435038	400183	381203	353128	327996	349138	349138	331181	313272	273706	258955	263715	291680	277865	265317	257399	257310	263539	256089	236523	0	73388
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	1174	1320	1860	1860	1446	2387	2421	1154	1154	1206	1240	1292	1356	1356	1418	1488	1559	1629	1629	2676	2171	2241	2356	2356	1657	1643	1503	0	1314	1549	1377	474	745	745	751	575	538	1137	1137	1116	436	-68	805	805	1242	42	42	42	42	52	959	42	-222	4826	2529	1905	2937	4801	4770	1080	2960	18	0	1438
