CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	90274	99889	106881	106749	111263	97421	86955	109677	112557	102349	101222	95469	108545	108891	97354	81291	79292	70312	70312	68358	73777	65167	61132	65619	71758	63102
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	34329	32297	42815	42815	48132	24128	19885	34206	34206	27268	37570	44891	53433	53433	37539	38162	38836	20096	20096	14304	16294	18761	14082	20326	29873	21594
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	11592	14559	20428	20549	24673	33737	28560	31503	34384	35638	22844	13700	17162	17508	24069	11094	8552	17292	17292	22443	26470	15561	16029	13944	14551	14932
Hàng tồn kho###Inventory	37391	50604	41641	41389	37484	38388	36850	42435	42435	37785	39673	35527	36280	36280	33966	30243	29882	31186	31186	30840	30222	30016	29925	30017	25968	25050
Tài sản ngắn hạn khác###Other Current Assets	1962	2428	1997	1997	973	1169	1661	1533	1533	1658	1134	1351	1670	1670	1779	1793	2022	1737	1737	771	791	828	1096	1333	1367	1527
Tài sản dài hạn###Non-current Assets	192228	192778	194124	193873	195734	198224	197491	180170	174327	172489	173106	175530	174754	174754	177804	179422	182143	185558	185558	189090	174192	175270	179004	190463	184603	200725
Các khoản phải thu dài hạn###Long term Account Receivable	383	383	383	378	378	378	378	378	378	266	266	266	266	266	266	266	266	366	366	296	396	396	596	0	0	0
Tài sản cố định ###Fixed assets	179362	180708	181691	181691	184128	186950	185048	167851	162008	161828	162648	164765	164729	164729	168205	171156	173815	176826	176826	180962	166463	168180	171037	182826	175238	193433
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-174575	-172679	-168295	-168295	-163847	-159364	-155006	-150841	-150828	-147393	-143891	-140896	-136632	-136632	-132827	-128418	-124674	-120374	-120374	-116082	-111831	-107831	-106646	-91664	-77101	-66369
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
