CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1235448	1236964	1226811	1248903	1429467	1622425	1923171	2051560	1918070	2058774	2552831	2885290	3336938	2856447	3016466	2840503	2684282	2710895	2710895	2343526	2501229	3642058	3397251	3666802	3807119	3346130	3173517	3101626	3331650	3059375	3062532	2881137	2786453	2783023	2617811	2482061	2687603	2539084	2535018	2592292	2567549	2476019	2557212	2471739	2354237	2318936	2207166	1957692	1814446	1973427	1753789	1749823	1661290	1754460	1511170	1527634	1561591	1301227	1328350	1167850	1070029	1083854	997994	997994	631919	704201	296732	135704
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	67545	127755	81855	162913	140783	199771	235376	151488	126811	60015	89307	65337	63970	53865	39595	50678	74315	111536	111536	77025	99922	160507	7980	7973	246117	141551	56851	85895	58075	9299	73513	51322	65513	65492	8898	2332	36356	6318	6268	4251	2092	14176	24463	4984	15895	41313	19627	17157	12302	39529	21744	7421	6930	6930	11561	26960	26266	38910	38925	22241	9552	16097	13663	13663	4617	121128	19086	2879
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	45135	45135	148103	46060	105598	51351	73092	77126	131824	84292	62089	92674	89864	109801	75902	471	471	753	753	0	3110	1798	125063	116331	131938	56824	61051	12147	28720	21005	21090	12239	51549	51549	4610	4580	6596	6256	6096	6698	5735	5540	20184	40013	17937	20951	28057	15085	36072	34483	27915	5701	11688	110688	107624	109451	19782	151232	171378	117226	101470	100078	59996	59996	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	378166	424738	368018	401600	309632	469353	560777	750645	540759	551925	827157	986436	1537054	1020741	1106756	1041823	800855	755271	755271	265790	530434	915904	820367	1130882	921621	824826	806893	752492	786872	524249	550131	453763	390023	384716	470899	418418	569733	544897	525930	700992	807428	683942	822619	741704	588583	579340	673586	506969	479058	506722	374058	542777	600497	593860	307827	458026	402759	195826	202528	183907	105379	168176	116308	116308	63769	137851	32068	43004
Hàng tồn kho###Inventory	700972	593343	583490	596889	847238	879882	1039321	1055861	1094199	1338131	1550532	1719919	1612635	1638324	1753422	1691551	1752286	1783971	1783971	1942986	1824363	2516946	2416045	2384151	2485852	2293591	2217126	2210607	2400668	2461618	2384681	2336205	2245347	2245309	2100278	2031941	2038150	1955594	1962781	1847634	1727813	1746271	1665904	1661342	1645173	1581969	1409300	1351591	1221705	1313606	1247023	1131851	984136	986657	1006373	845674	1035669	841550	843798	776346	793212	760446	767777	767777	527301	407382	231513	89821
Tài sản ngắn hạn khác###Other Current Assets	43631	45993	45345	41441	26216	22068	14605	16440	24476	24410	23747	20923	33414	33717	40790	55980	56356	59363	59363	57725	43399	46902	27796	27465	21590	29338	31596	40484	57316	43204	33117	27608	34021	35958	33127	24790	36768	26018	33943	32718	24481	26091	24041	23696	86649	95363	76596	66889	65309	79087	83048	62073	58039	56325	77786	87523	77115	73710	71721	68131	60416	39058	40250	40250	36232	37841	14064	0
Tài sản dài hạn###Non-current Assets	958749	934671	918833	955476	1103149	1083906	722158	728626	476477	487076	724566	810909	829547	825890	847865	857450	863081	874221	874221	856780	851374	1064633	849418	1024289	905760	903640	891607	910948	734041	703189	713030	722818	731584	743725	732846	743476	752162	758655	754216	769429	776531	765239	779816	802662	713181	685416	688849	692915	774451	753846	736576	723776	515013	488923	464146	458590	669619	446225	446775	460002	458164	428079	375337	375337	173308	88020	34564	21466
Các khoản phải thu dài hạn###Long term Account Receivable	21238	31056	30200	30200	38313	38285	38713	38713	37154	37755	38586	36070	36668	38347	36826	36715	36471	35412	35412	25498	24828	44406	45176	980	800	800	19000	18879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Tài sản cố định ###Fixed assets	362921	351362	345499	246188	307623	311206	288735	297443	284160	287749	452853	449430	455672	459790	480950	482647	488180	497766	497766	491393	496143	480481	493233	466010	451090	452884	385969	390224	374271	381308	389331	425257	514607	532306	540506	549177	562120	482891	567715	577600	582472	576214	515789	597756	577818	545899	535935	452095	487919	489352	486328	472664	151487	151487	148130	151123	455007	149367	149367	145453	146805	146139	146109	146109	99039	83598	19365	17384
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-553179	-547819	-557117	-360929	-398154	-388800	-265866	-257693	-258314	-251397	-300073	-291372	-281685	-279127	-281315	-272205	-263884	-254331	-254331	-244514	-234972	-229695	-222612	-223695	-214981	-206459	-198473	-191317	-191113	-183555	-175985	-167925	-160188	-160051	-151720	-143712	-140561	-132789	-132725	-125711	-117255	-109295	-101958	-104919	-96321	-90819	-80771	-74716	-64965	-59295	-53390	-46532	-33810	-33810	-32657	-29737	-33602	-28733	-28733	-26484	-23664	-21560	-18856	-18856	-13376	-14181	-11224	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-21655	-19250	-18164	-16580	-15826	-15241	-14587	-14005	-13956	-13529	-13159	-12881	-12573	-12573	-12330	-12033	-11214	-10919	-10919	-10580	-10328	-6236	-9729	-6050	-5864	-5680	-5494	-5308	-2388	-2305	-2222	-7336	-7045	-9801	-9388	-8975	-8597	-8182	-7851	-7478	-7352	-6730	-6356	-4467	-5327	-5135	-5285	-5325	-5275	-4832	-4384	-3941	-1652	-1652	-1472	-1283	-2256	-1085	-1085	-1032	-985	-938	-891	-891	-844	-818	-736	0
Lợi thế thương mại	188267	193546	198824	290259	305670	305670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	73098	74966	72887	116235	186529	163307	139234	141644	112562	115952	113715	193448	201223	192471	192332	192715	190741	190263	190263	193445	193779	170543	194152	180589	166000	161189	159222	167452	167203	167266	168618	169376	169625	181811	162696	163318	163874	164075	159257	163523	165010	167243	172593	194262	123027	129146	142082	142697	278330	256568	242178	238508	360057	333967	313042	302950	193153	291117	291117	307726	305853	277028	224377	224377	71377	1787	14740	3432
Tài sản dài hạn khác###Other long term assets	440760	443667	436097	531664	541494	542221	232856	233956	5970	7769	77532	78624	84094	81598	85108	88687	90503	94422	94422	97953	96498	98220	92550	97830	85402	85246	64885	64825	75991	76246	77161	46296	47352	29608	29644	30981	26168	26765	27243	28305	29050	21782	22769	10645	12336	10370	10832	9950	8201	7925	8069	12605	3469	3469	2974	4517	21460	5741	6291	6823	5505	4911	4850	4850	2892	2636	460	609
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2194197	2171635	2145644	2204379	2532616	2706331	2645329	2780185	2394546	2545850	3277397	3696199	4166485	3682337	3864331	3697953	3547363	3585116	3585116	3200306	3352603	4706691	4246668	4691091	4712879	4249770	4065124	4012574	4065691	3762563	3775563	3603955	3518037	3526748	3350658	3225537	3439765	3297738	3289234	3361721	3344080	3241258	3337028	3274401	3067418	3004352	2896014	2650607	2588896	2727273	2490365	2473599	2176303	2243383	1975317	1986224	2231210	1747452	1775125	1627852	1528193	1511933	1373331	1373331	805227	792222	331296	157170
Nợ phải trả ###Liabilities	2753532	2772364	2777473	2715077	2659464	2660928	2625690	2760472	2304146	2482830	3181193	2865575	3338442	2830836	3728387	3564962	3432344	3453016	3453016	3234091	2987656	2788436	2817849	2748102	2829008	2866535	2788739	2762099	2763015	2758743	2805853	2655916	2570448	2562090	2459392	2337330	2644135	2504310	2482386	2548269	2543132	2442538	2541618	2439669	2252459	2189698	2091149	1841099	1761636	1923420	1702163	1692893	1482306	1539728	1292741	1292044	1464057	1057722	1081140	937917	835276	817600	687889	687651	357684	349639	270408	146229
Nợ ngắn hạn###Short term Liabilities	2015103	2032306	2037600	1983466	1927396	1929404	1894129	2028455	1776888	1955115	2653562	2338860	2811270	2305212	3140758	1944540	3343390	3423576	3423576	3173074	2926175	1552093	2754413	2678757	2763336	2799951	2401351	2628798	2617069	2650071	2708741	2508874	2418235	2367020	2256486	2136564	2452166	2311865	2273464	2328495	2426471	2294525	2417729	2343221	2141127	2079689	1973863	1721310	1658904	1805017	1585281	1568428	1470925	1526321	1269430	1268699	1327475	1034303	1045680	901275	797422	789130	659390	659152	317813	313827	270297	142549
Nợ dài hạn###Long term Liabilities	738429	740058	739873	731611	732068	731524	731561	732017	527258	527715	527631	526715	527172	525624	587629	1620422	88954	29440	29440	61016	61481	1236342	63436	69345	65671	66584	387388	133301	145946	108672	97112	147042	152212	195070	202906	200766	191969	192445	208922	219774	116662	148012	123889	96449	111332	110009	117286	119789	102732	118402	116882	124465	11381	13407	23311	23346	136582	23419	35460	36641	37854	28469	28499	28499	39872	35811	111	3680
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37638	8	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-559335	-600729	-631829	-510698	-126848	45403	19639	19713	90400	63020	96204	830624	828043	851501	135944	132991	115019	132100	132100	-33785	364946	1918255	1428819	1942989	1883872	1383235	1276385	1250475	1302677	1003821	969709	948039	851319	863269	786708	783616	689327	793428	697197	702033	690618	688249	795409	728983	704721	703321	684920	809508	734310	715583	700128	692994	672602	681458	661343	673074	682338	668680	673247	669265	672301	673881	664579	664818	427973	425423	60888	10941
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	32	32	32	32	32	32	32	32	32	32	32	0	32	32	32	32	32	32	32	32	32	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-573	0	0	0	0	0	0	0	128	0	4107	4239	4412	3103	4223	1661	3755	3696	128	0	238	0	0	0	492
Vốn chủ sở hữu ###Owners equity	-559367	-600761	-631861	-510730	-126880	45371	19607	19681	90368	62989	96173	830624	828012	851469	135912	132959	114987	132068	132068	-33816	364915	1918255	1428787	1942989	1883872	1383235	1276385	1250475	1302677	1003821	969709	948039	851319	863269	786708	783616	689327	793428	697197	702033	690618	688249	795409	729556	704721	703321	684920	809508	734310	715583	700128	692866	672602	677351	657105	668662	679235	664457	671586	665510	668605	673753	664579	664579	427973	425423	60888	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92750	0	104211	103711	101682	93866	96271	101389	104558	104591	106304	105749	109650	111419	110330	110471	109844	105748	110237	111333	119946	118504	92950	88271	88074	87712	21395	22196	21232	21106	84816	21050	20737	20671	20616	20453	20863	20863	19570	17161	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3775563	3603955	3518037	3526748	3350658	3225537	3439765	3297738	3289234	3361721	3344080	3241258	3337028	3274401	3067418	0	2896014	2650607	2588896	2727273	2490365	2473599	2176303	2243383	1975317	1986224	2231210	1747452	1775125	1627852	1528193	1511933	1373331	1373331	0	0	331296	157170



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	256257	720666	315481	122573	101432	198240	1045253	380533	333703	112013	202259	1363704	606829	243762	299617	212797	643945	263086	103193	221876	198931	2766743	802252	410701	619764	728513	1461989	724818	310653	174194	282763	1550346	345352	169430	490127	563728	2624712	428191	418879	520707	807134	3014879	1065661	531130	1407061	569092	2187583	897429	436018	529133	345750	1903486	616808	597430	286626	337791	693200	152352	150453	134579	244369	611276	208641	67741	173024	173104	326188	170198
Các khoản giảm trừ doanh thu###Deduction revenues	1034	128	0	0	71	21	304	0	0	304	0	305	53	0	-167	167	929	27	0	-111	0	1148	455	153	321	219	3256	1479	86	1471	2742	5035	1656	365	2205	809	4285	3080	154	530	494	15931	3651	3523	8755	182	19839	379	268	604	9205	1833	424	180	402	773	2854	73	1442	1352	99	8146	3843	2920	1286	47	1085	1756
