CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014
Tài sản ngắn hạn###Current Assets	316972	353769	378135	378603	341915	269806	344495	248745	248528	357108	344746	357626	310632	427278	207339	223442	199354	209206	207858	213524	161678	146993	152131	152131	137353	137353
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	15500	5075	50028	24875	6172	49447	7694	38153	38153	8020	31943	22505	24753	24753	7669	50705	7806	10583	10586	9285	18506	10175	50109	50109	1401	1401
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	25400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	185132	232351	215318	215569	215771	122546	247224	121203	121203	259814	223858	233924	186842	303488	145820	117827	150741	110042	110060	161632	87926	95388	90765	90765	127658	127658
Hàng tồn kho###Inventory	116032	116049	112683	112684	118704	97079	89370	89382	89165	87148	86672	99540	96765	96765	53547	53688	40703	84084	84084	42607	50996	39402	10977	10977	7793	7793
Tài sản ngắn hạn khác###Other Current Assets	309	295	105	75	1268	734	208	7	7	2125	2274	1658	2272	2272	303	1221	103	4497	3129	0	4250	2028	280	280	501	501
Tài sản dài hạn###Non-current Assets	187075	187747	188405	188405	189047	189711	145221	228283	228424	168654	179384	169435	169406	52767	82744	51993	52417	47413	47393	34345	34276	34280	34305	34305	124	124
Các khoản phải thu dài hạn###Long term Account Receivable	34203	34203	34203	34203	34203	34203	34200	116639	116639	116639	126639	116639	116639	0	34200	34200	34200	34200	34200	34200	34200	34200	34200	34200	0	0
Tài sản cố định ###Fixed assets	63840	64491	65143	65143	65795	66447	35381	35999	35999	41682	42628	42285	42619	42619	38850	8154	8571	3584	3533	35	39	43	64	64	120	120
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8827	-8175	-7523	-7523	-6871	-6220	-5589	-4971	-4971	-6703	-5757	-4805	-3942	-3942	-1964	-1445	-1027	-757	-756	-698	-694	-690	-669	-669	-563	-563
