CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	323732	305332	469225	324925	220484	232563	205483	190273	190256	156539	136982	160995	179604	179085	125892	108541	117481	123074	121437	94390	85309	114793	130088	129498
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18274	23817	38415	38415	45316	60906	25117	3490	3490	2253	6687	4881	3296	3296	3851	2444	6052	2503	1988	4174	5157	4896	8796	1056
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	19120	14988	20201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	111319	92928	241115	117015	72817	68823	110035	135789	135789	72104	61424	106581	130278	130783	48204	41830	57291	77379	77464	42604	45088	73659	94100	97285
Hàng tồn kho###Inventory	173952	170918	166241	166241	101535	102217	69647	50320	50320	80800	66686	48926	45687	44662	73359	61255	48881	38619	37412	43416	29297	32034	22988	25837
Tài sản ngắn hạn khác###Other Current Assets	1068	2681	3253	3253	817	617	683	674	657	1382	2186	607	343	343	479	3012	5258	4573	4573	4196	5767	4204	4205	5320
Tài sản dài hạn###Non-current Assets	188421	191399	204081	344281	218663	211087	215818	213409	213426	210949	209230	196443	177018	177018	174533	174578	167620	158449	158461	154423	157692	163751	165089	191642
Các khoản phải thu dài hạn###Long term Account Receivable	91	92	75	75	59	29	80	57	57	62	68	376	340	340	357	419	793	501	513	503	482	480	480	141
Tài sản cố định ###Fixed assets	164107	153805	150711	150711	148436	153554	157348	159095	159095	116305	116524	118404	121476	121476	113445	114419	114699	115765	115765	115886	118312	119468	121797	133897
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-112727	-106812	-100703	-100703	-95212	-89809	-85036	-79605	-79605	-75388	-71579	-67815	-64014	-64014	-61213	-57894	-54743	-51672	-51672	-48655	-45680	-42742	-39717	-27179
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7877	-7842	-7807	-7807	-7773	-7738	-7704	-7671	-7671	-7639	-7605	-7573	-7541	-7541	-7509	-7501	-7489	-7477	-7477	-7465	-7340	-7161	-6961	-5439
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	30000	170201	51089	41013	43365	37387	37387	44296	43904	43855	36162	36162	38857	39200	33810	28910	28910	27587	28910	34300	34300	49000
Tài sản dài hạn khác###Other long term assets	11543	12226	13031	13031	13057	12059	11925	12608	12624	10790	10594	11232	12013	12013	11320	11582	9677	10260	10260	10300	9473	8126	8023	4796
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	512153	496732	673306	669206	439147	443650	421301	403682	403682	367488	346212	357438	356623	356103	300425	283119	285101	281523	279898	248812	243002	278543	295177	321140
Nợ phải trả ###Liabilities	224838	192094	371070	367064	129655	146205	174442	162096	162207	143947	127970	156189	165592	165617	125092	111883	118959	117938	116114	90158	85866	101162	114157	137329
Nợ ngắn hạn###Short term Liabilities	206911	180669	366482	362476	125677	142559	171121	158850	158961	141133	125497	153696	163163	163188	123537	110550	117863	116907	115648	89472	85205	100306	113738	137329
Nợ dài hạn###Long term Liabilities	17927	11425	4588	4588	3978	3646	3321	3246	3246	2814	2473	2492	2429	2429	1555	1333	1096	1032	466	687	661	856	419	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	287315	304638	302236	302142	309492	297445	246858	241586	241475	223542	218242	201249	191031	190486	175334	171236	166141	163585	163784	158654	157136	177381	181020	183811
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	287315	304638	302236	302142	309492	297445	246858	241586	241475	223542	218242	201249	191031	190486	175334	171236	166141	163585	163784	158654	157136	177381	181020	183811
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	67522	45875	253299	130487	57781	33062	31972	258899	131572	56556	36689	34081	207900	113543	37120	32757	25240	145223	69583	25838	32934	16868	129590	173730
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	37	0	37	0	0	37	15
Doanh thu thuần###Net Sales	67522	45875	253299	130487	57781	33062	31972	258899	131572	56556	36689	34081	207893	113543	37120	32757	25233	145187	69583	25802	32934	16868	129553	173716
Giá vốn hàng bán###Cost of goods sold	48952	29490	212083	116951	45066	28931	21191	191085	107981	42991	25569	21296	156118	93152	26994	21510	16105	108286	53162	18446	22542	13941	98225	133162
Lợi nhuận gộp###Gross profit	18570	16385	41217	13537	12715	4131	10781	67814	23590	13566	11121	12785	51775	20391	10126	11247	9128	36901	16421	7356	10391	2927	31329	40553
Doanh thu hoạt động tài chính###Financial activities Revenues	322	28	6132	232	5392	479	28	5396	5391	2	1	3	5158	5147	2	5	4	4931	3	4909	8	10	5053	7242
