CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	23426	29977	50153	64504	69544	49803	80101	48022	39253	63128	39600	45335	43835	51485	67905	65994	83186	79162	80203	66492	58334	52777	49758	51411	56747	54453	57508	47803	49960	55447	49548	31224	30558	30558	32668	32915	23709	23682	22628	21987	31300	1170	516
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1557	1891	1047	1056	1668	2063	785	744	2202	15777	3617	2332	886	1765	7075	4717	6470	12690	12690	2676	8589	1638	1345	3424	2731	4248	2645	2276	2344	6704	7872	3915	1154	1154	12377	11071	333	2152	1822	5236	836	105	79
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	15547	18124	38793	38793	39550	33961	50643	35107	28480	31472	22034	24340	25540	22929	32321	42024	41197	34714	35317	24994	21262	21270	20914	18717	24048	26108	27824	23666	20562	23351	17110	8605	11374	11374	6293	9300	12397	8226	8174	7089	21315	348	8
Hàng tồn kho###Inventory	6294	9931	9954	24295	28068	13765	28383	11904	7802	15050	13312	16622	15770	25059	26664	18026	33130	29764	29760	35709	26636	28401	26189	27477	28288	22931	21893	21000	21969	18677	17950	17949	17574	17574	13453	12347	10805	12632	12632	8462	9111	716	429
Tài sản ngắn hạn khác###Other Current Assets	29	30	360	360	258	13	291	268	769	828	636	2042	1639	1733	1845	1228	2390	1993	2436	3113	1847	1468	1309	1792	1681	1166	5147	860	5085	6716	6616	755	456	456	546	197	175	672	0	1200	38	0	0
Tài sản dài hạn###Non-current Assets	61002	57367	40947	26606	27124	42899	15018	45127	57930	39543	54206	51818	52412	43345	29976	37909	29385	29924	30207	22608	22167	18783	17310	17035	15810	14936	15184	15561	15224	11216	11647	12125	12626	12626	12541	11973	18446	18711	19350	19372	16539	6652	5281
Các khoản phải thu dài hạn###Long term Account Receivable	14000	14000	14000	14000	13218	14000	0	14000	0	0	14000	14000	14000	14000	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	11200	28878	12459	12459	13706	14281	14870	16545	18056	20068	20865	22875	23273	24145	24846	24935	29359	29353	30172	22564	19964	18739	16752	17035	15810	14504	15026	15363	15196	11046	11477	11879	12295	12295	12287	11664	8446	5328	8677	9129	6516	6604	5224
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-9242	-9350	-8820	-8820	-9128	-8553	-8036	-8399	-11611	-13742	-12945	-11975	-11609	-11539	-10838	-9997	-9249	-8453	-8411	-7759	-7197	-6474	-6044	-6044	-5626	-5257	-4931	-4740	-5103	-4665	-4235	-3832	-3417	-3417	-3029	-2622	-2541	-2276	-2310	-2337	-2082	-1287	-832
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
