CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	180454	164905	236792	230758	172530	156937	161228	216579	218725	169152	172467	163584	225169	224949	216572	214650	175639	207382	207670	173500	179550	164776	177534	177378	161552	168889	161260	191252	191100	159183	133275	140439	167582	168954	128108	127928	120384	158265	158650	118000	126044	114948	142867	143356	111683	122461	120357	147847	148734	103082	101275	100971	108181	108191	107266	106585	91527	102600	71829
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	69762	76053	93001	93001	47377	60164	81132	86295	86295	64649	45573	59981	104218	104218	102849	93848	51788	79420	79421	49249	39100	38742	51135	51135	49913	46277	45914	89551	103552	40949	19441	27227	54815	54815	28159	30246	15555	23886	23886	12667	7834	4120	24946	24946	7959	16811	9216	15997	15997	6789	11502	10875	23792	23792	27294	34162	15085	17882	6001
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	221	221	221	221	221	221	221	221	221	886	5886	5896	13896	13896	13868	868	817	817	817	838	838	1221	5990	5990	10000	10266	10000	14221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	84290	62543	123672	117638	94863	62038	49830	101717	103863	69654	82882	60784	74567	73949	58066	81603	88284	94186	93781	100957	107814	95470	90743	90760	64653	79962	68083	57603	55405	79041	71931	77210	84976	85397	53178	54242	69523	104988	106378	62107	75495	66179	81933	82605	52194	56011	60820	86811	87021	43847	39211	44174	45170	45174	31751	34067	41178	54489	45935
Hàng tồn kho###Inventory	25462	25343	19733	19733	29756	34040	29360	28115	28115	33450	37201	35219	32238	32637	41599	37990	34342	32823	33581	22285	31507	28933	29521	29348	33325	29667	33961	29580	29421	35324	36874	27854	20809	21356	38385	35317	27302	22265	21260	35303	34948	36438	29975	29792	43857	40971	40649	34895	35572	40400	39480	35168	32042	32042	35791	26937	22467	21357	13625
Tài sản ngắn hạn khác###Other Current Assets	720	745	165	165	313	473	685	232	232	513	925	1704	249	249	191	341	408	136	70	171	291	411	145	145	3661	2716	3302	297	2723	3869	5030	8148	6981	7386	8386	8123	8003	7127	7127	7923	7767	8211	6013	6013	7673	8668	9672	10144	10144	12047	11083	10755	7177	7183	12430	11419	12797	8871	6268
Tài sản dài hạn###Non-current Assets	95791	75593	76543	82891	80514	78694	79545	74397	72251	66501	67187	50202	51153	53269	52035	51961	51901	52080	52146	46601	40652	45580	45073	45073	39554	38959	35470	35993	36214	33166	33602	32047	29925	29526	28695	29132	29599	29973	29973	29612	30196	30175	30136	31166	28105	27822	27924	27316	27316	28177	27492	27603	27748	27748	29413	28095	26085	26100	26308
Các khoản phải thu dài hạn###Long term Account Receivable	41040	22489	23428	29776	27871	28255	29686	23269	21122	15314	15314	153	153	153	153	153	153	153	153	8755	153	153	153	153	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	30166	30614	31312	31312	29725	27363	28282	29246	29246	29705	30872	31472	32227	32227	31275	30966	29921	29819	29819	21647	24697	29800	30265	30265	27349	26893	24495	25112	25112	24269	24663	23446	21943	21544	21998	22451	23029	23142	23453	22928	23345	23257	23159	24500	21925	21766	22035	21279	21590	22868	22998	23016	23137	23137	25049	24089	22580	22699	24501
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-34002	-33630	-32764	-32764	-32545	-31730	-30928	-30121	-30121	-29312	-28515	-29391	-28572	-28572	-27777	-28132	-27366	-26578	-26578	-13824	-26279	-25665	-25063	-25063	-24475	-23897	-23900	-23402	-23402	-24318	-24715	-24253	-24107	-24107	-23747	-23386	-26202	-25820	-25820	-25324	-24994	-24726	-24398	-23368	-25295	-24963	-24648	-24847	-24847	-23982	-23632	-23293	-22982	-22982	0	0	0	-20263	-17683
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-8868	-8496	-7975	-7975	-7493	-7073	-6729	-6361	-6361	-5992	-5622	-5253	-4901	-4901	-4573	-4247	-3916	-3763	-3763	-3634	-3480	-3331	-3212	-3212	-3088	-2987	-2874	-2755	-2755	-2642	-2529	-2415	-2312	-2312	-3832	-3740	-3709	-3616	-3616	-3488	-3402	-3345	-3263	-3263	-3180	-3097	-3019	-2942	-2942	-2865	-2788	-2711	-2633	-2633	0	0	0	-2325	-2014
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
