CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	140287	103494	153340	153340	134589	113756	112986	130975	132630	159696	97605	113088	121043	121043	128115	118826	107827	123016	123016	91253	107315	103962	106716	106716	100218	106977	98853	134138	135371	125912	118624	118823	133538	133538	152644	146070	146446	159763	159763	129391	110292	114130	126914	126914	111080	113189	104486	112144	112144	96100	99126	109298	112512	112500	115979	97966	94624	87879	87879	80001	77181	67003	56847	40709	41268
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	36163	30390	54626	54626	23802	34590	38180	55931	55931	79851	12360	37456	33243	33243	30084	18902	9592	25256	25256	2338	8393	13843	22446	22446	26706	20410	9786	30620	30620	1830	989	2161	4166	4166	604	539	3910	6902	6902	1114	1858	3991	14245	14245	1238	1732	6783	2806	2806	1553	10453	14617	20555	20555	13048	3872	6141	713	713	1498	1630	4557	3244	2526	5864
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	1000	0	1500	1500
Các khoản phải thu ngắn hạn###Short term Account Receivables	101374	69939	91507	91507	109067	67052	69056	67479	69134	69364	72259	63045	75673	75673	93722	94775	83800	80987	80987	79969	88207	81354	70887	70887	66325	70640	76954	87140	88373	100761	94218	97326	115053	115053	132699	126782	129523	143595	143595	105129	85467	96078	103243	103243	89268	98912	90643	106083	106083	80579	77337	90242	86270	88399	98215	87382	82296	84431	84431	70889	66455	58268	51019	32417	28729
Hàng tồn kho###Inventory	2750	3088	7207	7207	1720	12114	5749	7565	7565	10480	12985	12587	12127	12127	3615	5150	14435	16773	16773	8946	10715	8705	13377	13377	7061	8884	5545	14593	14593	12438	15148	12143	12401	12401	11700	11265	6094	7366	7366	15511	15309	7826	7708	7708	13156	6439	2475	2108	2108	8728	9256	1572	4347	2206	2814	3542	3108	1686	1686	3112	2312	712	828	2438	5175
Tài sản ngắn hạn khác###Other Current Assets	0	76	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	60	5	5	126	7043	6569	1785	1785	10884	8269	7193	1917	1917	7642	7483	6919	1899	1899	7636	7660	6235	1718	1718	7418	6106	4585	1147	1147	5240	2080	2865	1340	1340	1902	3170	3080	1049	1049	4502	3784	2466	1756	1828	0
Tài sản dài hạn###Non-current Assets	138242	138313	138297	138297	138128	138204	138426	138153	138153	138351	138636	139320	140271	140271	140741	141118	135445	134048	134048	133513	133883	133692	134237	134237	133191	132942	132382	132479	132479	131998	132505	132898	131965	131965	118580	117566	118078	118433	118433	106455	107057	108717	109049	109049	99787	98834	98694	99128	99128	47924	48140	36482	35550	35550	30738	31317	30340	31085	31085	26449	26569	26307	23911	26077	22812
Các khoản phải thu dài hạn###Long term Account Receivable	367	1928	1928	1928	1928	1918	1918	1918	1918	1918	1908	1908	1908	1908	1906	1898	1898	1898	1898	2082	2082	2082	2082	2082	2082	2012	2012	2012	2012	2012	2380	2380	2380	2380	2380	2380	2387	2387	2387	2387	2387	2387	2387	2387	2387	2387	4049	4049	4049	4049	4049	4049	4049	4049	932	932	932	932	932	932	932	932	932	932	934
Tài sản cố định ###Fixed assets	25906	24536	24197	24197	24178	24451	24690	24877	24877	25146	25457	26071	26721	26721	26727	27305	24756	23826	23826	24020	24460	24458	24895	24895	23339	23690	23102	23097	23097	22730	23064	23462	23878	23878	24301	24701	25448	25919	25919	26389	26927	27357	27396	27396	26503	25373	23628	23981	23981	23557	23824	24169	24119	24119	24688	25566	26449	27228	27228	22467	21475	22584	20083	23851	20426
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-29871	-32465	-31784	-31784	-31150	-30538	-29949	-29390	-29390	-28831	-28285	-27747	-27210	-27210	-26685	-26166	-25646	-25277	-25277	-24914	-24538	-24158	-23781	-23781	-23446	-23158	-22886	-22584	-22584	-22347	-22062	-21773	-21466	-21466	-21151	-20837	-22959	-22586	0	-23317	-22912	-22491	-22089	-22089	-21598	-21190	-20780	-20327	-20327	-20203	-19533	-18870	-18243	0	0	0	0	-14807	0	0	0	0	-10632	-8095	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5656	-5523	-5391	-5391	-5218	-5053	-4887	-4768	-4768	-4657	-4547	-4435	-4322	-4322	-4210	-4090	-3969	-3883	-3883	-3819	-3756	-3693	-3632	-3632	-3571	-3503	-3438	-3374	-3374	-3284	-3174	-3065	-2957	-2957	-2848	-2723	-2676	-2543	0	-2409	-2276	-2143	-2007	-2007	-1863	-1724	-1585	-1447	-1447	-1334	-1264	-1202	-1140	0	0	0	0	-888	0	0	0	0	-547	-403	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
