CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	8865739	9319166	8280660	6044069	6708223	7163396	6556723	6465689	5921765	6618650	5690542	5686324	5692898	5724948	5131735	6147560	6184947	5888478	6024239	5519397	5687498	5384620	4958339	4961598	5717949	5890400	5148535	8837317	7552600	10252241	11778637
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1077298	554253	828844	907100	540708	681779	728488	685663	685513	766634	853058	957456	1241412	1291955	1554254	1619270	1452105	1754246	1684822	1544061	1593395	1482523	1533373	1533370	1087033	1177059	575705	1366670	1277608	2397673	1692821
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	359400	427165	422525	252525	452425	389925	357325	410825	411475	358375	341025	162025	189665	112665	124525	232386	179386	140869	222869	193069	140740	110770	81735	81735	105832	169363	116069	277344	401398	166296	64200
Các khoản phải thu ngắn hạn###Short term Account Receivables	3061441	3156960	2215352	1588916	1572592	1713184	1796250	1499877	899676	1911574	1793835	1862121	1341836	1396508	1461806	2049878	1615126	1631396	1754306	2041609	1879882	2365525	1627945	1626525	2269419	2217757	2156515	2713353	1886217	2542246	3814436
Hàng tồn kho###Inventory	3965126	4655294	4283713	2921088	3768374	3904821	3280637	3460087	3515885	3222488	2479653	2471229	2672974	2676843	1835512	2103243	2704737	2176629	2176889	1592928	1901400	1220275	1471878	1476519	1962234	2017553	2027823	4167070	3674340	4343802	5482981
Tài sản ngắn hạn khác###Other Current Assets	402474	525493	530226	374440	374124	473686	394023	409238	409216	359580	222971	233493	247011	246976	155636	142785	233593	185338	185354	147730	172080	205528	243408	243449	293430	308667	272423	312880	313036	802225	724200
Tài sản dài hạn###Non-current Assets	13908953	14206416	14337932	8369348	8410117	8424310	8498534	8465734	8613758	8849840	8799470	8878223	8815224	8592792	8645961	8554325	8917164	8863090	8831923	8863333	8565371	8536167	8765568	8706017	8942228	9083508	9304427	15274452	15237092	15072415	14443047
Các khoản phải thu dài hạn###Long term Account Receivable	76906	88789	90151	22797	13080	13769	13799	13044	13044	13110	12613	12673	11358	11358	11358	11358	11234	11233	11228	5060	5026	4901	5437	5456	5474	0	48	16821	1389	1621	939
Tài sản cố định ###Fixed assets	3939706	4063605	4182673	2619953	2688676	2745569	2810804	2900903	2900787	2970875	3058636	3161470	3243592	3243592	3238642	3339616	3377725	3520066	3537717	3637341	3725493	3817280	3914531	3893873	3967830	4054890	4162116	6392576	11004458	5833480	6263259
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-9059130	-8947706	-8822826	-5704705	-5629702	-5561490	-5473812	-5382454	-5382413	-5294003	-5201533	-5144730	-5050937	-5050937	-4995313	-4889966	-4797915	-4718838	-4719658	-4659922	-4565521	-4465332	-4370050	-4369798	-4276707	-4193618	-4127585	-6378883	-5777613	-5255472	-4768480
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-1518	-1319	-4237	-4237	-3754	-3271	-2789	-2306	-2306	-1848	-1489	-1132	-845	-845	-562	-278	0	0	0	-10023	-9344	-8665	-7986	-7986	-7307	-6627	-5948	-5269	-2466	0	0
