CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	910209	862615	959084	958235	916812	1045425	909061	896775	895204	1019965	908699	898967	821070	820968	900044	995180	865245	996450	996341	982852	933332	813525	923988	705302
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	157045	161641	153803	153803	184505	149454	120571	72141	91190	195814	192215	196192	70633	70633	154147	118431	163675	170919	170919	117163	24315	46131	116565	57578
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	91650	94500	54500	54500	30500	115000	121084	35049	16049	22000	0	0	0	0	0	0	0	0	0	0	0	0	0	25000
Các khoản phải thu ngắn hạn###Short term Account Receivables	283457	315215	364890	364638	327484	344156	246005	352213	375721	441322	386871	360368	361135	360754	426554	416612	310993	370048	369642	421019	394982	309927	296713	241993
Hàng tồn kho###Inventory	363258	277705	380455	379704	366012	427387	409378	432726	407346	349712	318233	329192	383981	383981	311521	447967	381195	445767	445767	435464	499355	428799	454522	365071
Tài sản ngắn hạn khác###Other Current Assets	14800	13554	5436	5590	8310	9429	12023	4647	4897	11117	11380	13216	5321	5600	7822	12169	9382	9716	10012	9206	14682	28669	56188	15660
Tài sản dài hạn###Non-current Assets	634928	658946	672111	673421	698845	713945	725771	708323	707649	720454	767723	716810	736229	736668	753020	774714	773657	791367	791509	808986	824600	821464	815877	365949
Các khoản phải thu dài hạn###Long term Account Receivable	19380	19365	19365	19365	19265	19265	19265	265	265	265	280	335	335	335	335	235	235	245	245	245	277	267	0	0
Tài sản cố định ###Fixed assets	522738	543642	556745	556745	584625	592636	617175	615050	615050	634674	608557	625073	644416	644416	647766	673640	690234	712827	712827	724976	751185	720665	784023	334964
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1044718	-1018808	-989809	-989809	-994244	-967248	-961653	-948789	-948789	-934665	-907455	-891293	-863851	-863851	-851134	-823314	-795930	-769947	-769947	-765769	-757087	-703442	-630419	-591616
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1123	-1111	-1098	-1098	-1086	-1073	-1061	-1048	-1048	-1036	-1023	-1011	-998	-998	-986	-973	-961	-948	-948	-936	-923	-898	-890	-890
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	56315	53002	54252	54252	51034	52210	35618	36445	36445	37205	37965	38725	39486	39486	40289	41093	41897	42701	42701	33359	33745	354	583	812
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	17737	17503	17399	18863	18384	18136	17277	17164	16818	19156	18765	18466	18324	18763	17653	18169	17993	18147	18289	24424	24215	23159	19230	21086
Tài sản dài hạn khác###Other long term assets	18686	16782	19017	18863	18663	17960	18958	21824	21497	22770	20606	23956	24888	24888	23797	24529	23297	14785	14785	14556	14770	15592	12042	9087
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1545137	1521561	1631195	1631655	1615657	1759371	1634832	1605098	1602853	1740419	1676422	1615777	1557299	1557636	1653064	1769894	1638901	1787817	1787849	1791837	1757933	1634989	1739865	1071251
