CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	520902	506149	510186	500443	530403	501946	581242	574962	574199	590852	519228	548139	553255	568607	612802	485690	516298	503816	505002	533457	558733	1205205	1234512	1233123	1238432	1199783	1205676	1144136	1251734	1208252	1184500	1170467	1154681	1155258	1145054	1092840	1048058	1064737	1054698	1081908	1060733	1052283	1073552	1007349	1006174	1008203	963485	905776	905870	771416	753579	704229	706036	557525	524383
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12375	43134	14745	14764	3043	7612	4557	3654	3754	18370	18346	40613	30720	30720	102255	13742	26335	42727	42727	33253	48664	20983	23428	21928	33322	65064	35284	33225	33225	32231	39459	9279	11405	11427	5062	5249	5900	2805	2805	8556	10619	3581	2749	2749	18539	14899	31755	29603	14602	7059	28487	26763	73564	17711	48112
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	400	400	400	400	700	700	700	700	700	700	700	700	700	700	400	400	400	400	400	400	400	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	175232	204577	200378	199024	225593	215711	249284	282126	281681	241904	216669	224103	298176	304020	222779	205942	211629	209834	217226	227756	228757	324495	367889	361332	390182	328358	364885	369224	468305	408830	393359	405581	408708	411661	415357	388840	383332	460352	449713	423972	415834	423776	496785	422122	397550	403366	384106	444940	444839	394720	380235	413918	414277	268347	174092
Hàng tồn kho###Inventory	303946	235450	269253	260844	272019	250486	296238	262828	262409	293566	252503	251751	200611	210105	255215	234948	245752	222064	213404	235496	241677	823408	829249	830925	785422	777481	775130	718111	726134	735261	720581	726109	700531	697686	689829	664601	623135	570137	570137	613474	597606	587453	538955	538950	538147	539086	498792	398460	398326	329624	314845	240127	201301	262791	285022
Tài sản ngắn hạn khác###Other Current Assets	28949	22588	25411	25411	29048	27437	30463	25654	25655	36312	31011	30972	23049	23062	32154	30657	32183	28792	31245	36552	39235	36319	13947	17439	29506	28880	30377	23577	24070	31930	31101	29499	34037	34485	34807	34151	35691	31443	32043	35905	36674	37473	35063	43528	51939	50853	48832	32773	33102	40014	30012	23421	16894	8676	17157
Tài sản dài hạn###Non-current Assets	542553	550131	554929	555198	561640	568559	576419	581742	581534	587242	599207	603078	601185	581283	588587	590236	572261	575169	578245	578792	571198	565685	561394	549927	522096	508892	506761	514238	503006	483376	477435	658697	653231	652980	682410	675481	684197	685779	687007	662741	660183	644685	633950	634411	596000	547322	528951	515365	515365	513983	470124	447469	370073	207317	326002
Các khoản phải thu dài hạn###Long term Account Receivable	6889	6889	6116	6116	6116	6116	5394	5394	5394	5394	8693	8018	8018	8018	7090	6775	6775	6775	11538	10948	6186	6186	6185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	444336	449097	449899	449899	454640	458159	462494	467197	133846	133313	139304	132125	131903	107399	107407	107407	75385	77697	86474	74874	77505	80184	81178	107658	82489	85594	87476	394721	84377	87446	89791	199582	487224	487224	482652	486719	485762	214171	504270	470313	467280	453331	223670	441959	432224	413863	387626	214591	373736	376031	354660	368086	277430	84121	220339
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-118750	-114157	-109593	-109593	-105020	-102375	-98225	-93618	-85614	-83620	-81085	-78217	-75836	-76483	-75845	-73411	-70494	-68842	-68821	-66257	-64510	-61909	-60934	-61280	-58486	-56087	-53702	-51024	-51202	-48813	-46494	-86081	-82912	-82912	-79874	-76791	-77942	-74191	-74915	-72122	-68787	-66461	-63462	-63462	-61777	-59686	-57179	-54309	-54309	-52011	-49968	-49033	-43777	-5875	-33563
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2408	-2331	-2117	-2039	-1748	-1457	-1165	-1165	-874	-583	-291	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3923	-3755	-3587	-3587	-3419	-3252	-2989	-2911	-2911	-2841	-2771	-2701	-2631	-2631	-2561	-2491	-2421	-2351	-2351	-3617	-3502	-3387	-3272	-3272	-3156	-3041	-2926	-2811	-2811	-2696	-2580	-9143	-8644	-8644	-8145	-7646	-7172	-6673	-6673	-6174	-5674	-5175	-4680	-4680	-4182	-3684	-3187	-2694	-2694	-2450	-2206	-1962	-1415	-186	-134
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
