CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	461764	433353	469359	469359	457661	490969	489191	523436	523230	468905	514355	487174	543693	543865	494958	499512	495198	585710	585755	460708	524268	498124	604902	604909	474014	526321	499955	622703	622610	479655	580313	651774	625563	441695	388289
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	53378	15545	26705	26705	14827	42250	48903	88399	88399	156262	173689	148833	81979	91979	191682	193974	160926	142367	142367	198037	247237	189543	188823	188823	214499	287090	197979	242112	242112	256019	308380	92426	264202	98468	62985
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	46000	60000	20000	20000	20000	20000	20000	20000	20000	20000	30000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	11603	11867	31867	151867	1867	32215	122000
Các khoản phải thu ngắn hạn###Short term Account Receivables	139736	122530	86323	86323	103366	134298	160241	51575	51575	37941	60731	130565	30526	30526	56055	64387	86672	28377	28377	42278	31881	89256	47483	47483	36650	32542	50007	5746	4017	34340	28739	11681	9267	9110	30909
Hàng tồn kho###Inventory	202973	213462	307941	307941	287641	268946	229827	326203	325922	233158	230106	169892	375003	375175	229309	221498	216203	365791	365791	193768	223622	184993	332292	332292	208070	192149	196718	319289	319261	162628	199820	352234	329570	268739	157021
Tài sản ngắn hạn khác###Other Current Assets	19678	21817	28391	28391	31828	25475	30220	37258	37334	21544	19829	17884	36186	36186	7912	9654	21398	39176	39220	16625	11528	24332	26305	26312	4795	4540	45250	45556	45618	14801	11507	43565	20657	33163	15373
Tài sản dài hạn###Non-current Assets	102491	102006	102743	102743	106948	108162	110932	114984	114984	113442	111397	111491	112355	112355	112172	111309	113401	113443	113443	104849	108607	106085	112263	112263	100129	100066	102834	80834	80898	79396	77563	81977	47565	69997	83959
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	12471	13692	14344	14344	13060	14169	15444	14301	14301	13566	11619	11824	12920	12920	11273	11273	14063	16853	16853	12405	12405	15189	17974	17974	13318	13254	16192	19131	19131	16731	16731	75886	25964	40838	48491
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-168252	-167031	-165819	-165819	-164546	-168111	-166836	-165491	-165491	-164155	-162838	-162633	-160105	-160105	-160158	-160158	-157368	-154578	-154578	-155474	-155474	-152690	-149905	-149905	-149905	-150385	-147474	-144563	-144563	-144186	-144186	-138410	-133213	-126916	-115559
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34358	-34331	-34303	-34303	-34303	-34303	-34248	-26297	-12762	-9700
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	64199	63897	63982	63982	64050	62722	62722	62722	62722	765	765	765	765	765	2031	2031	2031	2031	2031	4276	4276	4276	4276	4276	5058	5058	5058	5058	5122	6093	6091	6091	4883	13206	24449
