CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	20049	16945	15821	16818	15500	15500	16012	15113	15573	18177	16040	22463	17286	19125	24712	24905	27345	24612	25311	26068	29168	30498	30275	31274	31630	31639	28022	26907	29804	31370	31291	32837	29505	33415	30355	31195	33996	32713	37507	35504	35504	34957	29645	34963	32752	28709	19298	18182	18698	21227	21844	24521	23338	22865	22694	22694	22253	29851	29174	26331	26331	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5278	3558	3949	5711	5486	5486	8344	6503	4648	3488	3488	3511	1937	3804	5593	5593	5445	6207	6936	7421	7421	8935	6660	7464	8971	8971	11502	9296	9144	11719	11719	8658	4527	6527	958	958	4627	3744	4167	4239	4239	4565	1828	1623	2332	2332	3145	2684	6019	5554	5671	6308	5218	6102	9258	9258	10061	13180	13034	12784	12784	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	11500	8000	5000	5000	2700	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1381	3829	5842	4777	5727	5727	5860	6782	8344	10393	10393	8481	8584	8604	11793	12358	14435	8971	11592	10888	13988	14088	15943	16929	17529	17529	11290	11729	13008	9464	9464	15927	15536	15477	15453	15461	14193	13440	17452	15143	15143	16801	17060	19276	20511	16468	8347	7339	4468	7548	8258	10223	9984	7561	5867	5867	5033	9040	7457	5804	5804	0
Hàng tồn kho###Inventory	1137	836	221	462	814	814	1012	1127	1747	3572	1474	9206	6034	5867	6591	6219	5957	8393	5992	7051	7051	5795	6837	5710	4623	4621	4729	5618	6767	9940	9861	7904	9247	9916	13770	14603	14477	15341	15762	15726	15726	13469	10652	13936	9902	9902	7001	7248	7383	7388	7142	7173	7110	7041	5604	5604	4606	5361	6192	6240	6240	0
Tài sản ngắn hạn khác###Other Current Assets	754	722	810	867	773	773	796	701	833	723	684	1265	732	850	736	736	1508	1040	791	707	707	1681	835	1171	506	518	501	264	885	246	246	347	194	1495	174	174	699	188	126	397	397	123	105	127	8	8	805	911	828	737	773	817	1026	2161	1964	1964	2554	2269	2491	1503	1503	0
Tài sản dài hạn###Non-current Assets	714	1250	1000	827	905	905	897	1064	1070	1141	1085	958	934	1612	1651	1444	1513	1588	2467	2696	2729	2899	3151	3413	3627	3610	3971	4311	4662	5050	5050	5184	5458	5809	6204	6204	6688	7048	7545	8044	8044	8450	8951	9433	9978	14105	21513	23822	23811	24017	22815	23251	23119	23263	21452	21452	17451	14270	14413	15013	15013	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3700	0	0	0	0	0
Tài sản cố định ###Fixed assets	75	112	155	182	214	214	264	331	402	465	409	336	394	595	553	900	923	915	1095	1279	1279	1396	1581	1850	2048	2025	2296	2632	2916	3113	3196	3259	3443	3723	3929	4012	4340	4601	4925	5323	5323	5589	6002	6430	7430	7467	7932	8436	8909	9294	9294	9839	10031	10380	10857	10857	10922	11344	11391	11895	14366	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-20311	-20274	-18710	-21001	-20969	-20969	-20919	-20852	-20781	-20718	-20718	-20661	-21901	-21844	-21741	-21741	-21561	-21380	-21199	-21016	-21016	-21459	-21274	-21089	-20890	-20913	-20642	-21287	-21003	-20704	-20704	-20404	-20121	-19824	-19535	-19535	-20982	-20881	-20544	-20146	-20146	-20606	-20198	-19784	-20921	0	0	0	0	-18990	0	0	0	0	-16984	-16984	0	0	0	-15230	-16814	0
