CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1456756	1526155	1703630	1713155	1699099	1828480	1886471	1947359	1857846	1879317	1861870	1773600	1949771	1948066	1968888	2115392	2067409	2307067	2289102	2143492	1586875	1409104	1358351	1358351	1378789	1330168	1337555	1395418	1402222	1286942	1259047	1228871	1325612	1328433	1243114	1252882	1105065	1193340	1188459	1122689	1046412	1158057	1156661	1152783	1035106	1038290	1001451	994280	995080	605341	598733	551583	548919	558402	434776	414615	412227	460312	649839	518883	464405	406483	345501	345501	319421	307063	308197	252031	303293	232989
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20747	25251	10875	10875	14179	33228	22778	45731	45731	69928	83094	53752	89598	89580	103914	108179	161821	133179	133179	183217	179089	81797	67304	67304	17350	11094	11372	73117	73857	13630	23625	14807	33669	33669	38118	49034	12081	17916	17916	15149	15206	60139	100225	100225	69657	97147	102127	120654	120654	66415	55357	102746	78934	88934	87174	63322	66633	100238	48742	8628	13758	8556	89695	89695	7557	8003	11544	63708	23708	54862
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	41493	38993	39993	39993	38793	56980	57980	56980	56980	56980	56980	56980	56980	56980	57980	56980	56760	56060	56060	3000	0	0	0	0	0	0	740	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241268	0	0	0	0	50000	50000	50000	80000	0	145841	50000	36000	40000	0	40000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	750066	695016	815594	819341	665393	664777	679563	702056	613307	728396	706983	641183	662837	661116	701988	778946	656780	700952	697236	706875	485834	488165	512199	512199	469743	478693	474777	493482	499795	474382	476316	477454	532188	535176	456921	403332	377659	440819	408361	301906	250622	307089	294727	292176	315916	314519	344690	338711	339511	309188	306392	235446	241785	221785	171110	144023	152971	147294	335488	279523	231019	205139	149820	3978	176627	163735	179779	103487	153800	75122
Hàng tồn kho###Inventory	643307	765837	836137	841915	979421	1072432	1125095	1141742	1140978	1022571	1013405	1020224	1138905	1138923	1103384	1169597	1189708	1414421	1400172	1248023	919133	836917	776485	776485	888952	837116	848023	822501	822738	790605	752844	730258	754912	754744	741887	795931	710613	729680	757257	797336	774989	785572	757801	756473	642870	616528	538720	528046	528046	220997	219168	202726	221785	0	166509	196814	182997	204224	207849	167430	156212	110411	105759	105759	83923	99398	73447	82884	82884	102577
Tài sản ngắn hạn khác###Other Current Assets	1143	1058	1030	1030	1312	1064	1054	851	851	1443	1408	1460	1450	1468	1622	1690	2341	2455	2455	2377	2819	2225	2363	2363	2745	3265	2643	5578	5831	8325	6262	6352	4844	4844	6188	4586	4713	4925	4925	8298	5595	5257	3908	3908	6662	10096	15915	6869	6869	8741	17816	10664	6415	6415	9983	10457	9625	8556	7761	13303	13416	2378	228	228	1314	-73	3427	1952	2901	428
Tài sản dài hạn###Non-current Assets	229187	217170	262147	258968	325692	324857	331903	335159	424818	315319	300291	306527	309988	309988	220505	189973	175995	232156	228596	158892	213906	207169	206035	206035	238341	205191	203231	215712	215712	141595	146794	148657	162775	162775	170025	185283	189874	192722	192722	201530	203729	188706	192555	193272	197726	200395	191130	193222	193222	193424	179295	170735	164049	147278	102314	87797	62907	58660	58663	43104	43809	38183	38335	38335	33627	31116	26980	27262	23309	18486
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	25774	29154	29154	118813	49844	25660	25660	25660	25660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	91274	74131	112033	112373	58381	59763	55661	56742	56742	57577	58091	59166	59578	59578	53267	58452	49546	49821	49821	12199	40778	38610	40133	40133	40836	42386	44159	45940	45940	47974	49328	51092	53055	53055	55298	57609	60156	62394	119874	122055	121632	107972	81782	110031	111654	113564	109149	85541	110955	122307	115721	113980	107581	100809	60145	45636	40677	36784	36787	21052	21931	21851	22566	22566	17637	18119	16227	17498	22134	17321
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-49599	-47762	-49164	-49164	-48004	-46573	-45344	-44178	-44178	-43003	-41653	-41275	-40069	-40069	-38752	-38953	-38092	-37183	-37183	-45958	-57567	-61879	-60308	-60308	-58729	-57164	-55425	-53639	-53639	-54888	-52933	-50999	-48963	-48963	-49161	-47852	-46326	-44080	-46192	-43712	-40991	-38303	-35703	-35703	-33505	-30447	-28666	-25998	-25998	-24239	-23299	-21439	-38341	0	0	0	0	-33551	0	0	0	0	-30343	-30343	0	0	0	-26995	-27312	0
