CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1032401	961469	686680	696119	559424	551424	590707	517936	517602	475947	571613	595817	686754	663604	699885	718650	900108	1018178	1018178	941262	992446	790597	821330	821330	739534	935029	494278	954737	1104027	1048505	1023887	1032321	982899	983239	1031043	1088553	1135703	1126562	1126562	1102542	1137468	1206393	1248483	952866	1307718	863746	1155648	1104462	1104881	993352	1027263	1088641	1084147	753098	614347	572491	466182	489072	494726	341610	348780	411880	469639	436639	314918	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25362	11801	117218	117218	91726	99407	92014	120159	116159	112294	236280	138154	171967	171967	178120	328975	332692	284973	284973	249855	381697	107490	158607	158607	98221	144923	154374	179521	179521	60546	33603	23471	4120	4120	1052	1405	6986	8120	8120	1563	3308	68781	108675	26057	88870	78065	161634	142602	144502	147449	136123	163414	248888	249588	185368	43548	15449	43749	43748	10020	6775	76869	97383	96534	2577	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	150	0	0	0	1650	0	0	0	4000	2000	0	0	20000	0	0	0	0	0	0	1550	150	0	510	510	600	86300	600	600	600	0	0	665	0	0	0	0	0	963	963	2263	963	0	0	10180	1300	1300	1300	1300	0	0	0	0	0	0	0	0	1200	1200	1200	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	779305	775141	405612	413692	348526	278688	370357	253307	253299	304574	294016	411860	448007	444852	421236	280545	323784	362320	362320	329984	199705	262269	237279	243644	230979	222769	191797	271531	196006	218532	221557	195989	192741	193080	197234	234771	217071	224145	224145	245646	244686	292245	288901	167561	313365	341780	362333	342326	341991	257823	283870	281186	265629	259408	238521	332107	230171	268995	270442	135281	126842	129124	169264	132973	124607	0
Hàng tồn kho###Inventory	224325	173539	160650	161218	113400	161889	123328	138452	138118	55918	40661	45720	46203	46203	99555	107261	240089	366689	366689	353648	404557	414543	417638	417638	408950	472341	67359	497480	646770	683940	683282	719940	698867	698867	746026	762282	821580	809457	809457	761797	785746	746249	731278	698980	776456	327818	509409	503596	503640	466071	489053	527007	461796	136612	87061	85245	106113	74277	70771	104256	100290	83877	86622	88246	85193	0
Tài sản ngắn hạn khác###Other Current Assets	3259	989	3200	3991	4122	11441	5008	6018	6026	1161	656	83	577	582	973	1869	3543	4196	4196	6224	6336	6295	7296	932	783	8696	80148	5605	81130	85487	85446	92256	87171	87171	86732	90095	90065	83877	83877	91272	102765	99117	119628	50088	127728	114784	120973	114638	114748	122009	118216	117035	107835	107490	103396	111591	113250	100850	108566	92053	114873	122011	116369	118886	102541	0
Tài sản dài hạn###Non-current Assets	267555	271249	338826	338826	351365	346604	294797	325899	326442	316443	319010	96900	98766	118766	147959	153273	129957	139088	139088	293705	274015	409756	411092	411092	464270	340809	773284	342906	193615	199127	200146	199417	201882	201882	197063	200135	206440	209569	209569	216311	218334	212947	207225	1745601	195515	560838	197313	199589	200094	189977	188422	187438	190584	512702	431792	435135	453818	428757	420000	419291	410417	341710	277234	281788	187422	0
Các khoản phải thu dài hạn###Long term Account Receivable	97	97	97	97	97	97	97	97	97	97	97	97	97	97	25092	25092	92	92	0	92	92	75084	75084	84	84	84	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	73	0	0	0	0	0	0	0	0	0	0	31	0	31	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	14760	14304	79335	79335	81504	68611	66147	67458	68124	54816	71039	26061	26800	26800	27217	31207	32102	38729	38729	39924	41565	28047	28998	28998	29466	30485	31151	31879	31879	32873	33644	34597	104773	104773	99565	101143	105866	40977	107743	109541	111143	105030	46458	1436099	93726	458245	93945	45682	95382	96162	91907	91023	92973	415723	336169	338335	377901	351554	342813	340819	330818	262372	197628	228603	134729	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-20237	-19586	-44403	-44403	-49194	-47451	-46799	-45489	-44557	-42498	-43568	-23638	-22899	-22899	-24073	-30325	-29452	-50205	-50205	-50175	-48589	-51866	-51347	-51347	-51339	-51239	-50157	-49520	-49520	-48437	-47345	-46301	-45431	-45431	-45879	-44242	-45077	-44117	-44117	-42328	-40962	-39169	-37331	-434853	-35561	-33925	-35340	-33642	-33642	-33287	-31723	-31933	-29991	-29886	-29733	-28124	-26222	-25458	-25594	-22217	-21847	-20849	-19852	-19902	-15180	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-490	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1553	-1553	-5433	-5433	-4786	-4139	-2846	-2846	-2803	-17914	-1466	-1371	-1371	-1371	-1371	-1349	-1327	-1283	-1283	-1261	-1239	-1217	-1196	-1196	-1174	-1145	-1115	-1085	-1085	-1056	-1026	-996	-966	-966	-937	-907	-877	-847	-847	-818	-788	-758	-728	-4041	-699	-669	-639	-609	-609	-580	-550	-498	-490	0	-462	-431	-379	-371	-371	-291	-266	-258	-251	-308	-130	0
Lợi thế thương mại	43142	45389	45838	45838	47312	48535	50371	51231	51231	51719	53927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	78558	82618	81226	81226	96263	97482	98695	86590	87380	56350	89285	45749	46593	46593	47437	48281	49125	49969	49969	50813	51660	59746	60589	60589	61433	62276	63120	63963	63963	64807	65650	66268	67112	67112	67956	68799	69643	70486	70486	68206	69015	69824	63568	0	63800	64603	65407	66209	66209	67010	67816	68028	69298	68446	66814	67546	67786	69056	69056	71017	71717	71916	72115	39922	40462	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	159	159	159	159	159	159	159	50159	159	22722	22722	42722	44748	44748	44748	44748	44748	44748	22026	22026	22026	22026	25410	25410	25410	25410	25410	25547	25547	25274	25274	25274	25199	25199	26219	26219	26219	35053	35053	35108	35108	144770	35217	35217	35217	35217	35799	26324	26324	26024	26024	26521	26521	26521	6251	6251	6251	6561	6561	6034	6034	12784	11845	0
Tài sản dài hạn khác###Other long term assets	44417	46698	50728	50728	51724	54531	55122	57087	56174	56136	59545	685	968	968	1879	2360	2305	3964	4056	4493	5461	4359	4452	79452	141795	3498	3929	4234	4318	6863	6421	4343	4724	4724	4344	4994	4712	5120	5120	3510	3123	2902	2644	11854	2772	2700	2744	2704	2704	481	2375	2363	2288	2012	2288	2733	1848	1896	1848	894	1320	1388	1457	479	387	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1299956	1232718	1025506	1034945	910789	898028	885505	843835	844044	792389	890623	692718	785519	782370	847844	871923	1030065	1157266	1157266	1234967	1266460	1200353	1232421	1232421	1203804	1275839	1267562	1297643	1297643	1247632	1224033	1231738	1184781	1185121	1228106	1288687	1342143	1336131	1336131	1318853	1355801	1419340	1455709	2698467	1503233	1424585	1352961	1304051	1304976	1183330	1215685	1276079	1274731	1265800	1046138	1007626	920000	917829	914726	760901	759196	753590	746873	718427	502340	0
