CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	310150	344891	401845	476702	412513	535899	511311	452769	373638	600427	619038	636452	625326	640466	635506	623090	624434	584999	623595	630099	644744	647347	652881	620663	657390	675106	695307	681676	662361	618868	583383	592341	482504	479820	488192	486798	486540	484864	452847	455423	465005	474738	472893	463416	372862	397437	397646	313463	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3849	28	356	2923	3381	1749	1748	2039	4337	10299	4845	4845	3625	10611	14915	4825	4825	5874	10081	21220	9049	9049	16233	13962	19032	39451	39451	25158	31632	27736	34216	34216	31390	43689	49133	47074	47074	34685	14226	4266	18194	20983	16496	23228	12579	65635	65635	68218	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500	3500	3500	3500	3500	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	194761	230669	253173	288416	121765	243464	213070	141168	65290	291939	344164	350408	353145	366498	395914	393417	394765	302431	316913	290176	303107	309506	278966	233236	224973	207982	241182	225489	254192	208588	216711	230626	136727	144452	170089	176119	178753	153910	124229	105271	101111	101752	112019	136226	113078	119852	119851	84142	0
Hàng tồn kho###Inventory	111315	113970	148098	185145	286018	290154	295434	308467	303793	296746	268198	279781	267052	261818	222875	222773	222988	275365	292860	315358	325475	321433	349356	365150	401925	412414	409932	419156	370942	375915	329872	324915	311049	288643	267392	262166	259313	294236	311580	341916	341772	350863	343470	303082	244828	211067	211298	160436	0
Tài sản ngắn hạn khác###Other Current Assets	224	224	218	218	1349	532	1059	1095	218	1443	1830	1417	1503	1539	1802	2075	1857	1327	3740	3344	3614	3859	4826	4816	7959	11759	4742	11873	5596	6628	2585	2585	3338	3037	1579	1438	1401	2034	2812	3970	3928	1139	908	881	2378	884	863	667	0
Tài sản dài hạn###Non-current Assets	5262	5628	9692	16736	145647	37334	67180	118256	212589	23463	25236	25236	26085	27378	29296	31203	31203	33545	41797	47506	47311	45618	45943	47456	51345	55227	49908	48813	51386	33882	36129	36129	35040	37191	33173	34225	34764	32317	32347	33047	34648	34648	35324	35439	34911	36940	36704	17691	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	128049	18432	48278	97682	190511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	5262	5628	9692	13622	16593	17601	17601	18778	19926	21284	22738	22738	23662	25069	26635	28371	28371	30328	37379	41321	42559	40408	40748	42834	46484	47099	43838	44962	47549	30490	30689	31929	31884	33744	30746	31492	31492	29373	29078	29404	30670	30670	32124	33607	33474	36436	36199	17210	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14469	-14103	-54252	-63502	-60531	-59523	-59523	-67941	-69469	-68111	-66657	-66657	-65177	-63660	-63532	-61796	-61796	-59839	-60238	-63470	-61368	-63519	-63079	-60840	-57772	-55127	-55956	-53270	-50329	-49238	-47378	-47378	-45528	-43577	0	-43261	0	0	0	0	-35542	0	0	0	0	-29899	0	-27931	0
