CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	170302	202213	386148	386148	368098	378819	402850	401331	401331	276406	255749	294568	290031	299781	290563	331590	401096	527792	527792	371853	411809	411841	433960	433960	493269	452319	403862	354166	354166	275742	348532	378379	432117	432117	410597	424240	419900	445834	445834	455720	470635	478009	495292	290250	293720	331427	373837	372248	372248	320808	427320	325531	353208	353208	286974	293390	220661	217189	216757	133306	139240	139727	167891	162145	119862	122036	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	26379	51212	10767	10767	15086	22427	15926	124044	124044	17708	74328	169187	185316	185316	121517	10534	35665	37106	37106	260567	269666	279339	281418	281418	291771	251853	206331	134132	134132	5079	20340	1552	5392	5392	156	337	1197	3500	3500	3430	3265	835	10956	10956	14634	47282	42641	18919	7919	2613	4893	15061	22637	22637	6405	6892	1958	5958	5958	2489	1587	4750	8375	8371	3627	7245	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30500	154000	153000	217000	217000	0	0	0	0	0	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000	28500	54000	13500	2000	2000	14000	5000	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	108691	115666	342851	342851	327987	329636	352696	251038	251038	222312	146078	46933	11515	8545	7531	14869	9748	24959	24959	38028	40172	46822	53335	53335	110457	95008	90977	112895	112052	79944	111257	114502	150355	150355	133313	140723	161545	171461	171461	134490	156442	152142	161207	165162	198898	202657	279679	276922	276922	238426	295600	241263	237196	237196	217072	218621	156527	150780	150348	114749	107177	119652	141429	142285	115005	101160	0
Hàng tồn kho###Inventory	33116	33183	30523	30523	23402	25312	33922	26249	26249	36380	35342	78448	92055	104775	130043	150455	200753	246726	246726	69164	97953	81036	96208	96208	89300	104793	104950	107139	107139	177741	215395	259645	273728	273728	275954	281340	256449	269936	269936	297475	293022	302506	297018	88020	61185	68092	35139	59460	59460	31018	55840	39059	75394	75394	32858	39080	40480	46623	46623	8250	26056	12042	11383	2694	1066	13181	0
Tài sản ngắn hạn khác###Other Current Assets	2116	2152	2008	2008	1623	1443	307	0	0	6	0	0	1145	1145	972	1731	1931	2000	2000	4094	4018	4643	2999	2999	1742	663	1604	0	843	978	1540	2679	2642	2642	1174	1840	709	937	937	20325	17905	22525	26112	26112	19003	13396	16378	16947	16947	20251	16987	16648	15982	15982	16639	23798	21697	13828	13828	7818	4419	3284	6703	8795	163	451	0
Tài sản dài hạn###Non-current Assets	303413	287480	63227	63227	64315	65448	66590	67734	67734	68880	70026	53803	54778	54778	75604	75443	78491	55639	55639	54303	55728	57720	59123	59123	50289	51109	50020	48691	48691	45332	46728	48096	49291	49291	51741	53168	54626	55986	55986	57349	58915	60665	63222	272383	287822	250627	162123	162997	163213	171695	167759	174549	53946	53940	59740	39534	36297	24007	24007	24236	23346	22793	22655	22655	20190	21458	0
Các khoản phải thu dài hạn###Long term Account Receivable	2450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Tài sản cố định ###Fixed assets	13580	14235	14719	14719	15245	15815	4909	5356	5356	25947	26646	27347	28049	28049	28933	28442	29054	36559	36559	35129	36143	37514	38647	38647	25678	26522	27513	28606	28606	28832	30094	31266	32351	32351	34745	36037	37614	38949	38949	40176	41520	42580	42059	251567	267618	230343	141962	19125	143004	161969	158029	163269	43679	43679	51026	34939	32374	19773	19773	19789	19075	18659	18846	18846	16782	17707	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19471	-21113	-20629	-20629	-20104	-19534	-19526	-19079	-19079	-23443	-22744	-22043	-21341	-21341	-21211	-21076	-20384	-49410	-49410	-48410	-50600	-54140	-53007	-53007	-52285	-51308	-50283	-49190	-49190	-48186	-46925	-45752	-44668	-44668	-46721	-45430	-44901	-43542	-43542	-42237	-40895	-39553	-38211	-38211	-37016	-36103	-36846	-35551	-35603	-34308	-33034	-31900	-30520	0	0	-28015	0	-26526	0	0	0	-23329	-22302	-22302	-21964	-19509	0
