CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	715950	671040	713957	714897	649098	638624	573276	650930	650930	645525	659987	654847	604924	603531	711630	729619	597108	639800	634264	602493	512755	487900	479275	481957	550724	497040	514918	511655	511877	531227	492957	503808	483391	487170	465165	434634	396633	420667	419722	385502	345678	328734	365727	365193	365783	323606	351672	373552	377487	328831	309878	242342	221440	223437	236849	202602	175944	193009	172346	152604
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4031	10210	31421	31421	33735	44480	8553	61019	61019	22246	28237	33680	55820	55820	41655	36952	36024	49089	49089	69635	25512	28446	29934	30534	56064	17664	33110	27053	27053	26030	33686	27835	42671	45671	22235	30639	25727	38192	38193	16812	15360	21494	38899	38904	8584	21417	21694	35397	35397	13978	42678	10709	14391	14391	3139	5267	5192	16743	15018	8508
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	18159	18159	26159	26159	29659	16526	22526	22526	22526	7200	7200	7200	2200	1500	31500	33700	51700	21500	21500	1500	1500	1500	1500	3500	3500	3020	1500	1500	3848	3848	3789	5289	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	523982	479298	528389	529431	453759	436339	399942	415978	415978	457929	476059	494023	453256	471174	589459	597110	441012	506443	503212	443538	369938	351110	320084	319884	353554	351439	309777	324216	324536	384505	359540	360479	344033	347813	353979	339754	325089	301142	301109	233254	215275	185951	190412	190483	180472	166327	173968	210165	214051	193062	174510	167510	143385	144972	183812	150426	108310	122708	91806	104510
Hàng tồn kho###Inventory	161121	152669	118630	118630	124883	132879	132742	145325	145325	148843	139433	112739	89100	70490	44722	56533	62375	57970	55664	74016	102939	93787	114065	114346	123152	111268	143664	149604	149604	110327	89811	103845	86662	86660	81715	57401	39876	75914	74777	116420	96031	102802	117582	117049	170079	130428	145469	121980	122148	115249	87140	57084	59175	59939	43635	41615	58060	50046	63606	37830
Tài sản ngắn hạn khác###Other Current Assets	8657	10704	9357	9256	7062	8401	9513	6081	6081	9308	9058	7205	4548	4548	4293	5323	5997	4799	4799	13804	12866	13058	13692	13692	14455	13648	26867	9282	6836	6517	6131	6359	7026	7026	7236	6841	5942	5419	5642	19016	19012	18487	18834	18757	6648	5434	10540	6010	5891	6542	5550	7040	4489	4136	6263	5293	4383	3512	1916	1756
Tài sản dài hạn###Non-current Assets	88887	93177	96299	96299	88889	84931	89968	96844	96844	103819	101578	84153	86196	85742	84598	85002	89934	67568	67636	80295	72264	77754	79346	79240	82322	86855	80063	89757	89772	80290	85431	83622	86056	86056	83031	82957	84085	87242	87139	68998	70123	67448	75084	75683	73371	70403	62929	49990	49990	43311	46532	39795	37373	37388	37135	34616	27736	28359	25312	17964
Các khoản phải thu dài hạn###Long term Account Receivable	508	508	442	442	445	445	380	380	380	296	296	373	361	361	361	255	255	255	255	288	281	13949	14004	14004	13962	13901	13913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	59628	62154	66456	66456	67454	65084	68591	72609	72609	75694	72011	66834	69638	69185	69568	71579	68718	49659	49659	45265	43248	45186	43879	43879	37530	38772	41294	49128	49128	42881	45027	43378	45590	45590	47613	49097	51334	52860	53170	46870	48839	50397	52135	52933	54512	49089	48277	38128	38128	32905	33637	29804	30573	30500	30644	29922	26271	27385	22961	16885
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-111361	-107130	-102851	-102851	-101535	-97564	-93608	-89613	-89613	-86535	-82480	-78619	-74862	-75321	-72182	-67956	-65915	-61852	-61852	-59052	-55885	-52874	-49979	-49979	-48975	-47278	-47904	-51777	-51777	-50099	-47638	-45333	-43116	-43116	-40591	-38129	-36431	-34159	-34448	-31913	-30033	-27858	-25723	-23248	-29273	-27095	-24955	-23085	-23085	-40369	-39178	-37668	-36188	0	0	0	-31965	-30771	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-364	-341	-317	-317	-293	-270	-246	-223	-223	-198	-174	-166	-164	-159	-159	-153	-148	-143	-143	-137	1570	-127	-121	-121	-116	-111	-105	-102	-102	-102	-102	-102	-102	-102	-123	-123	-243	-236	-236	-229	-221	-221	-204	-204	-531	-505	-480	-456	-456	-433	-413	-392	-373	0	0	0	-315	-299	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	162	162	162	162	162	162	125	125	125	125	125	125	125	125	125	250	250	250	250	250	250	250	250	250	250	250	1169	1169	1169	1754	1754	2434	2434	2434	3581	3581	4966	4966	4810	5250	5250	5250	5250	5250	5250	5250	250	0	0	0	0	0	0	0	0	0	0	0	1756	30
Tài sản dài hạn khác###Other long term assets	28588	30353	29239	29239	19351	18907	20399	23362	23362	26329	25624	15950	15864	15864	14415	12790	20075	16929	16996	32334	26203	17767	20522	20415	30299	33662	23688	39460	39476	35645	38650	37810	38033	38033	31836	30279	27785	29416	29159	16877	16034	11801	17699	17500	13609	16064	14402	11862	11862	10406	12894	9991	6800	6888	6491	4694	1465	974	595	1049
