CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	11110359	10549500	12055094	11062499	12434101	12010175	11706057	12369785	12301411	12000790	12062684	12185321	12987977	12469573	11971373	12311273	11772282	12669790	12351325	11604934	10654210	10763737	10423363	11541245	11194252	12174420	12470276	11511657	12555557	12022917	12080212	12608064	12928241	12976008	13457342	14484740	14772744	15368239	15866351	15343700	15828753	17018821	16942878	17291977	17768981	17135275	17495787	17440795	17607784	16887410	17085821	13998923	14263707	13753975	11933142	12199805	12620380	11337430	10942967	9451669	8320860	9347932	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1456228	942222	1342791	1369951	894587	1217014	997124	1353547	1388241	1218525	1275324	916543	2248782	2158875	1059308	1344043	1677717	1577759	1812908	1445297	1666544	1134612	1512566	1577005	1022535	1244968	1262272	1455605	1459389	758064	782020	829013	1110601	1106643	648063	662442	579275	906610	919107	713576	667801	2632324	1302488	1756437	1029146	1376829	1797597	2927852	2871589	1694772	2900992	1814188	2503043	2297207	1400501	1810550	1662798	1285973	1484465	1031299	691777	1608220	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	693809	804782	959158	934333	1475252	1566693	1375157	1590582	1560921	1672165	1447767	1921796	1203565	1292587	1187418	1256932	1044700	1384112	1170134	973707	814832	833983	522343	422756	403774	489212	331101	155806	152619	48351	159057	166495	41237	43771	0	29161	32596	31781	41767	36136	36204	208268	589793	173494	735933	191466	297961	220192	419915	763567	992266	253193	177536	381744	359419	329546	470629	327762	396286	425101	354923	267438	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	6957006	6805750	7303395	6294365	6716876	5965341	5639980	5845864	5716369	5542257	5663799	5512988	5657429	5574337	5448458	5405172	4999641	5345189	4975806	5259233	4883956	5696524	5332927	6448377	6050766	5872358	5822564	6020948	5980582	6158271	5696305	5806284	5712875	5668537	6254487	6094499	6158152	6366018	6568891	5537646	5775968	5457219	6261495	7405276	7236837	7208213	7487896	6696127	6858166	6636043	6249293	5288625	5129082	4982361	4283957	4445546	5074955	4378636	3736919	3227806	2876921	3765548	4493024
Hàng tồn kho###Inventory	1864117	1854693	2321342	2329061	3120451	3126423	3403050	3435007	3477299	3385373	3499002	3625185	3718098	3272597	4063396	4061296	3788614	4109746	4130108	3662855	3057706	2850424	2760875	2770530	3379282	4226443	4490096	3563657	4361948	4374165	4802845	5153584	5431279	5478260	5836216	6975988	7181820	7249971	7498590	7962195	8111556	7637959	7852924	7058291	7813411	7361190	6845105	6709970	6468068	6374284	5997236	5765213	5662221	5322450	5106777	4934392	4764890	4726968	4746123	4201977	3758803	3154521	0
Tài sản ngắn hạn khác###Other Current Assets	139199	142053	128409	134789	226934	134705	290746	144784	158581	182471	176792	208809	160104	171178	212793	243831	261610	252985	262370	263842	231172	248194	294652	322576	337896	341439	564243	315641	601019	684066	639985	652688	632249	678796	695768	722649	820902	813860	837996	1094148	1237223	1083050	936177	898481	953654	997576	1067227	886654	990046	1418744	946034	877704	791825	770213	782489	679771	647107	618091	579173	565485	638436	552205	0
Tài sản dài hạn###Non-current Assets	6924296	6967198	7263276	7074532	7643650	7514885	7569529	7715402	7781493	8169179	8117220	8104131	8641247	8932455	9332524	10004978	10060099	10175563	10090458	9870795	10002315	9999065	10306338	10352691	10628997	10287388	10479390	11318035	10511617	10334226	10278444	10011911	10024909	10064738	12172517	12783821	13143149	13048607	13173499	12876545	12735393	13120797	13182031	13822648	13407580	13635675	13183698	14246095	13911830	13479559	13313301	13031754	12974958	13657745	12945183	12160238	13431444	11321917	11861793	11559969	11053376	9894764	0
Các khoản phải thu dài hạn###Long term Account Receivable	410452	495588	587999	435535	512946	680340	792017	895587	972694	1019735	1099241	1223930	1321577	1302844	1410277	1530633	1622282	1774818	1773076	1792987	1874650	1922595	1989265	2179793	2467488	2344554	2296702	2503301	2344428	2341571	2366559	2274394	2303032	2391517	24951	24846	26343	25889	26696	-40235	26125	27062	95677	30483	53806	58334	52367	52653	52730	1977	52933	2236	168765	2049	48796	48857	47695	47900	1550	1195	1172	1251	0
Tài sản cố định ###Fixed assets	2519038	2377257	2441753	2440450	2567259	2607897	2647469	2671677	2671649	2645710	2654199	2758831	2785128	2780635	3373225	3341630	3377227	3399964	3401995	3290041	3403478	3349532	3436209	3356393	3408467	3491592	3646632	1733756	1747746	1780666	1821657	1878374	5024769	4938622	9435844	9859128	9971812	7549361	10297337	10164119	10111040	10363552	7956563	11074979	10646518	10733115	10205220	9143678	10891815	10751974	10628509	10322224	10284662	11105250	10477262	10247843	11415099	9366065	10361402	9907245	9408564	8558944	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1569013	-1517807	-1607418	-1606634	-1747143	-1778899	-1720075	-1664651	-1662356	-1618322	-1580277	-1561547	-1513312	-1321423	-2292098	-2250061	-2183804	-2146351	-2138222	-2127306	-2103389	-2063284	-1994881	-1988960	-2014581	-2016291	-1991996	-1946023	-1929452	-1897879	-1863502	-1807431	-1807549	-1198068	-2713203	-2826652	-2777336	-2659288	-2685419	-2582452	-2455394	-2399184	-2254959	-2246289	-2139857	-2039145	-1942676	-2000186	-2008916	-1853597	-1754005	-1586160	-1536694	0	-1342281	0	0	-945160	0	0	0	-936676	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-31250	-58914	-57697	-57697	-57676	-57209	-56741	-56274	-56274	-55312	-54844	-54361	-53862	-53862	-52880	-52359	-51817	-51250	-51250	-50662	-50073	-49483	-48889	-48889	-49549	-48972	-48267	-47232	-47232	-46191	-44835	-43635	-42326	-42817	-41336	-40495	-39395	-37373	-38229	-36355	-33173	-31612	-29124	-29751	-27686	-25322	-23704	-20949	-23607	-20846	-18990	-16984	-13351	0	-9754	0	0	-4360	0	0	0	-3973	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-15031	-14284	-14849	-15140	-15707	-15274	-14854	-14425	-14425	-14060	-13694	-21648	-19224	-19219	-17639	-15728	-13658	-11202	-10625	-3652	-6186	-6050	-5780	-6818	-6298	-6147	-6778	-6839	-7718	-7250	-6460	-6912	-5975	-6702	-6548	-6114	-6343	-5403	-6758	-8127	-7205	-7228	-6421	-6946	-7035	-6641	-6063	-6038	-12314	-11596	-6070	-5335	-5130	0	-6112	0	0	-4838	0	0	0	-6060	0
Lợi thế thương mại	34114	35812	37511	37511	39209	40908	42605	44304	44304	0	0	47264	48898	48896	50528	51621	53268	54885	54885	0	58115	59732	61345	13020	13427	13834	14241	14656	9	593	1088	1583	0	2104	1337	8450	8450	9828	7793	8014	10009	10698	11964	9815	10286	4300	5848	7045	291	301	311	332	332	0	0	0	0	332	0	0	0	0	0
