CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	64714	65139	78637	78637	89040	85702	93882	95822	97261	89226	86229	80103	93935	93935	84512	96644	93893	113481	110577	116573	129475	131828	101559	112174	93647	88836	78543	81274	81091	60568	59756	69435	60097	60564	69084	96224	104040	121020	121550	107433	93041	103716	169147	159291	163835	192541	201468	206768	186628	199493	220880	122112	191341	191341	160629
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3507	3938	24297	9297	11550	13144	15077	7506	7506	12867	17307	13195	18635	18635	16767	12219	7091	17611	17611	11803	7486	16076	24899	24899	16567	38234	13656	16764	16764	13000	4725	10971	27408	37408	40140	46378	54607	67031	66991	75356	71739	66953	85876	91494	95270	114329	107072	113241	119930	145840	128100	106456	134996	134996	124080
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	40000	40000	30000	45000	45000	45000	45000	45000	45000	45000	45000	45000	45000	45000	40000	40000	40000	50000	50000	50000	63000	63000	50000	60000	50000	25000	45000	48000	48000	35000	35000	33000	10000	0	0	4550	7072	6600	7700	4550	550	4550	550	4550	4550	550	19482	19482	19482	4550	0	0	1838	1838	8604
Các khoản phải thu ngắn hạn###Short term Account Receivables	16737	14783	16654	16654	22632	18216	16034	35648	35648	15107	14121	10494	17052	17052	14388	34790	35779	34269	34269	44382	48161	43138	10871	9947	16692	12057	8799	8696	7704	4069	10780	12228	14357	14824	21104	33507	29926	35770	35211	14885	13297	22825	60647	49864	48105	50250	53517	45027	26327	22818	19290	9213	28710	28710	18703
Hàng tồn kho###Inventory	355	2019	3156	3156	5276	4317	10453	2628	2628	8192	2833	4459	6014	6014	6002	3225	3818	4263	1598	3512	3657	2525	8095	8520	1789	4418	2238	724	724	198	297	3866	362	362	358	291	2727	459	620	730	116	1076	3580	3472	6292	12489	11137	11828	11726	16438	39742	77	16253	16253	3547
Tài sản ngắn hạn khác###Other Current Assets	4115	4399	4530	4530	4582	5025	7318	5039	6479	8061	6968	6955	7233	7233	7355	6410	7205	7338	7099	6877	7171	7089	7694	8807	8599	9126	8850	7090	7899	8301	8954	9369	7970	7970	7482	11498	9709	11160	11027	11912	7339	8312	18493	9911	9619	14923	10261	17190	9163	9847	33748	6366	9544	9544	5695
Tài sản dài hạn###Non-current Assets	44161	45110	46059	46059	47008	47956	48080	49360	49010	49944	49401	50312	53404	53404	54254	53257	64052	65102	65102	65919	66761	67398	68300	58388	69307	70237	70763	70185	71082	71481	72043	72401	72413	71860	69223	78926	71273	73239	71845	73107	74896	63104	52261	63342	59461	57607	68575	59300	80567	81027	83638	75497	75701	75701	59395
Các khoản phải thu dài hạn###Long term Account Receivable	1550	1550	1550	1550	1550	1550	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1300	1300	1300	1300	1300	1300	0	0	0	1192	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2652	2652	4761	4761	4761	4761	0	0	0	0
Tài sản cố định ###Fixed assets	17834	18481	19128	19128	19840	20492	20808	21787	21436	22133	21354	22028	22641	22641	23254	22019	22567	23115	23115	23679	24249	24819	25394	25532	26123	26726	25793	26299	26299	26879	27460	28107	28069	27679	30555	29943	7390	7618	18486	18856	8147	8251	10310	22468	18761	13002	25502	11569	34967	35159	34962	18833	33198	33198	13569
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-19862	-19215	-18568	-18568	-17856	-17205	-15954	-15910	-15326	-14629	-14676	-15388	-14774	-14774	-14161	-13584	-13036	-12488	-12488	-11935	-11376	-10816	-10179	-10089	-9508	-8916	-8336	-7755	-7755	-7175	-6594	-5417	-5417	-5116	-7053	-8004	-8236	-7829	-7926	-7383	-7303	-7032	-8124	-8124	-7781	-7420	-7084	-6693	-6693	-6328	-5964	0	-5449	-5449	-4423
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-85	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
