CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	4533500	4449164	4456305	4456305	3925462	4003892	3620221	3794495	3794495	3571106	3680358	3211314	3291343	3291343	3055000	3024856	2668662	2729082	2729082	2068057	1954078	1768484	2010925	2010925	1963237	1920080	1958649	1876335	1876335	1624369	1553910	1219757	1270113	1270113	1110476	1025519	982057	1037521	1037521	1053379	1001174	1099429	952866	952866	919983	900966	919648	1009766	991655	871537	831352	721987	696925	690175	449429	377827	350692	339076	357299	369669	355419	249555	236578	237148	154961	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	398691	378064	469920	469920	323747	162803	319478	427352	427352	471789	570999	533600	656279	656279	594851	422700	520290	433972	433972	505886	407288	168785	295395	295395	210379	259680	65981	77338	77338	41574	231920	123427	109345	109345	31701	30539	18373	26151	26151	49192	7497	130397	26057	26057	25364	20990	27637	36324	30851	21693	77962	159103	266516	266878	187887	118831	102187	80990	6779	4700	13879	22308	16510	16510	2482	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	30000	30000	30000	0	0	0	0	0	0	6153	6153	6153	6000	6000	0	313924	313924	315432	134508	21499	11499	11499	19424	19296	13967	13967	13967	9991	9991	10391	10180	10180	10180	10180	116379	47133	47133	185185	206209	152009	128809	129389	580	580	580	500	70579	119400	117989	10000	9500	9500	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1841908	2001403	1915444	1915444	1600934	1726149	1351668	1249984	1249984	1125687	1076161	869366	951291	951291	849656	1012929	850642	699403	699403	482283	486003	487007	496457	496457	502745	554705	775026	440138	440138	372971	321954	274012	355903	355903	336215	175968	184528	170025	170025	171367	174983	145861	167561	167561	141455	157601	322302	456486	451017	301749	261331	170353	96129	96964	89764	97019	62339	70838	94390	47397	39319	50389	49917	50382	49179	0
Hàng tồn kho###Inventory	2144019	1921034	1913745	1913745	1837986	1949134	1887155	1986793	1986793	1862573	1913907	1699537	1513931	1513931	1372283	1312512	1189254	1458170	1458170	1000549	994067	1028300	1122034	1122034	1132626	1027813	952559	905680	905680	793238	795953	739564	721947	721947	637803	726666	699191	766525	766525	774774	757037	763062	698980	698980	706199	635542	404036	374241	369620	329454	254122	216902	193114	193426	164377	156924	179630	182612	182992	192806	173256	155164	145319	145396	94357	0
Tài sản ngắn hạn khác###Other Current Assets	148881	148663	157197	157197	162795	165806	61920	130366	130366	111057	119290	108810	139842	139842	208211	276715	108476	137536	137536	79339	66720	78239	90886	90886	111487	71882	165083	139255	139255	101155	69575	61256	71419	71419	85333	73050	65999	60853	60853	48055	51666	49717	50088	50088	36785	76653	49294	95583	93033	33456	31728	23619	12356	3518	6821	4472	5956	4136	2560	5366	10976	11693	15333	15359	8942	0
Tài sản dài hạn###Non-current Assets	1127070	1110929	1127451	1127451	1148957	1146667	592242	609832	609832	620643	625505	507134	518411	518411	528673	543788	596894	608849	608849	832224	788858	756808	770555	770555	759624	757543	765898	771607	771607	751228	1523436	1470402	1496725	1496725	1497815	1567018	1586072	1610085	1610085	1652284	1687814	1758798	1745601	1745601	1684136	1673772	875670	466623	437131	428219	384850	275278	285160	283879	238060	243490	254554	255227	227553	232989	229546	224756	235046	235046	228682	0
Các khoản phải thu dài hạn###Long term Account Receivable	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	131	127	127	0	0	0	0	0	0	201	0	0
Tài sản cố định ###Fixed assets	1052826	1031052	1058231	1058231	1082838	1109123	568217	548663	548663	550511	457464	469462	483763	483763	500871	518013	531194	548377	548377	554176	564961	580723	597266	597266	607755	624858	641076	733951	655704	667396	1077989	1106067	1170638	1170638	1162902	1236510	1254309	1245589	1272172	1293320	1327275	1443501	695548	1436099	1367256	1352649	584847	205191	219813	242464	239813	225828	236939	219507	176345	182793	189221	192385	163787	170547	180265	188262	198460	198460	227104	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-884837	-856144	-827801	-827801	-799501	-770639	-738950	-718232	-718232	-698660	-680828	-726610	-709771	-709771	-692940	-676125	-659347	-644623	-644623	-627764	-611556	-595449	-579355	-579355	-562885	-546242	-529536	-512870	-512870	-496072	-715491	-686921	-658132	-658132	-631676	-602602	-579880	-548508	-548508	-516399	-481287	-465930	-434853	-434853	-436298	-405905	-279762	-264428	-256415	-249675	-235875	-222161	-208476	0	0	0	0	-159606	0	0	-137791	0	-116916	0	-75901	0
