CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	190775	194846	106385	130126	150407	165998	147732	156690	184320	346086	322847	360406	282346	288272	245148	223640	212592	183790	185690	151931	120030	184301	188561	188638	123166	129154	119900	131889	137204	123933	113051	107500	141986	142051	90615	101296	146943	164609	179232
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1343	1588	755	755	823	343	364	229	229	3868	364	614	671	671	407	874	880	765	789	299	1061	855	788	788	941	506	598	11261	11263	846	1347	1519	4479	4468	1231	528	1450	36110	9475
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7629	0	0	0	45	45	45	0	0	2700	702	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	105672	89903	54202	79575	67414	74686	82570	90431	118303	259994	256024	271868	188265	188824	183781	159574	147255	122395	125087	59575	41777	108485	118022	118933	55259	49412	60910	55509	60733	58018	63692	69705	91596	91975	63744	65534	89291	103438	141264
Hàng tồn kho###Inventory	80668	100714	51380	49741	80261	87081	60780	65544	65331	80143	62988	82871	93119	92538	59588	60336	60486	60552	59796	89998	73374	69207	69571	68917	65675	76653	62160	64502	64551	62739	44953	34608	44322	44677	23720	31733	54774	24845	28221
Tài sản ngắn hạn khác###Other Current Assets	3092	2640	48	55	1909	3888	4019	486	457	2080	3471	5053	291	6239	1372	2856	3971	77	18	2060	3817	5754	181	0	1291	2582	3862	617	657	2330	3014	1623	1544	886	867	801	725	217	272
Tài sản dài hạn###Non-current Assets	509713	522975	532802	531833	549338	558428	568824	565380	563302	589131	600526	606234	610258	604670	634089	635395	644343	656484	649293	774139	789602	686077	696984	697205	737339	747207	767265	759213	758584	791372	807311	818198	833135	832987	860391	901419	898534	940385	995108
Các khoản phải thu dài hạn###Long term Account Receivable	480	534	534	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	-63	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	471789	483345	495747	493667	506012	518358	530705	538604	538612	548556	560952	572738	585146	584658	597047	609537	619417	631824	631643	701766	715707	671292	684014	684014	694149	706033	718171	733188	729818	742148	754567	766812	781273	781025	808963	826940	879528	927171	990476
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-648845	-636506	-624187	-623997	-611735	-599472	-587209	-575117	-575118	-562963	-550650	-538341	-526041	-526024	-513744	-502163	-489851	-477552	-477551	-509160	-495066	-443194	-431661	-431661	-419385	-410522	-398176	-385828	-385827	-373491	-361155	-348827	-336524	-336524	-324221	-285383	-232446	-179111	-126554
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3953	-3869	-3786	-3786	-3703	-3620	-3537	-3453	-3453	-3370	-3287	-3190	-3082	-3082	-2973	-2865	-2757	-2648	-2648	-2540	-2431	-2323	-2215	-2215	-2106	-1998	-1903	-1820	-1820	-1737	-1653	-1570	-1482	-1482	-1394	-1147	-832	-522	-233
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39489	40557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	4445	4529	4612	4612	4696	4779	4863	4946	4946	5030	5113	5197	5281	5281	5364	5448	5531	5615	5615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5171	4711	4711	4133	4133	4133	4133	4133	3589	4517	4517	4210	4210	4581	5590	5590	5590	5590	1284	0	0	1510	1510	1665	2371	2371	0	2371	2327	3711	3711	3871	3871	3019	3716	4172	6738	9706	4500
Tài sản dài hạn khác###Other long term assets	16975	20221	23687	26179	10017	10091	12248	14628	13128	6865	8755	10696	12640	7169	5770	7228	8809	10474	7770	51865	54414	7401	5772	5313	6533	12285	28346	23654	23369	24389	32291	43235	47991	48943	47711	65559	10706	2512	131
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	700488	717820	639187	661959	699745	724426	716557	722070	747621	935217	923373	966640	892604	892942	879237	859035	856935	840274	834983	926070	909631	870378	885545	885843	860505	876361	887165	891102	895789	915305	920363	925698	975120	975037	951006	1002714	1045477	1104994	1174340
Nợ phải trả ###Liabilities	539365	565200	485272	508590	550991	578291	577180	575608	603339	794192	785105	834233	752557	752810	761537	736244	749495	717250	719364	818063	807756	769739	786299	785784	788095	791807	799975	803288	807919	839757	855930	872785	922261	922179	923928	949195	964786	956410	1003446
