CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	24471	20299	22197	21973	19686	21077	21790	25201	25196	33547	26190	21903	24128	24146	26248	34878	32452	35688	35758	33654	33240	53925	60493	60519	61020	45913	41017	36799	36576	38640	53562	53611	58508	58472	40094	37784	36535	32104	33286	35106	31786	31613	31835	32266	33375	29429	30208	32092	32671	31488	32946	0	29198	29108
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	86	2257	5048	5048	1237	1857	2415	4413	4413	738	709	810	691	691	2363	512	350	392	392	723	622	361	1923	1923	2109	2089	1499	941	941	391	3956	515	369	369	1622	607	1151	304	304	1445	311	1599	1367	1367	958	211	641	94	94	1491	1934	0	1561	3458
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4071	3632	3684	3684	3564	4060	4043	3855	3855	5132	5349	3149	3266	3266	3399	4729	4498	4150	4150	3750	4520	4774	4736	4782	4316	4603	4605	4027	4025	3806	3484	3681	3049	3049	2211	2592	2573	2155	2155	2134	2383	1897	1415	1415	2149	2300	2898	3560	3565	1893	2392	0	1349	727
Các khoản phải thu ngắn hạn###Short term Account Receivables	14651	9515	9699	9449	9970	11103	11346	11140	11135	21943	14310	14822	17517	17532	17893	26724	23367	26358	26428	25500	25501	44740	48449	48449	33128	31660	21914	27996	25640	22222	33476	35494	43507	43471	18786	21631	23064	19752	20898	20562	18632	19361	19588	18996	18171	13352	14324	18530	18569	14953	17043	13597	17594	17310
Hàng tồn kho###Inventory	5602	4775	3597	3597	4272	4009	3878	5645	5645	5504	5569	2712	2517	2517	2092	2677	3755	4628	4499	3256	2287	3704	5266	5266	21467	7131	10075	3835	3614	8733	7453	7727	5224	5224	11889	7599	5806	6843	6910	6911	6892	6511	6012	6443	7467	8565	8274	6886	6722	7849	7042	0	5712	4954
Tài sản ngắn hạn khác###Other Current Assets	62	119	169	195	643	48	108	148	148	229	253	411	136	139	502	235	482	159	288	425	309	345	119	100	0	431	2924	0	2356	3488	5193	6194	6359	6359	5586	5355	3940	3050	3019	4054	3568	2245	3452	4044	4630	5000	4071	3023	3721	5302	4535	0	2982	2660
Tài sản dài hạn###Non-current Assets	6735	6623	6757	6745	6816	6961	7106	7281	7281	7412	7387	7347	7425	7425	6201	6304	6425	6515	6515	6644	6732	6621	6530	6530	6535	6616	4235	4286	4286	4305	4322	4054	4048	4355	4377	4395	4424	4458	4458	4626	4661	4841	4873	4873	5180	5147	5209	5272	4839	7407	7488	0	7285	7526
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	6328	6206	6342	6342	6478	6614	6751	6890	6890	7030	7169	7153	7284	7284	6080	6177	6274	6371	6371	6468	6565	6042	6123	6123	6204	6285	3935	3956	3956	3976	3997	3985	3979	3954	3975	4017	4107	1189	4141	4180	4216	4268	4299	4299	4349	4345	4406	4459	4469	4538	4616	0	4755	5026
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5215	-5073	-4937	-4937	-4801	-4665	-4528	-4389	-4389	-4249	-4110	-3980	-3849	-3849	-10868	-10771	-10674	-10577	-10577	-10480	-10383	-10270	-10189	-10189	-10108	-10027	-9963	-9943	-9943	-10338	-10318	-10297	-10279	-10304	-10283	-10237	-10990	-10956	-10956	-10986	-10950	-10899	-11335	-11335	-11286	-11240	-11178	-11115	-11115	-11046	-10968	0	-11039	-10755
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	25	25	25	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2530	2530	0	2530	2500
Tài sản dài hạn khác###Other long term assets	19	32	67	51	114	122	132	167	167	189	24	0	0	0	91	97	121	113	113	146	137	91	91	91	168	168	168	168	168	168	168	40	40	371	371	348	287	287	287	415	415	544	544	544	802	773	773	773	340	340	343	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	31207	26922	28954	28718	26502	28038	28896	32482	32477	40959	33577	29250	31553	31571	32449	41182	38877	42202	42272	40298	39972	60546	67023	67050	67555	52529	45252	41085	40862	42945	57884	57665	62556	62828	44471	42179	40959	36562	37744	39732	36448	36454	36708	37139	38555	34576	35417	37364	37510	38895	40434	34900	36483	36634
Nợ phải trả ###Liabilities	8495	4641	6720	6496	4598	5527	6641	10457	10457	19007	12166	6350	8695	8695	9920	18437	12550	16328	16344	15688	15490	32251	39484	39480	42914	25686	19796	16089	15755	19212	30713	31332	37018	37276	21710	19291	18163	14315	14417	17207	13958	13904	14327	14801	17400	13589	13213	15189	15189	16837	18533	15739	14534	15140
Nợ ngắn hạn###Short term Liabilities	8345	4491	6570	6346	4448	5377	6491	10307	10307	18857	12016	6350	8695	8695	9920	18437	12550	16328	16205	15549	15334	31616	39455	39451	41885	24657	9716	15360	15026	19183	30684	31303	36989	37247	21681	19262	18134	14260	14361	17127	13877	13823	14240	14714	17306	13495	13118	15071	15071	16718	18408	15602	14394	15004
Nợ dài hạn###Long term Liabilities	150	150	150	150	150	150	150	150	150	150	150	0	0	0	0	0	0	0	139	139	156	635	29	29	1029	1029	10080	729	729	29	29	29	29	29	29	29	29	55	56	80	80	80	87	87	95	95	95	118	118	118	125	137	140	136
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	22712	22281	22234	22222	21903	22511	22256	22025	22020	21951	21411	22900	22858	22876	22530	22745	26327	25874	25929	24610	24482	28295	27540	27570	24641	26843	25456	24996	25107	23733	27170	26333	25539	25552	22761	22888	22797	22247	23327	22524	22490	22551	22381	22337	21155	20987	22204	22175	22321	22058	21901	19161	21949	21494
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256
Vốn chủ sở hữu ###Owners equity	22712	22281	22234	22222	21903	22511	22256	22025	22020	21951	21411	22900	22858	22876	22530	22745	26327	25874	25929	24610	24482	28295	27540	27570	24641	26843	25456	24996	25107	23733	27170	26333	25539	25552	22761	22888	22797	22247	23327	22524	22490	22551	22381	22337	21155	20987	22204	22175	22321	22058	21901	0	21949	21237
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57884	57665	62556	62828	44471	42179	40959	36562	37744	39732	36448	36454	36708	37139	38555	34576	35417	37364	37510	38895	40434	34900	36483	36634



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7301	3045	21511	12369	1584	2996	4562	30411	9456	13045	5805	2105	13567	3944	1831	3523	4269	24221	11536	3382	3707	5606	84008	46908	21192	14662	1247	31576	11778	1008	9069	9878	39363	28234	846	4095	6188	24067	8931	4456	9924	757	25360	12540	9908	2763	496	13819	6590	2410	4783	36	15935	19926
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	7301	3045	21511	12369	1584	2996	4562	30411	9456	13045	5805	2105	13567	3944	1831	3523	4269	24221	11536	3382	3707	5606	84008	46908	21192	14662	1247	31576	11778	1008	9069	9878	39363	28234	846	4095	6188	24065	8931	4453	9924	757	25360	12540	9908	2763	496	13819	6590	2410	4783	36	15935	19926
Giá vốn hàng bán###Cost of goods sold	6679	2522	19633	11804	1359	2492	4016	25686	7416	11848	4899	1523	11692	3099	1574	2785	3522	18469	9750	2108	2088	4268	71688	41518	17871	11803	806	25442	10040	852	6902	8088	29828	21134	780	2935	4924	19103	5363	3908	9075	757	18696	7758	7838	2651	450	8432	3500	1900	2950	31	10894	13994
Lợi nhuận gộp###Gross profit	622	522	1878	565	225	505	545	4726	2040	1197	906	583	1875	845	257	739	747	5752	1786	1274	1619	1338	12320	5390	3321	2859	440	6134	1738	155	2166	1790	9535	7100	65	1160	1264	4961	3567	546	848	0	6664	4782	2070	113	47	5387	3090	510	1833	6	5041	5932
