CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	21586	18720	21483	21483	22188	22420	20654	22273	22227	21984	21672	20657	22955	22953	22789	29905	29251	40234	40393	25203	22081	21265	30218	30251	27445	22389	21755	26557	26206	26336	29881	26216	33103	33108	25356	29383	25883	36520	37590	27672	36275	30476
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4657	7125	9243	9243	8795	7486	6943	11506	11458	4532	4793	6071	4885	4885	2968	2191	4065	174	174	1998	299	315	130	130	431	19	1697	1308	1308	2500	1170	847	1591	1591	1263	1995	1921	1700	700	925	1061	566
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6338	6232	453	453	427	536	4832	491	591	771	819	883	950	951	1039	1265	1139	939	939	707	1150	1297	1177	1397	1087	1199	1181	866	866	744	560	674	586	586	420	438	499	472	1472	525	263	910
Các khoản phải thu ngắn hạn###Short term Account Receivables	6881	4566	11189	11189	7374	13440	5948	9155	9047	14423	14998	8162	13665	13661	14156	18616	14819	26849	27007	17692	18546	15602	27162	25281	20849	19509	13641	23950	20970	16191	21156	17413	26682	26642	19696	22998	17040	30744	30876	16803	30979	24893
Hàng tồn kho###Inventory	3315	645	562	562	4878	895	2687	1087	1087	2110	907	4620	3320	3320	4129	7586	8262	12231	12231	3891	1836	3215	1691	1711	2411	1495	2804	372	372	2023	3308	3794	210	210	855	1283	3519	1034	1953	5709	1639	2744
Tài sản ngắn hạn khác###Other Current Assets	394	152	38	38	714	64	244	34	44	149	155	922	136	135	496	247	965	41	41	914	249	837	59	1733	2668	168	2432	61	2690	4878	3687	3489	4033	4078	3121	2669	2905	2569	2589	3710	2333	1363
Tài sản dài hạn###Non-current Assets	4936	4611	4702	4702	5121	5330	5520	5662	5652	5725	5822	6034	5882	6001	6049	6295	6414	6501	6501	6731	6933	7119	7302	7280	7414	7068	7327	7142	7142	6828	6892	6864	5150	5150	4100	4608	4566	4127	3877	4211	4045	5655
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1847	1908	2040	2040	2395	2545	2620	2766	2766	2866	3010	3157	3258	3258	3234	3412	3590	3631	3631	3814	3997	4139	4320	4320	4530	4108	4199	4349	4349	3998	4133	4145	2905	2905	2411	2542	2866	2952	2952	3086	3095	3655
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8049	-7958	-7826	-7826	-8306	-8156	-8005	-7859	-7859	-7712	-7569	-7422	-7253	-7253	-7795	-7618	-7439	-7301	-7301	-7118	-7332	-7150	-6969	-6969	-6759	-6601	-6452	-6360	-6360	-6205	-6070	-5936	-5850	-5850	-5745	-5613	-5874	-5762	-5762	-5615	-5366	-5003
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
