CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	69336	83095	98670	99266	124238	126290	158997	159407	159407	156286	157529	169527	185019	185019	182166	267463	113620	128167	128167	130261	90766	89235	99161	99161	64442	57926	41422	65150	65150	84192	67965	97240	108541	109546	88035	83770	66540	75445	74776	60336	57132	59665	56845	56845	58277	74352	70400	89895	90397	79202	52599	60917	65751	65826	56734	64645	51456	29108	54812	55339	59645	51146	57016	42149	31724	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2611	783	1567	1567	7755	12886	11617	20368	20368	1124	18313	14217	26390	57242	75399	66735	3991	11740	11740	4833	1919	6596	8477	8477	987	6273	1352	17296	17296	7606	8206	1796	16314	16314	1706	24231	11105	19198	19200	840	2122	1403	3313	3313	2367	18561	12747	32201	3194	27297	4088	2835	3259	3259	538	7155	1814	3458	4492	1524	1247	3632	2752	1842	4806	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3159	0	3981	3981	0	1549	0	1549	1549	15000	10000	27000	30000	0	0	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	998	1000	31509	0	0	0	0	0	0	0	0	727	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	41747	60572	71079	71079	79967	72362	113248	106920	106920	98941	98598	96342	97425	96573	88194	124565	89959	105950	105950	106206	73664	68948	80918	80918	48399	31733	21629	23636	23636	48484	36131	73545	74769	74819	57335	34109	29538	32601	31619	25075	24143	29975	27573	27573	26554	27049	29456	33080	33299	15274	14430	25695	34800	34876	14730	18532	15537	17310	27908	24956	34082	21919	40334	26384	7378	0
Hàng tồn kho###Inventory	18994	18988	21652	21652	36411	39417	33808	30570	30570	39373	30617	31968	31204	31204	18572	16163	19670	10477	10477	19221	15182	13692	9766	9766	14568	15249	12467	11494	11494	13380	11069	14761	10614	10614	19954	17084	16436	15299	15294	24214	21522	17766	17984	17984	17677	16549	16264	17107	17388	25757	23425	17289	15130	15130	29679	26628	23637	4954	17251	21251	17769	19508	11243	11243	13922	0
Tài sản ngắn hạn khác###Other Current Assets	2824	2751	391	987	106	75	324	0	0	1848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	4671	5974	12724	12724	14722	12558	7139	6845	7800	9040	8347	9460	8347	8662	10207	9345	10520	7976	7976	11180	12193	10936	6507	5007	10874	10656	15098	12562	12562	11787	12329	10468	2660	5162	7609	6547	6088	2687	2680	5618	0
Tài sản dài hạn###Non-current Assets	8706	8727	8748	8748	8948	9100	9462	9404	9404	9528	9680	9815	16372	16372	17397	16537	93994	94516	94516	95616	95235	97592	98255	98255	419637	422422	432447	427767	427547	418543	410974	71815	72086	71481	71468	71685	72047	72047	72127	71096	71114	63461	63706	63706	63888	86028	84514	76146	78774	81562	67893	55730	45949	45949	47494	38639	37270	7526	39975	37750	37773	37976	35190	50058	35340	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4400	4400	4400	4400	4400	4550	4400	4400	4400	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1614	1635	1656	1656	1677	1803	1929	2054	2054	2180	2305	2414	2806	2806	2957	3108	29133	29552	29552	29974	30396	32506	32927	32927	402941	406524	413370	413628	412623	335560	337855	29698	30904	29899	30115	30332	30721	30721	30889	29858	29876	28392	28465	28638	28819	75340	74226	29815	68486	71274	57454	51078	41297	41297	31939	38393	37012	5026	39705	37272	37313	37524	34845	34748	34512	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5461	-5440	-5419	-5419	-5398	-5272	-5147	-5021	-5021	-4895	-4770	-4661	-5211	-5211	-5060	-4910	-13576	-13161	-13161	-12746	-12331	-11916	-11501	-11501	-26914	-24110	-18577	-17859	-17859	-14999	-12564	-10148	-9947	-10883	-10660	-10970	-10973	-10703	-10728	-10658	-10428	-10430	-10254	-10254	-9891	-9929	-9943	-9675	-9664	-9217	-8880	-8404	-7918	-7918	0	-6983	0	-10755	0	0	0	0	-3972	0	-2246	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-122	-117	-117	-110	-104	-97	-90	-90	-83	-76	-69	-67	-67	-67	-67	-67	-67	-67	-61	-56	-50	-45	-45	-39	-33	-28	-22	-22	-11	-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6086	6086	6086	6086	6086	6086	6086	6086	6086	6086	6086	6086	12246	12246	12246	12246	62925	62925	62925	62925	62925	63175	63175	63175	6527	5658	10658	5658	5669	5666	5681	40838	40838	40838	40838	40838	40838	40838	40838	40838	40838	34668	34668	34668	34668	5888	5888	5888	5888	5888	5888	252	252	252	15543	202	202	2500	202	202	172	152	32	15212	515	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	179	206	442	259	259	256	283	309	314	314	336	178	931	1034	862	1540	737	734	976	976	5739	9002	7280	8481	8250	12406	13160	275	344	744	516	516	489	489	400	400	400	400	400	400	400	400	0	0	0	0	0	0	0	0	12	43	56	0	68	276	288	300	313	97	313	0
