CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	362086	313222	348313	354807	386954	362381	340826	412705	460175	395958	353703	312531	311076	312143	306958	342800	349816	376065	461450	422756	422204	424552	443900	444329	457058	452225	431310	381977	381956	281724	327473	290893	315367	316670	294509	285912	252587	263086	262162	258896	266440	278617	299187	300319	359323	364294	434702	378843	433274	459587	301899	250658	288144	286466	216914	217043	243243	235280	237663	237781	114595	119136	142473	142473	208618	194430	200357	152125	152125	109242	111798	83857	83857
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	40158	50534	57128	57128	63739	75432	58456	89423	78110	74709	38054	36201	33236	31736	28282	58289	38141	37707	39907	53577	51466	70326	91466	91467	91120	69317	49226	52507	52506	50072	54693	37063	76326	76340	58781	50354	65590	86008	95158	76352	63666	88420	87174	93604	118760	137990	150770	194629	193643	180310	100921	118151	185875	13448	24430	15277	30524	47456	47453	162474	18930	18428	49787	49787	22419	14158	16941	13615	13615	10928	9578	6830	6830
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	21130	6000	5000	5000	5000	0	5194	5694	16506	10450	5194	9464	9464	9464	21181	21180	35725	40892	40892	22000	22000	0	0	0	15390	13995	13005	13300	13300	13300	14660	22300	22300	0	0	0	22450	22450	13300	20950	29950	13300	22300	15870	13300	19300	18300	17850	71989	44786	43786	28651	10638	183064	110291	106034	110573	90149	86614	7703	10558	13791	3731	3731	5688	5619	1139	583	583	1202	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	272157	228074	259995	265009	292131	254798	244496	293821	341589	285356	280828	235108	241758	244217	229868	234200	246382	269358	353432	316236	319420	326442	311367	311367	311344	329738	326011	279323	279324	174991	214387	185287	173282	173244	171683	173212	131298	126888	111534	102403	125761	131414	145336	149895	190787	165958	234310	139113	144115	207637	124577	77026	71172	69206	64734	81258	89441	85063	90896	53167	66174	57327	64458	64458	102972	77873	112347	71829	71829	58608	63877	53690	51557
Hàng tồn kho###Inventory	15894	15288	14408	14408	10524	14932	12442	7623	7623	8485	8742	13005	7396	7396	8085	8166	8869	7310	7310	12511	12424	13718	28536	28536	29454	30154	33099	12968	12947	17044	13650	12615	7389	7678	8274	8076	10547	6034	19785	22012	8900	9049	8174	9297	8686	11060	13304	11248	9935	14952	19071	12962	7967	7967	7161	6057	6022	5119	5119	6266	8906	18813	16880	16880	67423	85770	57151	58575	58575	30685	31582	23249	23249
Tài sản ngắn hạn khác###Other Current Assets	12747	13325	11782	13263	15560	17220	20239	16145	16347	16958	20884	18753	19223	19331	19542	20965	20701	20798	19909	18432	16895	14067	12531	12959	9750	9021	9969	23879	23879	26318	30083	33628	36069	37107	25511	24010	22701	21706	22385	37178	38162	36435	36204	31652	27790	29985	18017	16002	13592	11901	13544	13867	12491	12780	10298	8416	6684	7493	7581	8171	10025	10776	7617	7617	10116	11010	12779	7523	7523	7818	6760	88	2221
Tài sản dài hạn###Non-current Assets	522110	560720	576509	574946	547975	549362	559127	495645	496098	551742	541923	559953	575635	575583	593076	595172	610784	620042	542580	528902	482885	418667	383766	393834	375990	372160	378889	402198	402194	475399	468858	450094	366378	366961	351347	346979	352738	357626	350365	369334	360438	329959	320109	290715	248073	244992	172879	179541	148297	138125	134692	116479	80662	80599	128422	127557	99734	103694	103624	105089	98486	137263	142430	142430	143537	145057	138494	139366	139366	138864	154135	136773	136773
Các khoản phải thu dài hạn###Long term Account Receivable	66250	91494	91494	91494	62793	61208	62533	61237	61772	74728	74228	74228	81120	81120	94043	86098	86053	86027	9176	9433	9675	10127	3436	3436	3955	4010	4009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	744	744	744	744	99	349	312	312
Tài sản cố định ###Fixed assets	360279	372151	359610	359610	365886	376768	320130	327193	327204	318419	311205	325197	329676	329994	335711	346056	357337	370015	370015	354923	249496	241863	249009	259077	250809	247008	254677	311309	262959	262732	259939	183763	208745	208745	268298	270674	270032	232522	275004	288859	286188	246511	198032	246711	169182	167047	93223	41215	113966	108193	108475	90323	52801	52926	57966	59968	62551	65318	65336	67173	64003	102287	107610	107610	109310	113666	116293	117155	117155	117793	131179	115736	115736
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-248851	-237897	-227010	-227010	-216198	-204840	-194150	-187510	-187510	-183556	-180065	-174932	-168405	-168405	-159688	-149566	-168671	-161628	-161628	-159232	-158825	-155708	-152511	-152588	-148365	-143162	-138642	-133125	-133125	-128607	-124152	-118425	-115338	-115338	-118591	-115773	-116339	-112802	-108909	-110432	-107532	-104866	-101194	-101237	-98406	-95629	-98334	-96623	-93993	-92481	-90314	-93319	-90210	-89883	-85611	-82827	-79046	-78130	-78130	-75280	-72554	0	-73584	-73584	-70175	-68340	-64640	0	-61004	-57162	-74388	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-49228	-47273	-45318	-45318	-43363	-41407	-39452	-37497	-37497	-35542	-33586	-31631	-29676	-29676	-27720	-25765	-28184	-25998	-25998	-23813	-21627	-19442	-17256	-17256	-15071	-12886	-10709	-8522	-8522	-6337	-4157	-2764	-1381	-1381	-1151	-921	-691	-460	-364	-230	0	0	0	0	0	0	0	-1030	-621	-590	-544	-513	-1203	-1612	-1535	-1446	-1357	-1268	-1268	-1179	-1090	0	-1865	-1865	-1696	-1527	-1358	0	-1190	-1022	-864	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-18433	-18069	-17708	-17708	-17418	-17133	-16713	-16561	-16550	-16274	-15990	-15748	-15475	-15475	-15208	-14511	-13812	-13113	-13113	-12363	-11584	-11241	-10902	-10902	-10562	-9955	-9347	-8733	-8733	-8120	-7513	-6910	-6307	-6307	-9693	-8645	-7657	-6606	-6713	-5657	-4850	-3874	-3243	-2858	-2601	-2465	-2593	-3255	-2534	-2390	-2309	-2918	-2806	-2806	-2694	-2574	-2454	-2331	-2331	-2210	-2080	0	-1939	-1939	-1688	-1625	-1475	0	-1326	-1066	-976	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	15538	15408	15428	15465	15445	15210	14507	14458	14458	14409	14392	14410	14410	14410	14395	14285	14491	14662	14685	15047	10642	0	0	0	1600	1600	1600	17349	17349	85598	87327	84155	81897	83102	70208	67416	72359	71603	70167	74321	65455	74786	63574	33634	68238	68228	74080	69157	23446	22277	18457	18457	18457	18457	61660	61660	31460	31460	31460	31460	31460	31460	31460	31460	29862	27989	19293	19293	19293	19293	19961	16536	16536
Tài sản dài hạn khác###Other long term assets	79551	80876	82093	80493	79787	75098	73834	76550	76348	111924	113382	129692	131015	130962	132327	132660	134483	127636	128221	126404	69858	69467	70842	70842	70764	68858	70137	73540	73536	72706	73413	74203	75737	75114	12841	8889	10347	11249	5194	6154	8795	8662	10140	10369	10654	9716	5577	6523	10885	7655	7760	7698	9404	9216	8795	5928	5723	6916	6827	6456	3023	3516	3360	3360	3622	2658	2164	2174	2174	1679	2646	4189	4189
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	884196	873943	924822	929753	934928	911743	899952	908351	956301	947699	895626	872484	886711	887725	900035	937972	960601	996107	1004031	951658	905089	843220	827666	838162	833048	824385	810199	784176	784150	757123	796330	740987	681745	683631	645856	632891	605325	620712	612528	628230	626878	608576	619296	591034	607396	609286	607581	558384	581571	597712	436592	367137	368805	367065	345336	344599	342977	338974	341287	342870	213081	256399	284903	284903	352155	339487	338852	291490	291490	248105	265932	220630	220630
Nợ phải trả ###Liabilities	349150	344909	397638	402123	416879	400991	399242	409721	458625	453720	405289	390804	402384	404507	412162	451256	472236	505956	511637	464929	416615	344497	334653	342823	343842	340071	332908	311133	311348	276252	323019	228207	173847	173359	149245	141765	125556	140637	134983	121529	119584	101295	115129	122011	147663	296720	297197	260927	275439	301408	146794	80962	84293	80238	68552	68616	65139	65111	66319	221546	91661	133724	161732	161967	233846	222528	265821	219741	220686	178249	193876	156570	156570
Nợ ngắn hạn###Short term Liabilities	234894	207117	258756	264382	253569	240425	246898	280340	329668	317639	272771	246923	254976	257413	250456	287905	303015	330498	335435	295070	296394	273174	262046	263637	274907	275935	261657	236400	236615	183759	257827	178894	156225	155301	130226	122174	103790	118893	110219	95055	91565	74176	86303	90029	114202	263579	110624	80062	242126	95570	93585	70944	75599	79315	55028	54646	50839	50511	51773	200767	74071	101630	128158	128393	190126	178964	223316	182070	183015	130104	147731	127923	127786
Nợ dài hạn###Long term Liabilities	114256	137792	138882	137741	163309	160566	152343	129381	128958	136081	132518	143881	147409	147094	161707	163352	169221	175458	176202	169859	120221	71323	72607	79186	68935	64137	71251	74733	74733	92493	65192	49313	17623	18059	19019	19591	21766	21744	24764	26474	28019	27119	28827	31982	33461	33141	186572	180864	33313	205838	53209	10018	8694	923	13524	13970	14300	14600	14546	20779	17590	32094	33574	33574	43720	43564	42506	37671	37671	48146	46145	28647	28784
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	535045	529034	527184	527630	518050	510752	500711	498630	497675	493979	490338	481680	484327	483218	487872	486715	488365	490151	492394	486729	488474	498723	457174	495339	489206	484314	477291	443269	472802	480871	473312	512780	480928	483357	478049	474640	465388	480076	464341	493814	492683	492920	504167	453031	446406	302683	310385	297457	305892	296304	289797	286175	284513	286827	276784	275983	277838	273863	274968	121324	121420	122675	123172	122937	118308	116959	73030	71749	70804	69856	72056	64060	64060
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	35	0	80	141	190	-169	-61	-61	881	932	-345	0	-235	445	893	-52	0	-945	-535	-394	-18	-18
Vốn chủ sở hữu ###Owners equity	535045	529034	527184	527630	518050	510752	500711	498630	497675	493979	490338	481680	484327	483218	487872	486715	488365	490151	492394	486729	488474	498723	457174	495339	489206	484314	477291	443269	472802	480871	473312	512780	480928	483357	478049	474640	465388	480076	464341	493814	492683	492920	504167	453031	446406	302683	310385	297457	305622	296304	289797	286140	284513	286747	276643	275793	278007	273924	275029	120442	120488	123020	123172	123172	117863	116066	73082	71749	71749	70391	72450	0	64078
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31413	29774	29774	28640	29604	29966	26970	26915	18563	16486	14381	13244	13204	12886	14612	14360	14698	15992	13327	9883	0	237	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605325	620712	612528	628230	626878	608576	619296	591034	607396	0	607581	558384	581571	597712	436592	367137	368805	367065	345336	344599	342977	338974	341287	342870	213081	256399	284903	284903	352155	339487	338852	291490	289822	248105	265932	220630	220630



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	253879	230976	994399	286596	251436	241200	215587	1011139	269333	280079	241198	220267	986504	247252	240932	257650	241520	1086244	301424	268564	276454	238453	1182061	280020	301994	327080	273807	1138587	286699	295679	319754	236475	782337	249601	203871	183074	145863	510658	160478	120592	127437	105620	527471	133346	151727	141155	103251	421491	128294	109210	97068	93504	363545	94627	77096	87812	104232	447841	165605	93978	112247	82572	595965	189997	140539	154027	105442	342616	75841	94572	94313	77890	332770
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	32	0	0	32	0	290	0	5	285	0	11	8	0	4	0	0	0	0	0	0	0	0	0	0	0	121	121	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	34	1451	231	26	1196	2	48	2	16	28	2	410
Doanh thu thuần###Net Sales	253879	230976	994399	286596	251436	241200	215587	1011139	269333	280079	241198	220267	986504	247252	240929	257650	241520	1086213	301424	268564	276422	238453	1181772	280020	301989	326795	273807	1138575	286691	295679	319751	236475	782337	249601	203871	183074	145863	510658	160478	120592	127437	105620	527350	133225	151727	141155	103251	421491	128294	109210	97068	93504	363545	94627	77096	87812	104232	447802	165605	93978	112247	82538	594514	189766	140513	152831	105439	342568	75838	94556	94285	77889	332360
Giá vốn hàng bán###Cost of goods sold	229373	212963	886205	254450	226390	210725	194561	932355	244814	259201	223071	205335	923236	232436	225715	239508	226770	1015232	280231	255072	258006	220057	1100081	258662	281724	302046	258243	1066511	269830	278288	295278	223361	732839	236442	190884	169544	136067	485903	153394	113580	121026	101937	474862	128318	137454	118814	90416	380578	112153	98926	88559	86930	332410	89194	70726	81887	92268	395610	151248	86421	98141	72100	525353	169626	124365	133326	91454	284778	57051	82094	78664	66969	283839
Lợi nhuận gộp###Gross profit	24505	18013	108194	32146	25047	30475	21027	78783	24519	20878	18127	14932	63268	14816	15215	18142	14749	70981	21193	13492	18417	18396	81690	21357	20265	24749	15564	72064	16861	17391	24472	13114	49498	13160	12987	13530	9795	24755	7084	7012	6411	3683	52488	4907	14274	22341	12835	40912	16142	10284	8509	6575	31135	5433	6370	5925	11964	52192	14356	7557	14106	10438	69161	20140	16147	19505	13985	57790	18787	12462	15621	10920	48521
Doanh thu hoạt động tài chính###Financial activities Revenues	1558	119	1671	538	320	292	521	1292	616	247	305	125	2584	630	502	1394	58	7272	1560	658	5292	390	3979	3578	1783	1365	338	71376	70155	2434	1036	271	23825	10757	831	11017	1220	9055	2806	1952	11262	1777	61769	35730	18231	9952	5048	25587	12901	5949	3597	3737	29247	16562	1775	9715	1196	25456	6177	4406	20950	196	6856	1112	2744	5981	260	26898	9295	4093	11382	2128	6175
Chi phí tài chính###Financial Expenses	4251	3952	19990	4967	4728	5879	4424	19305	6094	4625	4782	4326	19815	4992	4698	5367	4758	14892	5488	3637	2114	1851	7019	2555	1548	1713	1695	8342	5147	2117	1993	1605	4679	1269	1070	1096	1244	5070	9126	1307	10206	-7916	34928	23267	4792	10417	835	9132	11053	1837	1341	1181	4084	1238	1003	1120	855	19259	3561	1790	12261	1064	13177	4771	5781	2817	3287	20548	6714	4735	4857	4242	10518
