CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	119285	118740	121287	125032	114428	113154	122484	108364	114052	129801	140131	134791	116401	117321	120625	95347	99219	116538	124356	129412	138284	145700	157885	157110	176104	177831	152299	143308	141067	140369	139659	138983	130200	130324	124742	133418	117882	119554	119412	123870	136264	148634	136403	132849	134681	161171	181469	127195	124404	138801	97603	105597	160057	112279	122309	88329	109624	128041	152433	131932	140273	232247	186401	211052	181542	175329	175099	170651	170651	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	46894	33190	43280	43280	33400	37214	33057	32325	32325	32207	36030	30054	15551	15551	24765	16882	31302	39950	38248	32843	45638	69143	93376	93376	105613	116016	83365	72977	72979	69002	69832	70155	65575	63238	61412	67787	56741	61609	61606	54153	61508	63244	58832	63331	60695	93922	98268	58288	58288	69542	54803	59017	91670	78955	87662	60400	69187	86366	85494	80675	84201	123426	140340	143998	122566	119375	129375	128135	128135	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	11000	15500	14200	14200	15200	15200	14200	11500	11500	12300	6000	7500	7500	47500	37300	8346	6000	6000	1700	4000	4000	0	0	0	2000	2000	2000	2000	2000	2000	2000	1000	2000	4337	2316	2308	2777	3155	3155	6699	2056	9887	9533	5033	6074	3138	2190	4392	4392	3244	0	0	0	25336	1000	1000	1000	1000	1000	1000	4000	0	0	0	7900	6000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	52595	54811	46265	50201	50088	47971	55723	49046	54643	65817	82751	78415	83237	44102	43600	53712	48317	55122	63575	78177	71469	65677	58548	56878	64213	56313	61956	61247	53521	52305	43877	46631	42843	43113	38608	45116	38109	36741	36956	42312	47115	47574	41701	38143	47722	48026	62224	47600	44946	50921	30637	34294	55323	0	27763	21807	33686	35389	60346	40330	44601	103916	40484	66333	46745	45451	40987	37659	37659	0
Hàng tồn kho###Inventory	3178	2026	4252	4252	2511	1523	5548	3469	3469	7332	5850	6801	3137	3137	5075	3980	4533	6705	6083	5704	8954	4957	1524	1411	28	55	0	0	0	0	0	0	0	0	0	0	58	58	58	58	0	0	0	0	0	0	0	0	0	10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	249	249	249	249	0
Tài sản ngắn hạn khác###Other Current Assets	5618	13213	13290	13100	13228	11246	13956	12024	12114	12144	9500	12021	6976	7031	9884	12426	9067	8762	14751	8687	8224	5923	4436	5445	4251	3447	4978	7084	12568	17061	23951	21197	19781	19636	22407	18206	20196	17990	17637	20647	25585	27930	26337	26341	20190	16085	18787	16914	16778	15085	12163	12238	9547	7988	5884	5122	5751	5286	5592	9927	7471	4906	5577	721	4332	4254	4487	4608	4608	0
Tài sản dài hạn###Non-current Assets	226980	236608	247771	256425	265508	255171	270774	269194	268386	332475	339753	351418	360561	360574	395059	401855	407868	386317	380323	411722	420217	448510	456111	456775	467328	476599	498591	514600	503779	506153	520755	525246	536568	527828	539363	551751	570545	583638	581505	597861	607200	621754	633537	625950	635025	652020	477592	479573	470274	343267	339848	336376	344631	343890	352364	391083	397553	402360	419122	423037	427253	393271	168378	183822	162419	164199	161806	150095	150095	0
Các khoản phải thu dài hạn###Long term Account Receivable	421	634	634	634	623	644	719	717	717	652	598	598	825	825	830	840	821	1055	1055	1043	1043	3114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	117408	125866	133737	143242	151420	149973	167419	159553	159553	231189	242619	254541	266537	266537	286930	299014	290517	323247	323247	340093	352422	364506	376792	381684	389254	401600	413803	425779	425871	435106	447924	463931	474419	474335	485773	498134	517243	517165	529411	544917	554167	565827	568291	588826	598500	615467	441042	438276	443648	319846	296515	303576	314847	311017	315855	320805	327947	332803	348878	356798	362640	363577	140105	152931	133753	135515	138223	131659	131659	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-312902	-304534	-297235	-278706	-270538	-282041	-256999	-265751	-265751	-438051	-426139	-414306	-402317	-402317	-391657	-379578	-360219	-355356	-355356	-347862	-335505	-323220	-311090	-310763	-298628	-286467	-273628	-261941	-261898	-249008	-236294	-220351	-210951	-210649	-197740	-185810	-221088	-208855	-209070	-237411	-222968	-208608	-195024	-194697	-180500	-166539	-159284	-149670	-149670	-140900	-131606	-124641	-119552	0	0	0	0	-91664	0	0	0	0	-64760	0	0	-58229	0	-52238	-52238	0
