CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	22672013	22773846	22992616	22767797	25107815	22284735	21179358	23025222	24403235	26089349	17387272	17228460	18669826	18669826	22461896	20969152	19993673	16179331
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3702075	3777640	4712788	4830183	3846729	3554320	3236242	3682290	3678319	7452403	2589315	1960713	1937029	1937029	2059795	2595820	4381515	1905099
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6428000	5787000	5691000	5691000	6112000	6218000	6889000	7154000	7154000	4964000	2098000	2471500	3971500	3971500	6268472	5874859	1384000	3710000
Các khoản phải thu ngắn hạn###Short term Account Receivables	9111589	9429441	8648320	7170441	9210984	7843304	6049641	6978471	7208043	7620846	7264360	7379376	7257854	7257854	6464065	5973371	6318191	3850204
Hàng tồn kho###Inventory	2124369	2237934	2643021	3575298	4375164	3198115	3505012	3580014	4852879	4436740	3892832	3918521	3927540	3927540	5849660	4811457	5809783	5483134
Tài sản ngắn hạn khác###Other Current Assets	1305980	1541832	1297487	1500875	1562938	1470995	1499464	1630448	1509994	1615360	1542764	1498350	1575903	1575903	1819903	1713644	2100183	1230894
Tài sản dài hạn###Non-current Assets	36599658	38396477	37875954	39054058	36201771	36742676	38264529	34838462	33611267	32939419	33607883	34459274	33296728	33296728	27565544	25896128	22733121	17300303
Các khoản phải thu dài hạn###Long term Account Receivable	20097364	21068770	20880416	18717398	16177048	16528600	17918898	15152978	15082497	13702251	12441870	11803649	10087172	10087172	7309875	4926842	3590776	2274521
Tài sản cố định ###Fixed assets	9712659	10547405	10862888	13408430	13161898	12725640	13222916	13233154	13942966	13642946	13953536	14502358	14453536	14453536	12622396	12556835	11154838	7563805
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-17581231	-17708574	-16916101	-18456762	-17672676	-17023321	-16342701	-15856162	-15847335	-15434467	-14476048	-13664570	-12809530	-12809530	-12231930	-9787007	-7920018	-6129398
