CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	Q2 2008	 2007
Tài sản ngắn hạn###Current Assets	529749	523075	446681	447320	487895	508467	455900	442606	442739	501730	521322	477028	462397	460993	499499	388284	285237	318773	318773	293899	324853	286882	205784	205784	203614	251823	224669	192624	192624	224308	222576	250738	249877	249877	268199	245142	235858	229539	229771	214324	211831	201434	222403	218712	241303	226758	196333	197217	197217	192502	143791	114219	142488	146988	150025	160032	156844	138906
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25738	20342	67840	67840	5103	20200	4580	40481	40481	9466	1189	4786	9524	9524	32361	34815	9985	117504	117504	9065	6667	8008	5912	5912	5226	20602	12361	20144	20144	9433	3736	23231	31442	31442	8185	2312	425	409	409	587	3556	2012	7382	7382	951	18077	21318	33986	33986	40732	24646	5685	32443	32443	25745	12153	20608	14756
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	4000	4000	4000	4000	24690	4000	4000	4000	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	112943	116576	57315	58776	110260	94619	67929	42566	42699	70081	55130	73171	88596	88596	103295	61559	39135	40615	40615	77073	81164	57875	48895	48895	64871	77964	64632	61667	61667	66600	72216	81590	91641	91641	101947	105643	111349	95494	95726	93236	79706	72456	68628	66671	100824	76799	68260	74073	74073	82878	70879	59492	62031	66531	65746	71359	85100	75363
Hàng tồn kho###Inventory	374668	364185	320377	319554	359429	378962	364891	352397	352397	397197	426540	356875	338699	339944	327976	259140	218876	158936	158936	196299	214657	208497	142298	142298	118552	141245	136597	110563	110563	143766	130062	127776	119391	119391	125822	124009	109515	127586	127586	117824	125842	118475	143406	141673	134584	126796	101607	83252	83252	58808	44093	43155	47799	47799	57403	75539	49588	48629
Tài sản ngắn hạn khác###Other Current Assets	16400	21972	1149	1149	13103	14686	18501	7162	7162	24987	38463	42196	25579	22929	35867	32770	17241	1718	1718	11462	22365	12502	8678	8678	14966	12012	11079	250	250	509	12563	14141	3403	3403	7555	9178	10569	2051	2051	2677	2727	8491	2986	2986	4943	5086	5147	5906	5906	10085	4174	5887	215	215	1130	982	1549	157
Tài sản dài hạn###Non-current Assets	512063	530413	544305	544305	564214	573105	572548	574841	574841	592048	618180	631006	634421	647220	606921	596649	572036	451846	451846	475016	475746	496929	475306	475306	403277	313235	317590	321191	321191	314274	324619	337954	345360	345560	315912	321125	327880	334982	334982	337957	339339	339983	348904	348904	341729	350923	341058	349481	349481	350104	335834	256375	261301	261301	264738	270281	189254	194679
Các khoản phải thu dài hạn###Long term Account Receivable	2722	2599	2599	2599	2534	2534	1941	1867	1867	1864	1864	1864	1864	1864	1739	1214	313	278	278	278	278	278	278	278	256	256	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	495776	508866	527643	527643	545736	555253	540684	557163	557163	570896	588241	598674	612093	612093	410846	419135	399218	410814	410814	424083	431242	252743	266722	266722	276852	281634	291962	307859	297667	302645	312967	326169	333575	333575	303734	308553	315435	316092	322415	322235	328470	331623	341108	341411	337912	346554	335447	343105	343105	342367	328006	248622	256075	256075	260763	263907	184997	194173
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-519509	-512404	-496811	-496811	-481165	-464944	-464274	-448331	-448331	-429220	-415093	-399554	-383903	-383903	-367636	-353036	-340994	-328890	-328890	-316784	-304471	-291058	-277546	-277546	-268494	-258788	-248914	-240328	-240328	-229256	-216143	-206755	-196355	-196355	-191123	-185950	-181412	-176148	-176148	-171017	-163943	-162680	-154533	-155436	-158390	-151654	-143753	-135866	-135866	-128315	-122444	-116490	-110587	0	0	-118700	0	-98685
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-29210	-25953	-22832	-22832	-19711	-17187	-18180	-16398	-16398	-17373	-14233	-11819	-9719	-9719	-7995	-6812	-6190	-5618	-5618	-5019	-4490	-3699	-3356	-3356	-2836	-2315	-2658	-2337	-2337	-4591	-8203	-7477	-9702	-9702	-18986	-17455	-15913	-14424	-14424	-12935	-13755	-13395	-11735	-11735	-11071	-9477	-7888	-6033	-6033	-4826	-3411	-1979	-560	0	0	0	0	0
