CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013
Tài sản ngắn hạn###Current Assets	1439484	1382269	1356408	1355980	1337179	1372797	1345274	1297490	1296926	1291380	1301224	1230914	1183783	1176289	1195428	1176391	1214129	1192902	1172256	1163090	1081453	1048155	982847	1002771	964303	913924	909046	890119	891344	855413	833835	855686
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	54595	110929	333798	333798	77808	26375	19647	40110	40110	62023	82859	68242	119154	47942	40773	58625	165779	214533	214525	290801	351491	199767	78631	315969	66577	114214	167324	174008	174008	247918	358993	169992
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1046509	909337	625703	625703	784167	756167	693387	742387	742387	748791	773725	752951	663925	735125	719363	692930	624443	548848	528848	461178	370222	451716	498264	280927	464153	396772	341457	312472	314922	208718	73526	121589
Các khoản phải thu ngắn hạn###Short term Account Receivables	146420	67972	87274	87274	206269	210294	191214	142133	142138	160671	91480	60099	92158	92158	106522	103740	72147	79338	79432	96952	113106	109808	126137	126169	116956	108395	81331	90554	86048	91815	91812	151490
Hàng tồn kho###Inventory	186948	283894	293874	293874	255773	367004	431268	360112	360112	308807	342229	340644	298239	298301	321682	312034	348312	338029	338576	312648	243522	285385	276303	276218	315811	291868	310200	309390	309390	301397	298876	408346
Tài sản ngắn hạn khác###Other Current Assets	5013	10137	15758	15330	13162	12957	9757	12748	12179	11088	10931	8978	10308	2764	7088	9062	3448	12155	10875	1512	3114	1479	3511	3488	806	2675	8734	3695	6976	5565	10627	4269
Tài sản dài hạn###Non-current Assets	274839	293973	274312	279023	293598	276931	280430	296241	299859	351020	344986	368995	393463	403554	418766	417937	398594	396396	416759	402635	420744	439403	470679	525439	509767	520267	530884	480678	553245	521348	532392	598164
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	559	60	0	0	0	0
Tài sản cố định ###Fixed assets	198882	209221	220160	220160	229693	219625	226713	240722	240732	255241	277192	296645	309384	309384	318610	269459	279592	296862	296862	295342	308575	301510	309979	310042	289970	300903	318282	332236	332236	312198	345083	393833
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-797872	-788210	-775637	-775637	-769170	-753815	-741218	-723842	-723842	-709605	-689843	-680464	-659024	-659024	-643104	-633454	-616592	-594006	-594006	-582981	-555069	-535701	-519644	-518644	-511377	-486986	-462856	-444599	-444599	-444441	-448190	-389838
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1212	-963	-714	-714	-340	-299	-299	-262	-262	-224	-187	-149	-112	-112	-75	-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72567	72567	72567	70406	0	72567	75036	83348	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	39393	46422	46586	51297	54549	51339	47162	47162	50816	84317	60034	61641	68992	72951	76203	72951	93986	76562	96907	80916	86689	109108	129108	111211	110461	111989	116782	115407	115407	99107	82560	88814
Tài sản dài hạn khác###Other long term assets	4225	5745	7566	7566	9356	5202	5927	7869	7832	10974	7340	10598	14941	21073	23774	22075	24604	22810	22829	25672	25248	28038	31179	31205	33956	34158	23151	31718	31778	32586	20477	27539
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1714324	1676242	1630720	1635002	1630777	1649727	1625704	1593731	1596785	1642400	1646210	1599908	1577247	1579844	1614194	1594328	1612723	1589298	1589015	1565725	1502197	1487557	1453526	1528210	1474070	1434191	1439930	1370797	1444589	1376761	1366227	1453850
Nợ phải trả ###Liabilities	310800	292775	294616	294554	249807	287637	309947	314685	314085	326268	310009	294576	324975	323040	333285	338369	305620	390073	406115	379113	309574	291644	282372	354749	262025	256739	288101	288577	340887	258087	268778	400919
Nợ ngắn hạn###Short term Liabilities	304459	285497	287346	287346	237734	275612	298555	303293	302693	315333	299074	282865	313181	311941	320812	326546	292736	377189	402841	375747	303486	285100	275853	352701	259927	254191	276099	283469	338739	254939	265500	344184
Nợ dài hạn###Long term Liabilities	6342	7278	7270	7208	12073	12025	11392	11392	11392	10935	10935	11712	11794	11100	12474	11823	12884	12884	3274	3367	6088	6544	6519	2048	2098	2548	12003	5107	2148	3148	3278	56735
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
