CAN DOI KE TOAN	 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014	 2013	 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	40265	35942	45056	41544	42060	100204	50633	66819	34651	34651	40178	27528	26723	22903	17130	38713	26582	31069	32844	33443	38381	60653	64231	92391	115144	81029	75393	114901	104647	104211	103579	183711	141419
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7600	1659	3022	1870	3125	27808	3330	21395	7133	7133	9597	4143	4880	3376	1268	1413	4425	2034	1797	1796	474	4178	3387	4896	3082	3977	3268	5545	5495	5495	14720	2169	19842
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	400	0	0	1805	550	1805	550	0	550	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25609	29189	31684	27914	28574	37555	17051	23630	14276	14276	20558	17604	11968	11933	6426	14122	9854	22233	24347	24970	19948	32124	30714	33026	55789	51695	55939	64472	60499	60499	71500	130893	87423
Hàng tồn kho###Inventory	5693	4341	9450	9176	9176	32439	28937	21569	12448	12448	9716	5452	9257	6998	3865	16592	7807	2937	3059	3059	3511	10364	20849	43166	43166	15960	8054	34126	26690	26690	5935	28485	13849
Tài sản ngắn hạn khác###Other Current Assets	963	752	900	780	635	596	766	226	244	244	306	329	618	596	5571	6586	4496	3864	3641	3618	14447	13986	9281	11303	11107	9396	8133	10759	11963	11526	11423	22164	20306
Tài sản dài hạn###Non-current Assets	88327	89470	86029	83285	83285	70847	67822	63685	69334	69334	65063	65889	65667	68261	77597	90017	100798	108916	111470	111720	112552	114384	117082	119883	119869	123166	124615	128174	129701	129738	126819	122986	83141
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	-3579	0	-3653	-41	-41	-3580	-3600	133	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	34272	35903	36772	37644	37644	37643	38121	38992	39828	39828	40116	40995	38070	39879	42716	45410	49127	52113	52853	53103	53075	53830	54586	56190	56190	59300	60115	61220	61632	61632	57283	56617	37949
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-35000	-33651	-32809	-31965	-31965	-31403	-30267	-29424	-28581	-28581	-28270	-27419	-26528	-24812	-21793	-18757	-15344	-13610	-13009	-13026	-12392	-11770	-11147	-11818	-11818	-11449	-10768	-10128	-9453	-9497	0	-7115	-5256
