CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	130676	132323	129211	128661	123414	118706	116184	115877	115954	112899	114729	118013	113596	112795	94775	102649	99590	106258	105612	102269	98101	96692	100898	100768	145932	131849	139565	139774	141263	141263	127198	127198	112745	123815
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	45603	39454	31870	31870	42216	41057	49673	51244	51244	50167	52474	53366	58244	58244	42292	38983	39625	43449	43449	45134	40175	38644	38635	40635	49981	50407	59592	13542	63265	63265	58937	58937	42475	71740
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	32447	33810	35331	35331	22193	20693	11593	11593	11593	11055	10055	6455	3955	3955	4820	4820	4725	8725	8725	10184	9656	9780	11981	9981	11945	9237	12037	58087	1746	1746	1182	1182	1062	1708
Các khoản phải thu ngắn hạn###Short term Account Receivables	47416	56301	58513	57963	56902	55074	50744	50957	51034	47549	49116	54853	46384	46361	43899	53068	51687	48929	48282	44998	46373	46659	47025	47038	79381	67848	62095	62293	70137	70137	62436	62436	65022	47301
Hàng tồn kho###Inventory	3772	600	2512	2512	1266	1195	3412	1368	1368	3551	2306	2004	3252	3252	3230	3927	2600	4269	2645	1156	1218	1250	1594	1597	2814	2967	4632	4643	5221	5221	3601	3601	2607	2181
Tài sản ngắn hạn khác###Other Current Assets	1437	2158	985	985	837	687	763	715	715	576	778	1336	1761	983	534	1850	952	886	2511	797	680	359	1663	1518	1812	1391	1210	1210	894	894	1042	1042	1579	885
Tài sản dài hạn###Non-current Assets	126715	127557	127840	127917	129097	130072	131210	131945	131945	133788	134779	132697	134598	134717	132565	134316	133657	135939	135817	136144	136622	149654	151902	151902	110097	112450	109580	109523	105235	105235	109198	109198	113469	104165
Các khoản phải thu dài hạn###Long term Account Receivable	25381	25327	25327	25327	25227	25227	25227	25115	25115	32053	32053	32478	32903	32903	32929	32927	33306	33863	33863	34156	33215	34601	35061	35061	1718	2140	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	30506	31240	32286	32286	33348	34421	35445	36625	36625	37108	38069	34946	36356	36217	31975	33501	26920	28284	28284	29701	30990	32450	33852	38421	28994	29686	70835	29547	66923	25847	30667	30667	34980	37060
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-100643	-99653	-98638	-98638	-97607	-96565	-95513	-94713	-94713	-94342	-93211	-91872	-90674	-90669	-92422	-91616	-90174	-88951	-88951	-88468	-87125	-85665	-84601	-84851	-86023	-84743	-82175	-79750	-78425	-78425	-78120	-78120	-72905	-67447
