CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	177768	166420	195004	195381	194354	184522	162240	180429	182090	188321	172148	155998	176326	177040	167225	148437	130264	150684	150781	147172	138843	135470	151249	152769	150796	142136	134601	142459	142459	146374	120823	108557	120731	119673	106711	105152	118772	119961	116116	123292	111367	95670	105096	107103	110821	101250	101965	109990	110420	113875	79626	81355	108311	108311	102802	97316	113354	109633	110973	119081	115028	130880	113515	113515	61726	66003	55352	48716	67424
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	76188	61110	90011	90011	73493	80423	67165	91255	91255	79617	72727	57463	85740	85740	65256	49716	40370	61213	61230	54037	61729	50669	76866	70366	64416	68970	51809	66456	66456	62933	46553	36219	51239	47069	36120	34337	31004	36047	32760	32692	31181	29004	37240	36544	33207	32608	49879	66548	30871	23018	21919	19970	28045	28045	20255	28555	19690	23482	32015	26046	23934	31279	76026	76026	15945	21304	21867	24550	19152
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2388	629	675	675	672	672	672	526	526	526	526	526	526	526	559	559	559	559	559	730	780	12780	848	7348	6888	545	11831	7810	7810	11525	8933	7133	4133	4133	3599	4099	3599	3628	4174	6736	6359	5883	4610	4918	7889	6351	6916	5982	42152	37063	14481	16091	21223	21223	37837	31172	38373	41966	35993	38382	42745	42553	7953	7953	12322	6632	6547	3403	29528
Các khoản phải thu ngắn hạn###Short term Account Receivables	95807	100783	99648	100148	115818	98727	91384	84922	86583	104964	95105	95201	85968	86677	96796	93903	85337	84308	81106	87454	71498	64874	70754	71785	74259	68407	64938	53773	53773	59581	51909	52173	51419	51100	49174	48780	58764	55109	54099	61124	52628	40175	43023	45469	49434	41485	41749	34597	34348	49444	37604	40610	48764	48764	33664	31020	49419	38041	37707	47542	43462	52987	27542	27542	32249	36558	25864	19298	17479
Hàng tồn kho###Inventory	2976	3803	4300	4300	4102	3508	2867	3712	3712	2881	3594	2391	4080	4085	3475	2973	2411	3258	6539	4751	3604	6300	2728	2728	4540	3634	3902	4444	4444	2846	3719	2904	3294	2649	3287	3708	9311	9673	9696	4417	2204	2229	2891	2891	1666	2393	1345	212	298	745	1263	312	1183	1183	1422	1163	759	1179	1293	1233	748	438	312	312	698	1044	730	1076	1254
Tài sản ngắn hạn khác###Other Current Assets	408	95	370	248	269	1191	152	13	13	333	196	417	12	12	1139	1286	1587	1346	1346	200	1231	847	54	543	693	579	2122	9976	9976	9488	9709	10129	10647	14723	14531	14227	16094	15504	15387	18323	18995	18379	17332	17281	18625	18413	2075	2651	2751	3605	4358	4372	9096	9096	9625	5405	5114	4965	3965	5879	4139	3623	1682	1682	510	465	344	388	10
Tài sản dài hạn###Non-current Assets	157073	155355	157245	157400	144586	144715	149904	146611	146628	143121	138755	136837	138408	135557	133292	137119	136921	140301	140482	134748	125932	123728	126713	126206	104511	105860	103866	103018	103018	100033	101107	101900	100306	100337	97119	98371	96218	96999	96785	94691	95438	99226	98637	94664	90820	86847	80427	77046	76969	65705	81923	80208	52424	52424	51682	47949	48395	47814	47485	45958	43352	33417	32729	32729	30826	29286	29488	30659	32656
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	535	0	0	0	43	0	43	0	39	82	39	84	39	0	173	0	31	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-75	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	124725	121887	123263	123263	111333	113326	115668	97459	97422	96415	98066	115271	118778	118756	117282	120805	121993	125127	125127	124311	115709	114125	114645	114645	95483	96062	95490	94518	92445	87914	89527	90289	90440	92151	89310	90065	89934	88009	89718	87629	88303	88766	87766	85043	81244	76690	70622	34397	68439	56917	48973	71140	42931	42931	42436	36301	36568	36383	36289	35227	33422	27710	27590	27590	29564	28066	28338	28625	30647
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-116286	-113634	-109044	-109044	-107748	-103153	-100237	-96118	-96155	-93555	-91295	-87924	-84575	-84597	-80716	-77115	-73424	-69861	-69861	-66586	-63999	-61606	-58658	-58658	-56620	-55241	-53781	-51359	-51359	-49742	-47522	-45459	-43364	-43525	-42726	-40760	-44325	-42377	-42393	-41017	-39163	-36307	-34479	-34030	-33194	-32844	-31736	-30588	-30648	-30383	-29584	-28508	-27369	-27369	0	0	0	-23851	0	0	0	0	-21067	-21067	-20658	0	0	-17839	0
