CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	718308	733747	718795	718253	727517	806781	773065	739419	740551	1097857	1295874	989026	832372	831829	884010	990070	1005617	911145	911836	1008171	971569	1050367	1086704	1086381	898644	817277	636505	913474	931836	917276	1019881	776247	1000190	1018301	940212	1097021	921434	828549	874191	866376	1053403	996259	1042454	1036662	1043787	1032670	1049761	1076203	1094176	1253906	1099304	1136570	1215309	1194482	1127741	1080327	1043316	1082162	1082610	1352022	1516808	1477198	1323849	1049680	610374	485917	447818	470275	337501
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	34678	41722	44327	41327	29841	22798	79140	125957	125909	21957	58783	29697	58161	58161	20047	267565	43379	81708	81713	53616	79990	34900	109512	108289	44262	73770	58039	241697	236697	85366	67002	32619	98553	98552	206394	2505	12795	27804	26777	49118	86685	21438	50569	55571	98451	155007	182259	92343	24615	270738	36000	17584	76818	76821	13059	9620	12249	46805	46805	46530	48293	84230	84912	43613	9628	38661	55104	62513	126277
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7000	7000	1200	4205	1200	1201	5501	1201	1301	403201	307201	191202	161201	161201	191202	503	502	21030	21030	121928	108458	139356	151077	151544	7914	36949	107783	19117	24105	20143	18967	17686	15977	16131	3409	3333	4463	4836	4503	10038	7787	15724	19111	13102	19478	19477	10637	10034	77350	47813	151	3122	158	158	160	160	156	656	656	4564	5059	4655	733	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	439885	433367	482112	481576	476934	600017	520924	435490	436843	466151	824121	657938	519142	518534	554761	603486	879875	752673	752198	715490	708744	769760	755371	753927	755539	642016	378539	568146	558316	670638	801144	577110	746148	757761	591683	914999	695409	656211	710232	645727	777678	784429	800736	787527	713404	683983	780506	830202	856309	762108	886503	977754	971800	995789	889878	869347	786216	851401	852095	1092085	1192120	1144652	1017980	895800	566335	400892	367112	238967	161764
Hàng tồn kho###Inventory	161607	178370	130372	130384	158355	121195	106777	122851	122520	156510	81784	84044	71320	71339	95204	98944	76957	53841	53171	112202	67958	88456	63491	64682	78441	61302	75198	80501	80258	101442	92983	104465	105857	111435	104114	162532	178635	116946	110070	130280	133868	120145	114172	121165	147389	120335	67818	99194	92409	142162	148617	108933	144062	99138	199474	174135	217152	159487	159487	180216	240732	206932	180904	94074	31169	39047	15577	147220	49461
Tài sản ngắn hạn khác###Other Current Assets	75138	73288	60784	60761	61187	61571	60722	53920	53978	50038	23984	26144	22549	22593	22795	19572	4905	1893	3725	4936	6419	17895	7253	7939	12488	3240	16947	4013	32460	39687	39785	44367	33655	34423	34613	13652	30131	22752	22607	31213	47386	54523	57865	59298	65065	53868	8541	44430	43494	31084	28033	29177	22472	22576	25171	27065	27543	23812	23566	28629	30603	36729	39320	16192	3242	7317	10025	21575	0
Tài sản dài hạn###Non-current Assets	701172	702274	712505	712511	708686	732927	743307	765703	766910	762236	583218	693309	726157	725957	730142	728755	623293	620728	623944	633517	713199	706081	786638	783640	761171	775412	857952	703718	701473	778415	772022	993625	979131	976448	1007085	830561	988762	981751	971320	922368	909271	894795	879556	891612	760944	738862	608981	743513	739783	665586	716848	739756	747068	750490	750485	755878	944259	949146	949119	840946	854554	819186	751817	770183	534959	520656	434138	462557	275477
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	412	688	688	382	382	382	153382	8000	8000	8000	8000	8000	8000	8000	8000	66127	0	0	-165	842	842	1205	2943	2943	3873	4546	85590	6034	6034	6977	7820	8607	9422	9422	10458	11930	13554	21759	21759	24781	28205	30684	33329	143903	142190	170584	79127	21523	91478
Tài sản cố định ###Fixed assets	84875	87587	90302	90336	93295	95760	88427	89133	89150	86432	88766	161273	164343	164286	161258	163477	164812	171390	171355	171728	181981	178524	180688	179918	174335	188543	188264	190822	255238	249167	252032	256342	900591	901088	936983	389571	927385	313711	902245	851299	838946	818985	304049	819828	690996	661369	223309	329543	625471	531623	584473	597291	590604	592633	630912	630426	800956	795497	782249	665608	623980	614113	548242	209479	141448	125131	214016	361980	102074
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-108435	-105717	-102958	-102974	-102453	-99643	-97674	-94979	-94961	-92325	-89702	-134008	-131265	-131322	-129366	-125814	-123811	-120854	-121796	-119953	-119150	-118930	-115922	-115938	-119381	-127846	-127341	-124193	-125927	-128794	-125519	-123536	-120487	-121807	-121014	-38349	-117616	-115379	-117030	-114688	-111375	-107797	-104033	-110660	-107382	-104156	-30536	-96782	-96623	-94201	-92035	-88785	-84862	-85564	-94317	-89780	-105500	-98804	-98804	-92065	-85763	-79196	-74862	-30119	-28904	-27224	-25722	-110365	0
