CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	568070	375338	406730	405520	409385	455592	431736	458381	451431	424139	430717	398573	501136	501272	526955	514578	432763	417835	423734	404786	392771	355257	377025	384954	438368	415178	417044	421186	426192	362629	304307	304988	280922	284575	246044	244481	246532	249436	249888	204620	201571	178417	165225	173089	182146	204321	182994	152060	153935	196992	166194	115136	91173	81417	90871	59392
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	130254	91913	138652	138652	131258	126021	110176	97203	97203	79590	84084	97432	145428	145445	97313	117050	110863	85194	99742	93725	100837	78371	107783	105333	129454	106119	115422	129647	122297	93447	91110	75238	99343	102425	59275	57109	57394	76416	76416	59662	51113	48225	62017	62017	70121	53357	56842	56694	36945	56675	34958	12225	26502	34070	0	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	21189	22479	21619	21619	19531	19531	14845	35842	16842	27821	35821	22151	14560	12560	53581	28583	28105	43781	27864	33925	27362	25076	17725	22116	40875	93804	54312	42528	51878	4469	4477	4937	5780	2698	2698	2707	1004	790	790	791	1071	655	1125	6725	1114	7237	14230	8879	29001	8814	8892	13140	14891	1358	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	412262	255880	242615	241367	253295	304768	302357	321670	333720	312873	306924	274947	337610	339473	372089	365075	290443	285270	292325	273386	261146	249064	248754	254409	264937	212136	244398	209076	212082	198834	150979	172606	130012	133800	129231	133304	137055	126939	126111	99911	107176	88133	65292	65937	75071	118183	88854	59819	61216	100306	98985	74576	36687	33499	0	0
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	4366	5067	3844	3883	5301	5272	4357	3667	3667	3854	3888	4043	3539	3795	3971	3869	3352	3590	3803	3750	3426	2745	2763	3095	3102	3119	2911	39935	39935	65878	57741	52208	45787	45652	54840	51360	51078	45291	46570	44256	42212	41404	36791	38411	35840	25544	23068	26668	26773	31197	23359	15194	13094	12490	0	0
Tài sản dài hạn###Non-current Assets	308287	303271	309569	311696	313045	295807	293052	286533	295726	253743	252740	240026	234921	237402	74055	69781	107881	97692	98526	92195	95479	92378	88958	84749	73358	79752	84917	80361	76990	88455	89830	89204	93231	92900	89466	88300	87388	89684	87365	83532	84245	83627	84623	85280	71838	70119	67329	76992	76348	61889	68292	58595	55613	52709	50888	31440
Các khoản phải thu dài hạn###Long term Account Receivable	6522	2984	9935	12064	13220	10360	14037	8057	8291	8357	8029	10196	5958	7999	7999	6999	10835	6830	7768	6768	6768	6932	6903	7148	6923	6923	6360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2244	2441	2640	2640	2874	3097	3361	3649	3649	3940	4220	4024	4308	4308	4598	4888	4995	4505	4505	4597	4834	5090	4273	4150	4472	4763	5093	5368	5344	4903	5186	3412	3991	4276	4508	4910	5679	6013	6013	6113	6461	6663	6880	6880	5995	5479	5167	5334	5334	4518	4642	4580	4770	3360	11320	3524
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11810	-11660	-11509	-11509	-11323	-11109	-10893	-10674	-10674	-10452	-10480	-10267	-10052	-10052	-9831	-9610	-9390	-9149	-9149	-8870	-8649	-8379	-8119	-8119	-7880	-7644	-7535	-7300	-7287	-7083	-6860	-6740	-7057	-9609	-9451	-9105	-9733	-9407	-9407	-9002	-8591	-8184	-7773	-7773	-7430	-7195	-6810	-6450	-6450	-6130	-6028	-5684	-5441	-4525	-3835	-2946
