CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	193745	205329	202656	202520	188805	186694	169091	174775	172034	212988	223360	215412	236409	236044	207054	219334	174599	186452	187783	178708	177893	200912	207185	207698	191267	234247	222092	249022	241520	242837	299560	295345	306455	289569
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13415	15537	17475	17475	13541	28362	14708	12387	12387	8531	56580	13621	54304	54232	54496	16105	6524	10424	10424	6224	6906	6457	8070	8070	7716	19747	20757	18824	16049	25629	38497	41373	22034	45794
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	95300	84412	83109	83109	83817	78575	48953	58000	58000	87500	49937	54900	40900	40900	39500	40000	42650	41150	41150	41150	39650	37500	39000	37500	37500	35500	38700	41700	43250	17000	17552	0	1000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	20902	38683	35340	35202	23290	17222	48902	38969	36214	50011	56043	89693	87735	87813	61908	101803	76162	72718	76514	80486	76112	91567	90437	92554	76316	105023	94246	103693	94597	101893	162602	179178	154422	151831
Hàng tồn kho###Inventory	56735	58809	59737	59738	60656	55505	50454	58492	58506	58615	54292	50867	50631	50260	47613	57856	42331	55500	53036	44701	49361	57616	62687	62579	62166	66665	56047	72365	72851	80441	67843	59017	107745	75228
Tài sản ngắn hạn khác###Other Current Assets	7392	7888	6996	6996	7502	7031	6074	6927	6927	8331	6507	6331	2838	2838	3538	3570	6933	6659	6659	6147	5864	7772	6991	6995	7568	7313	12341	12440	14773	17875	13066	15777	21254	16717
Tài sản dài hạn###Non-current Assets	198140	186399	192434	192547	206967	204399	219951	217229	222727	236031	231660	226205	218640	217995	242967	222902	254811	257687	263817	264890	252465	247053	242405	273616	300015	364589	336554	336430	336372	356113	383219	424130	427334	430272
Các khoản phải thu dài hạn###Long term Account Receivable	21049	21049	21049	21049	21049	21049	21049	21049	21049	21049	21019	21270	21270	21260	21260	21313	21286	21286	21286	21281	21281	21275	21275	275	275	575	24	24	24	24	0	0	0	0
Tài sản cố định ###Fixed assets	10420	10806	11201	11201	12652	14610	16578	18627	18627	21241	23822	26434	28869	35534	38208	40731	60840	62975	62975	65175	67982	70921	73196	73196	75952	108410	105882	170058	108993	113065	175653	131533	155273	166869
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-119156	-118778	-118393	-118482	-117007	-115059	-113101	-111062	-111062	-109052	-106448	-103847	-101244	-101244	-99438	-96823	-103420	-100629	-100629	-97826	-95096	-92215	-89539	-89539	-86755	-101736	-98015	-102993	-103536	-100672	-91391	-79044	-65237	-52367
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3019	-3011	-3002	-3002	-2992	-2982	-2972	-2962	-2962	-2952	-2943	-2933	-2923	-4829	-4771	-4714	-4657	-4599	-4599	-4542	-4484	-4425	-4367	-4367	-4293	-5665	-6983	-5334	-6992	-4927	-3534	-3093	-2621	-3076
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	5953	0	0
