CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	345454	328104	339123	339123	308156	310324	324722	355717	355717	396979	337272	429597	497815	497815	663242	594587	442878	424720	424720	335387	296278	285228	291331	291331	320765	245871	222488	206168	208914	231748	236151	222709	210949	210949	248517	232732	230431	218575	218733	218281	226158	211854	213492	213492	221548	205206	193150	176653	177105	185879	172828	145134	139820	139705	116269	109744	135491	126494	126494	146208	130188	117536	111243	89478
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	78077	61687	77284	77284	39826	50186	56922	72840	51815	48736	32871	100938	28675	28675	22033	20079	26683	33627	33627	28134	16131	11115	13045	13045	17552	77043	65093	80039	80039	80032	102173	109963	110643	110643	101071	92597	98737	85438	85438	52285	71430	59372	81543	81543	73549	78770	81250	66635	66635	61866	72630	61856	48473	48473	43611	44304	59260	66959	66959	58249	51501	48422	51015	34881
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	69254	67848	63794	63794	63369	60259	61659	56275	11275	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	9525	0	0	0	0	2146	2896	2896	2896	2146	3752	3752	8134	8134	33652	43500	41500	31446	31446	24446	10000	0	21300	21300	21300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	197983	198085	197603	197603	204305	199137	204809	225985	292010	338067	294201	318245	458554	458554	631412	564814	406248	381491	381491	297571	270449	264386	268099	268099	292435	157476	157176	93582	96328	123630	102761	82001	71038	71038	117963	106710	100862	99519	100289	106715	93361	92890	83445	83445	107376	101684	97034	75378	75831	88604	86087	69878	78501	78386	60565	52774	66023	51903	51903	79555	69367	60606	58043	52825
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	140	484	443	443	656	742	1332	617	617	650	675	889	1061	1061	272	169	422	78	78	157	173	202	662	662	1253	1827	219	32547	32547	28087	29072	27848	26372	26372	27336	29674	27080	25484	24871	25629	17867	18091	17058	17058	16177	14751	14865	13339	13339	14110	14111	13400	12846	12846	12093	12666	10208	7632	7632	8404	9320	8507	2185	1772
Tài sản dài hạn###Non-current Assets	213629	216097	217968	217968	219879	216008	217100	218079	218092	219467	219598	220198	214332	214332	60619	62883	62899	63920	63920	64075	64794	66587	68537	68537	66757	68111	71463	67723	67723	66455	58616	56257	53516	53516	54055	48862	50181	44592	44592	44159	43213	40537	40762	40762	44361	36555	36649	35777	35777	34635	34270	36638	37586	37586	38502	36701	36995	29030	29030	31672	33614	32947	29389	12359
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	41637	43742	45367	45367	47036	48637	49750	50506	50506	52410	54190	55240	57222	57222	59080	61130	61055	61909	61909	50681	52612	54608	53176	53176	55239	56917	49551	53401	50624	49413	44204	39415	41563	41563	42587	37472	38391	18697	34526	33959	32941	30880	22804	31075	28928	27116	25708	22297	24875	23744	23393	25771	26749	26749	27320	25545	25939	17959	17959	18619	20590	19934	19453	12043
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-65931	-64592	-63015	-63015	-61410	-59745	-58047	-56324	-56324	-55463	-53811	-51933	-50046	-50046	-48112	-46122	-44073	-41982	-41982	-39973	-38036	-36033	-34515	-34515	-32518	-30525	-28684	-26859	-26859	-25123	-23521	-22133	-20857	-20857	-19670	-19215	-19183	-18239	-18239	-17304	-16385	-15452	-14513	-14513	-13538	-12599	-11711	-10877	-10877	-10041	-9218	-9398	-8730	-8675	-7909	-7060	-6233	-5675	-5675	-5216	-5451	-4833	0	0
